Test,count,mean,std,min,25%,50%,75%,max
A1a1,129.0,-59.107736434108524,67.84939939370311,-203.27200000000002,-98.66,-64.648,-13.762,133.425
A1a2,276.0,-27.96657971014493,61.521004920130444,-155.379,-62.214749999999995,-29.681,-5.16,331.111
A1a3,426.0,-32.954237089201875,54.51955647441738,-224.554,-63.04325000000001,-34.409,-9.889,191.525
A1a4,562.0,-28.03400177935943,44.529041056803585,-165.433,-52.05800000000001,-28.436,-7.09,159.47899999999996
A1b1,212.0,-31.997957547169808,154.39226771316723,-360.64,-117.94475,-57.36,2.85975,557.114
A1b2,209.0,-9.11487081339713,54.76318462592049,-158.335,-41.331,-10.847999999999999,21.925,239.81400000000002
A1b3,162.0,-13.765623456790124,42.35530045060549,-225.03099999999998,-38.61775,-15.682500000000001,15.373000000000001,168.34400000000005
A1b4,130.0,-4.183938461538462,41.81375934102005,-116.26799999999999,-34.65875,-6.537000000000001,22.605999999999998,173.743
A2a1,184.0,-52.52247282608695,86.99292436693817,-315.156,-100.94075,-59.992,-13.642499999999998,301.303
A2a2,189.0,-20.97133862433862,48.52733819595635,-139.191,-57.412,-23.678,7.305,177.71400000000003
A2a3,187.0,-27.33040106951872,43.50401643322315,-155.77100000000004,-50.16,-26.378,-4.7715,125.81
A2a4,188.0,-14.348851063829786,44.37343305925664,-166.424,-42.209500000000006,-15.91,12.627749999999999,102.244
A2b1,188.0,-23.165489361702132,88.15135791338186,-203.521,-71.7915,-36.0395,11.60775,449.292
A2b2,188.0,-21.61726595744681,49.624543551219254,-165.465,-47.80175,-20.043,6.21875,108.65
A2b3,189.0,-14.11146560846561,38.28554694110988,-105.302,-42.36,-18.147000000000002,4.007,146.247
A2b4,179.0,-19.598854748603348,42.02379443653265,-164.942,-43.617,-22.776,-2.6995,146.974
A3a1,117.0,-83.33870940170941,329.7547322540638,-831.799,-401.94599999999997,19.489,177.986,463.505
A3a2,120.0,-70.50878333333334,114.49168637684942,-304.52099999999996,-159.28224999999998,-74.084,14.710749999999999,215.942
A3a3,205.0,-25.495136585365852,67.6146111343828,-177.63099999999997,-68.252,-20.164,12.005999999999998,195.67
A3a4,299.0,-17.647183946488294,52.766177608759996,-171.0,-52.665000000000006,-17.313,12.828499999999998,158.865
A3b1,118.0,-116.85616949152542,327.43393770326935,-875.079,-438.00649999999996,7.112500000000001,178.49874999999997,351.056
A3b2,126.0,-44.187222222222225,91.66117465054778,-249.81,-114.82525000000001,-41.546,17.296,217.18599999999998
A3b3,184.0,-38.43442934782608,56.356954803821765,-153.095,-78.83675,-41.9695,-4.2155,174.577
A3b4,189.0,-10.568476190476188,46.749664522015266,-146.489,-41.168,-10.931,18.74,161.201
A4a1,181.0,-40.94477348066298,223.97533292152846,-627.773,-141.957,-1.147,135.836,590.427
A4a2,189.0,-39.22269841269841,91.48302093371514,-267.618,-112.905,-34.409,17.237000000000002,277.394
A4a3,187.0,-30.782491978609627,60.286135982876715,-204.84099999999998,-71.937,-28.436,18.615000000000002,171.093
A4a4,189.0,-25.5481746031746,47.52416723610534,-157.501,-56.751999999999995,-18.105,7.053999999999999,108.31
A4b1,182.0,-27.71882417582417,266.8613284809977,-687.02,-178.38600000000005,60.161500000000004,169.90925,639.355
A4b2,189.0,-31.748873015873016,90.76501133389031,-230.41099999999997,-97.273,-30.845,26.551,234.958
A4b3,188.0,-26.62839361702127,48.70833595222292,-156.666,-59.96574999999999,-32.326499999999996,0.7975,148.814
A4b4,189.0,-26.281275132275134,57.843198253190856,-164.782,-62.924,-25.299,9.075,138.334
H1a1,318.0,-10.727896226415096,103.65381004310898,-464.525,-66.1485,6.741500000000001,56.5955,161.58700000000005
H1a2,320.0,-4.078365624999999,81.00602319016367,-299.828,-39.48175,2.2910000000000004,48.354,166.91400000000004
H1a3,349.0,4.5844727793696265,74.05447315905312,-169.365,-33.631,5.697,56.423,165.96599999999995
H1a4,326.0,-2.1041533742331273,59.049014582081426,-157.015,-35.18125,0.5895,28.294249999999998,159.887
H1b1,295.0,29.975223728813557,49.278405786593204,-146.656,-0.6864999999999999,27.844,57.72500000000001,164.669
H1b2,335.0,5.244465671641789,70.84961792229085,-165.75099999999995,-28.3035,10.431,46.578500000000005,165.36700000000005
H1b3,339.0,-6.623436578171092,69.31150397687708,-163.855,-53.1015,1.9509999999999998,31.236000000000004,200.77200000000002
H1b4,297.0,5.906969696969698,71.0681362899396,-167.101,-29.436,4.524,47.90600000000001,165.544
H2a1,322.0,5.505673913043478,79.49522710982242,-463.219,-31.869749999999996,23.0135,48.954750000000004,152.138
H2a2,319.0,7.625799373040755,82.50327394725755,-247.752,-53.352999999999994,28.16,61.525999999999996,167.34099999999995
H2a3,299.0,30.021367892976585,63.319444339064006,-167.04,0.199,41.445,69.8895,160.977
H2a4,333.0,20.2491051051051,52.58389477471861,-166.8,-6.996,21.613000000000003,54.603,160.84799999999996
H2b1,296.0,36.039702702702705,73.15047095553383,-312.219,-5.71675,32.614000000000004,88.69000000000003,226.092
H2b2,299.0,25.605210702341136,71.82645056288224,-216.852,-14.705,33.464,64.364,243.89700000000002
H2b3,327.0,20.173700305810396,71.76030906565447,-197.00599999999997,-25.911499999999997,21.471999999999998,61.5445,170.90900000000005
H2b4,315.0,1.2399555555555564,66.89756227065364,-167.36900000000003,-37.4525,8.074,43.949,167.58900000000003
P1H1a1,69.0,-315.3825217391305,139.5360953341684,-730.057,-376.06800000000004,-326.841,-280.73400000000004,426.55
P2H1a2,112.0,-183.81845535714288,63.65461148264906,-322.128,-223.16649999999998,-181.704,-153.23,94.47399999999999
P3H1b1,73.0,19.1432602739726,84.9396588137111,-213.18400000000003,-32.984,10.932,58.961999999999996,263.423
P4H1b2,136.0,7.4774191176470595,85.58462185173526,-314.019,-42.877,2.297,47.094500000000004,278.475
P5H1b3,192.0,-1.763499999999998,94.3566079189401,-215.135,-56.395999999999994,0.4295,55.45275,223.763
P6A1a2,233.0,-41.149150214592275,63.422867121373834,-312.303,-64.732,-41.123999999999995,-16.464000000000002,214.588
P7A1b1,211.0,-39.92469668246446,103.89666996456916,-619.202,-85.32899999999998,-43.743,-5.791499999999999,440.05199999999996
P8A2a1,189.0,-36.14938624338624,75.64792424522076,-195.361,-80.99,-47.32100000000001,-8.874,302.02299999999997
