Test,User ID,count,mean,std,min,25%,50%,75%,max
A1a1,379.0,13.0,-88.5586153846154,52.8528762123981,-187.044,-126.24600000000001,-87.37200000000001,-42.306000000000004,-9.861
A1a1,390.0,13.0,-104.62138461538463,60.14585557007574,-188.053,-144.511,-125.53,-81.842,7.16
A1a1,399.0,13.0,-33.419769230769234,50.38922508194559,-98.66,-70.923,-54.952,-2.7039999999999997,66.783
A1a1,486.0,13.0,-141.0683846153846,68.44112561968676,-203.27200000000002,-183.636,-158.045,-127.206,59.151
A1a1,510.0,13.0,2.2605384615384634,69.67613262040237,-123.01100000000001,-33.311,6.062,40.242,133.425
A1a1,514.0,13.0,-57.8523076923077,49.19591949776697,-134.011,-91.54700000000001,-74.681,-34.436,44.195
A1a1,521.0,13.0,-77.1316153846154,21.22599973121981,-121.353,-86.382,-70.918,-64.648,-48.276
A1a1,591.0,13.0,-27.825999999999997,49.48407085618563,-83.22399999999998,-50.202,-39.22,-26.519000000000002,109.60700000000001
A1a1,729.0,12.0,-55.160666666666664,40.41677215156494,-129.372,-81.80924999999999,-57.606,-29.736749999999997,5.529
A1a1,932.0,13.0,-7.395538461538459,64.93419977640878,-162.942,-41.424,5.1960000000000015,30.763,74.173
A1a2,379.0,27.0,-16.64766666666667,40.995748139757886,-68.153,-39.4155,-21.163,-5.3915,153.189
A1a2,390.0,28.0,-37.985821428571434,42.86117754734124,-117.441,-59.79599999999999,-33.8505,-14.851499999999998,50.456
A1a2,399.0,26.0,-3.995115384615386,77.58119621574646,-87.384,-44.396499999999996,-23.653999999999996,-9.75525,230.253
A1a2,486.0,28.0,-59.50628571428572,51.41767168681524,-132.095,-92.33475000000001,-69.348,-44.868,132.477
A1a2,510.0,28.0,-2.7492142857142854,26.51178701712259,-40.451,-19.276,-8.454,12.6905,62.393
A1a2,514.0,28.0,-65.15328571428572,47.45317285794191,-130.364,-99.6975,-68.8435,-50.291,104.979
A1a2,521.0,28.0,-24.003857142857147,79.79990579485495,-138.72,-51.675250000000005,-30.09,-16.07225,331.111
A1a2,591.0,28.0,6.467249999999999,66.97802625440067,-56.925,-11.197500000000002,-0.1685,9.89875,329.07
A1a2,729.0,28.0,3.263392857142859,57.76991902643995,-83.64399999999998,-26.35425,-5.0655,12.60425,201.231
A1a2,932.0,27.0,-79.0635925925926,31.44095032114751,-155.379,-101.61500000000001,-76.40899999999998,-62.667500000000004,-17.301
A1a3,379.0,43.0,-46.32697674418605,45.395124084971094,-113.833,-65.17,-56.927,-41.091499999999996,124.929
A1a3,390.0,43.0,-60.596000000000004,43.98130081501629,-110.38600000000001,-81.794,-66.52600000000001,-53.1805,142.931
A1a3,399.0,42.0,-20.294976190476188,42.796937845488884,-121.723,-38.192750000000004,-24.310000000000002,-10.9605,161.445
A1a3,486.0,41.0,-82.37690243902439,64.98938651110844,-224.554,-132.03799999999998,-76.869,-31.84,23.399
A1a3,510.0,42.0,-5.437333333333333,50.839182581877694,-65.884,-33.255500000000005,-17.6405,-1.19725,177.929
A1a3,514.0,43.0,-32.57276744186047,52.07147178082083,-118.586,-52.031499999999994,-40.146,-23.139499999999998,191.525
A1a3,521.0,43.0,-11.334581395348838,33.595065245071304,-76.729,-26.1235,-15.703,-2.714,96.14399999999999
A1a3,591.0,43.0,-6.962813953488371,52.590987834353655,-76.643,-36.8825,-12.468,5.5265,191.296
A1a3,729.0,43.0,2.917581395348836,41.28062210461959,-63.271,-20.027,-5.063,17.3185,151.10399999999996
A1a3,932.0,43.0,-67.92199999999998,37.845096154619306,-132.459,-92.81,-70.192,-52.617000000000004,74.247
A1a4,379.0,56.0,-51.11010714285714,43.853344198249346,-145.289,-76.57675,-54.3345,-26.8335,93.45299999999999
A1a4,390.0,56.0,-30.73071428571428,37.26057039270347,-165.433,-45.102250000000005,-30.947499999999998,-20.026249999999997,117.48200000000001
A1a4,399.0,56.0,-16.47082142857143,39.328743798031084,-160.856,-34.1335,-17.569000000000003,-1.6972500000000001,89.214
A1a4,486.0,57.0,-52.58084210526315,40.4215371667265,-127.229,-70.851,-56.928999999999995,-39.203,109.25299999999999
A1a4,510.0,57.0,-20.026719298245617,36.176006829583685,-141.537,-31.813000000000002,-21.324,-4.1739999999999995,97.413
