,A,B,T-Stat,p-value
0,A1a1,H1a1,21.429378350186045,7.456834183978802e-65
1,A1a1,H1a2,7.265536744244651,3.09323735821147e-12
2,A1a1,H1a3,-4.418270094192241,1.5074197234909542e-05
3,A1a1,H1a4,-11.090665891399107,6.648261762392899e-23
4,A1a1,H1b1,17.14593956877183,7.375951649097377e-47
5,A1a1,H1b2,1.845073896647791,0.06567230359933392
6,A1a1,H1b3,-2.6436599017467515,0.00866207194195122
7,A1a1,H1b4,-10.202377579205207,7.052349845208584e-21
8,A1a1,H2a1,7.226499197217367,2.292917788888545e-12
9,A1a1,H2a2,1.1562749449701075,0.2485437077273336
10,A1a1,H2a3,-7.7835614087366345,2.252595199323779e-13
11,A1a1,H2a4,-11.171594002413247,2.9657680442847924e-23
12,A1a1,H2b1,9.19923116806812,9.623242893206419e-18
13,A1a1,H2b2,-1.4910317477966941,0.13674508755226986
14,A1a1,H2b3,-9.616791861775594,2.990734560978714e-19
15,A1a1,H2b4,-10.565728171522872,2.3458448108956956e-21
16,A1a2,H1a1,29.089379019195583,1.8268193996179923e-82
17,A1a2,H1a2,17.786576465429295,1.2708849043735238e-58
18,A1a2,H1a3,2.1271778723988697,0.03371503736107438
19,A1a2,H1a4,-8.232047716603503,9.12241585706938e-16
20,A1a2,H1b1,23.04539244418791,5.216560646694856e-62
21,A1a2,H1b2,7.873446445540736,1.7588985302012287e-14
22,A1a2,H1b3,4.233521274538742,2.5440404631164817e-05
23,A1a2,H1b4,-6.781229631292495,2.169714052576997e-11
24,A1a2,H2a1,12.131424192769687,1.9572993692009404e-28
25,A1a2,H2a2,9.729363370438065,2.6595810537070686e-21
26,A1a2,H2a3,-3.0250083536764167,0.002566430326261071
27,A1a2,H2a4,-8.3410572471956,3.6761258650744737e-16
28,A1a2,H2b1,12.050102126351398,2.718541944830993e-26
29,A1a2,H2b2,4.541656191228605,6.4483048961140984e-06
30,A1a2,H2b3,-5.956961422953565,3.637212575650147e-09
31,A1a2,H2b4,-7.379272305419816,4.4021415255504057e-13
32,A1a3,H1a1,29.675405177953756,7.290170780054779e-79
33,A1a3,H1a2,19.08206073919776,4.121587113575423e-64
34,A1a3,H1a3,1.3641075680631058,0.17280548092962095
35,A1a3,H1a4,-11.420228535810772,7.899447066541344e-29
36,A1a3,H1b1,23.265221923167065,5.379751512985801e-60
37,A1a3,H1b2,7.717072958890839,6.970392842916201e-14
38,A1a3,H1b3,3.8398101254546835,0.00013104279783736564
39,A1a3,H1b4,-8.911019327399702,2.0492413255492194e-18
40,A1a3,H2a1,12.051219005815172,1.1524526245911915e-27
41,A1a3,H2a2,10.137170347410688,5.332703982353168e-23
42,A1a3,H2a3,-4.818859361253524,1.6161864060931712e-06
43,A1a3,H2a4,-11.44588361965262,5.381637527752574e-29
44,A1a3,H2b1,11.913603522651103,1.226703416749428e-25
45,A1a3,H2b2,4.16573296463539,3.4955579510752855e-05
46,A1a3,H2b3,-7.739205338190802,2.3963355553510964e-14
47,A1a3,H2b4,-10.29605040598521,5.8261573469795026e-24
48,A1a4,H1a1,30.875784510117697,1.4967275782091489e-78
49,A1a4,H1a2,21.760587898984937,1.1356049639692561e-73
50,A1a4,H1a3,3.0308199358464805,0.0025033542628363978
51,A1a4,H1a4,-11.745951773375753,1.9115961865408816e-30
52,A1a4,H1b1,24.129715462347253,1.0049569220564684e-60
53,A1a4,H1b2,8.759004791150376,4.908074374552434e-17
54,A1a4,H1b3,5.47077901825808,6.012236413043375e-08
55,A1a4,H1b4,-8.568061889814254,4.427173071805091e-17
56,A1a4,H2a1,12.770280546533646,6.659477349375067e-30
57,A1a4,H2a2,12.3692105027536,3.6396729548041394e-32
58,A1a4,H2a3,-3.991808175088674,6.953500462881909e-05
59,A1a4,H2a4,-11.71324274897027,2.5711365867754412e-30
60,A1a4,H2b1,12.284048646594709,1.0944467849821372e-26
61,A1a4,H2b2,5.304981176299684,1.6031428023509018e-07
62,A1a4,H2b3,-7.248561275812561,9.58009103079639e-13
63,A1a4,H2b4,-10.383107320262694,2.185830095145669e-24
64,A1b1,H1a1,21.265016601463923,4.385374205673676e-71
65,A1b1,H1a2,9.054207360629851,4.414979346396548e-18
66,A1b1,H1a3,0.27249923584604463,0.7853854625266603
67,A1b1,H1a4,-4.5665385009884965,6.81991073302846e-06
68,A1b1,H1b1,17.705803515530874,3.0722801501229387e-53
69,A1b1,H1b2,4.58574910438551,5.532482857458839e-06
70,A1b1,H1b3,1.475170790158633,0.1409179616882822
71,A1b1,H1b4,-4.232943520169964,2.851220211432127e-05
72,A1b1,H2a1,8.92965111538232,5.808456731826746e-18
73,A1b1,H2a2,4.374730476416834,1.5350476215709208e-05
74,A1b1,H2a3,-2.2201333001526944,0.0270039809619397
75,A1b1,H2a4,-4.660914242769119,4.4227552606997815e-06
76,A1b1,H2b1,10.470617028699426,2.2249861299833183e-22
77,A1b1,H2b2,2.067457275193233,0.039182115104446746
78,A1b1,H2b3,-3.937897248094269,9.572468074484027e-05
79,A1b1,H2b4,-4.202999056443292,3.31973758304642e-05
80,A1b2,H1a1,30.731371149570247,6.485633190842442e-90
81,A1b2,H1a2,20.484179955939688,2.595138546329492e-72
82,A1b2,H1a3,6.226289260653214,8.890313124404264e-10
83,A1b2,H1a4,-3.0129495605632304,0.0027127190286424106
84,A1b2,H1b1,24.645373167132792,2.3353106437080378e-68
85,A1b2,H1b2,10.414502650901207,1.910741255923558e-23
86,A1b2,H1b3,7.875130559597931,1.2515507851813586e-14
87,A1b2,H1b4,-2.3361003469808486,0.019763604957620844
88,A1b2,H2a1,13.950875120970231,1.0547249595840777e-35
89,A1b2,H2a2,13.016741843265619,6.14324358194844e-35
90,A1b2,H2a3,1.5233984201527773,0.12818507948562874
91,A1b2,H2a4,-3.1896770298071693,0.0015060134862309436
92,A1b2,H2b1,13.208454036184323,3.1139915534687905e-30
93,A1b2,H2b2,7.561407818828962,1.1301290125619445e-13
94,A1b2,H2b3,-1.8211701608897968,0.06896500671497802
95,A1b2,H2b4,-2.2887810982112287,0.022477245546419646
96,A1b3,H1a1,31.017994140931258,4.645206146025889e-87
97,A1b3,H1a2,21.156031080710907,1.3377433617040882e-74
98,A1b3,H1a3,5.901948004417588,6.032188200138462e-09
99,A1b3,H1a4,-4.377348113213595,1.4624221841036515e-05
100,A1b3,H1b1,24.70449530018066,1.4254207563843197e-66
101,A1b3,H1b2,10.239009538626382,1.3315851245548858e-22
102,A1b3,H1b3,7.667211870053936,5.863078092503441e-14
103,A1b3,H1b4,-3.4161172575785885,0.000671958973263788
104,A1b3,H2a1,13.814702560074599,1.0163219431245175e-34
105,A1b3,H2a2,13.22428044817913,8.554727940947023e-36
106,A1b3,H2a3,0.7188331603292017,0.4725282903052582
