,A,B,T-Stat,p-value
0,A1a1,A1a1,0.0,1.0
1,A1a1,A1a2,-5.527514576027324,7.4007456212067e-08
2,A1a1,A1a3,-5.223220835557526,3.9374837492145196e-07
3,A1a1,A1a4,-6.157739456255031,3.964149451459185e-09
4,A1a1,A1b1,-3.0497764830629674,0.0024143991305749595
5,A1a1,A1b2,-8.117894177051447,1.1606583504435865e-14
6,A1a1,A1b3,-7.8516818917375755,9.599849388238792e-14
7,A1a1,A1b4,-7.9630484102997885,4.340142650551148e-14
8,A1a1,A2a1,-3.449997396221225,0.0006142885304991012
9,A1a1,A2a2,-7.04639854046473,1.742756570466724e-11
10,A1a1,A2a3,-6.1092349174476706,4.196028243775232e-09
11,A1a1,A2a4,-7.649568873782208,4.994320904246302e-13
12,A1a1,A2b1,-6.5804375053024025,1.374421146009456e-10
13,A1a1,A2b2,-6.740325931110308,9.49910283840768e-11
14,A1a1,A2b3,-6.871760454575069,4.915133539535846e-11
15,A1a1,A2b4,-6.7144638829601355,1.271236518254816e-10
16,A1a1,A3a1,0.5288157177653705,0.5974837615067947
17,A1a1,A3a2,-0.6695513993182576,0.5036127011732521
18,A1a1,A3a3,-6.496301995012752,3.362971282420631e-10
19,A1a1,A3a4,-7.786754306941357,2.4881157376296596e-13
20,A1a1,A3b1,1.4776604712777213,0.14096810548837424
21,A1a1,A3b2,-2.8553382302683037,0.004545046935594411
22,A1a1,A3b3,-5.553667188355714,6.220277546667064e-08
23,A1a1,A3b4,-8.534678838321037,1.698247356131327e-15
24,A1a1,A4a1,-3.1881748446505607,0.0015494666708487307
25,A1a1,A4a2,-4.54597718489108,7.240102251153416e-06
26,A1a1,A4a3,-6.20353816806255,1.8839560607291014e-09
27,A1a1,A4a4,-7.247507852051164,5.3711225826410495e-12
28,A1a1,A4b1,-2.304864377804567,0.021740378649423762
29,A1a1,A4b2,-4.53920098362152,7.403184292395576e-06
30,A1a1,A4b3,-6.113150998170767,3.5576989120586906e-09
31,A1a1,A4b4,-6.940747005990455,2.946729260013475e-11
32,A1a2,A1a1,5.527514576027324,7.4007456212067e-08
33,A1a2,A1a2,0.0,1.0
34,A1a2,A1a3,1.0090809962281588,0.31325333516020365
35,A1a2,A1a4,-0.12737384650743916,0.8986871573030661
36,A1a2,A1b1,0.7421161019296985,0.4584319422264833
37,A1a2,A1b2,-3.8793203666254126,0.00011509416674460694
38,A1a2,A1b3,-3.3457917772969528,0.0008688653903305257
39,A1a2,A1b4,-3.5559461896607334,0.0004083464408964414
40,A1a2,A2a1,0.5659517277567484,0.5717617218053883
41,A1a2,A2a2,-2.030360407953528,0.042705303331055176
42,A1a2,A2a3,-0.41695442868162697,0.6768455893447203
43,A1a2,A2a4,-2.851731058315396,0.0044810772964481525
44,A1a2,A2b1,-2.529744264945229,0.01172548611116376
45,A1a2,A2b2,-1.704945380528793,0.08865995757835854
46,A1a2,A2b3,-1.7732924234055776,0.07663251014843499
47,A1a2,A2b4,-1.507781330259344,0.13209207346760235
48,A1a2,A3a1,2.0516839021242257,0.04151711174803052
49,A1a2,A3a2,3.262190099837384,0.0012613881159894433
50,A1a2,A3a3,-1.5736349618911651,0.11603191549307217
