,A,B,T-Stat,p-value
0,H1a1,H1a1,0.0,1.0
1,H1a1,H1a2,-18.437057564178232,1.4043963631541363e-49
2,H1a1,H1a3,-28.888245542960732,8.208143870303678e-78
3,H1a1,H1a4,-34.419061452803746,1.2566213665482534e-88
4,H1a1,H1b1,-2.008305370542741,0.04535584464671817
5,H1a1,H1b2,-19.973380945846795,2.4208558343613763e-61
6,H1a1,H1b3,-26.85876616846173,1.0733330825404399e-75
7,H1a1,H1b4,-32.99564948067969,8.400477205183796e-92
8,H1a1,H2a1,-11.383601143532468,1.4625121324770018e-26
9,H1a1,H2a2,-23.81656558113374,2.0082379809060463e-66
10,H1a1,H2a3,-31.59153337725422,3.2197068695270767e-84
11,H1a1,H2a4,-34.41024375241122,2.7876738206384706e-89
12,H1a1,H2b1,-3.565213545825682,0.00041991041321931506
13,H1a1,H2b2,-24.211748085105736,1.074708305275637e-74
14,H1a1,H2b3,-32.162031234033236,9.993588612027083e-93
15,H1a1,H2b4,-33.9613054370207,4.4109464708925194e-88
16,H1a2,H1a1,18.437057564178232,1.4043963631541363e-49
17,H1a2,H1a2,0.0,1.0
18,H1a2,H1a3,-17.558925277463576,1.1032241169802305e-56
19,H1a2,H1a4,-28.330310893197296,9.12059184051269e-110
20,H1a2,H1b1,13.797502314024143,1.9585756298271732e-32
21,H1a2,H1b2,-5.1185074685627665,4.156626670978358e-07
22,H1a2,H1b3,-13.925548674177211,2.147115537184192e-39
23,H1a2,H1b4,-24.705512472476308,6.884659599956222e-99
24,H1a2,H2a1,2.721966954239834,0.006803533353343357
25,H1a2,H2a2,-8.672696472097869,2.583071531902733e-17
26,H1a2,H2a3,-22.609833768821147,1.698634244940507e-83
27,H1a2,H2a4,-28.17943792726478,1.2578233337243445e-110
28,H1a2,H2b1,6.354733457176075,1.0583695472660295e-09
29,H1a2,H2b2,-10.335308616410927,1.4377588994815886e-23
30,H1a2,H2b3,-22.98709575514573,1.930861930260914e-90
31,H1a2,H2b4,-27.355095232898467,5.549219271814841e-106
32,H1a3,H1a1,28.888245542960732,8.208143870303678e-78
33,H1a3,H1a2,17.558925277463576,1.1032241169802305e-56
34,H1a3,H1a3,0.0,1.0
35,H1a3,H1a4,-12.35534788445359,6.616213945786428e-33
36,H1a3,H1b1,22.636560936975837,1.050368662210058e-58
37,H1a3,H1b2,6.872244692616228,1.8956852785781364e-11
38,H1a3,H1b3,2.573469382947173,0.010214509753135238
39,H1a3,H1b4,-9.837160769052371,6.316397617966513e-22
40,H1a3,H2a1,11.458822313760429,1.208873334210603e-25
41,H1a3,H2a2,8.702419827238419,1.406228334611874e-17
42,H1a3,H2a3,-5.975699692254862,3.048593758899633e-09
43,H1a3,H2a4,-12.371285193614147,4.510511671489942e-33
44,H1a3,H2b1,11.578240753244891,1.3024835619410553e-24
45,H1a3,H2b2,3.2031526707956592,0.0014191005716444641
46,H1a3,H2b3,-8.646125380846653,2.0200133516230415e-17
47,H1a3,H2b4,-11.273371483971422,5.317090407601647e-28
48,H1a4,H1a1,34.419061452803746,1.2566213665482534e-88
49,H1a4,H1a2,28.330310893197296,9.12059184051269e-110
50,H1a4,H1a3,12.35534788445359,6.616213945786428e-33
51,H1a4,H1a4,0.0,1.0
52,H1a4,H1b1,27.300152111213077,6.048922909195075e-70
53,H1a4,H1b2,13.702329944939287,5.7652158644581136e-36
54,H1a4,H1b3,13.400392890887069,1.7944087249329365e-37
55,H1a4,H1b4,0.4276655930991912,0.6689838813614872
56,H1a4,H2a1,16.15402965744961,1.2846487631759443e-42
57,H1a4,H2a2,19.908186447534572,5.6007331612343195e-73
58,H1a4,H2a3,6.06938373499277,1.687573729557125e-09
59,H1a4,H2a4,-0.3071085828717181,0.7588061583913474
