,A,B,T-Stat,p-value
0,A1a1,A3a1,0.5288157177653705,0.5974837615067947
1,A1a1,A3a2,-0.6695513993182576,0.5036127011732521
2,A1a1,A3a3,-6.496301995012752,3.362971282420631e-10
3,A1a1,A3a4,-7.786754306941357,2.4881157376296596e-13
4,A1a1,A3b1,1.4776604712777213,0.14096810548837424
5,A1a1,A3b2,-2.8553382302683037,0.004545046935594411
6,A1a1,A3b3,-5.553667188355714,6.220277546667064e-08
7,A1a1,A3b4,-8.534678838321037,1.698247356131327e-15
8,A1a1,A4a1,-3.1881748446505607,0.0015494666708487307
9,A1a1,A4a2,-4.54597718489108,7.240102251153416e-06
10,A1a1,A4a3,-6.20353816806255,1.8839560607291014e-09
11,A1a1,A4a4,-7.247507852051164,5.3711225826410495e-12
12,A1a1,A4b1,-2.304864377804567,0.021740378649423762
13,A1a1,A4b2,-4.53920098362152,7.403184292395576e-06
14,A1a1,A4b3,-6.113150998170767,3.5576989120586906e-09
15,A1a1,A4b4,-6.940747005990455,2.946729260013475e-11
16,A1a1,H2a1,7.226499197217367,2.292917788888545e-12
17,A1a1,H2a2,1.1562749449701075,0.2485437077273336
18,A1a1,H2a3,-7.7835614087366345,2.252595199323779e-13
19,A1a1,H2a4,-11.171594002413247,2.9657680442847924e-23
20,A1a1,H2b1,9.19923116806812,9.623242893206419e-18
21,A1a1,H2b2,-1.4910317477966941,0.13674508755226986
22,A1a1,H2b3,-9.616791861775594,2.990734560978714e-19
23,A1a1,H2b4,-10.565728171522872,2.3458448108956956e-21
24,A1a2,A3a1,2.0516839021242257,0.04151711174803052
25,A1a2,A3a2,3.262190099837384,0.0012613881159894433
26,A1a2,A3a3,-1.5736349618911651,0.11603191549307217
27,A1a2,A3a4,-2.982692785178767,0.002954222896090982
28,A1a2,A3b1,3.017160359490822,0.0028848821250484274
29,A1a2,A3b2,1.3160174254947967,0.18923158184123293
30,A1a2,A3b3,-0.19013737777425063,0.8492584258235514
31,A1a2,A3b4,-4.2085891916012725,2.8968126155225048e-05
32,A1a2,A4a1,-0.7893920242898274,0.4304604659308229
33,A1a2,A4a2,0.25128263365263465,0.8016938712732861
34,A1a2,A4a3,-1.087151524735028,0.2773653616239935
35,A1a2,A4a4,-2.302033419803266,0.02163213495089924
36,A1a2,A4b1,-0.18138582699813763,0.8561812894156587
37,A1a2,A4b2,0.13837174351390874,0.8900013211989841
38,A1a2,A4b3,-0.6946439256652011,0.48751460798327895
39,A1a2,A4b4,-1.9765391668708756,0.048495776609795545
40,A1a2,H2a1,12.131424192769687,1.9572993692009404e-28
41,A1a2,H2a2,9.729363370438065,2.6595810537070686e-21
42,A1a2,H2a3,-3.0250083536764167,0.002566430326261071
43,A1a2,H2a4,-8.3410572471956,3.6761258650744737e-16
44,A1a2,H2b1,12.050102126351398,2.718541944830993e-26
45,A1a2,H2b2,4.541656191228605,6.4483048961140984e-06
46,A1a2,H2b3,-5.956961422953565,3.637212575650147e-09
47,A1a2,H2b4,-7.379272305419816,4.4021415255504057e-13
48,A1a3,A3a1,1.8935825538601883,0.059763832160640996
49,A1a3,A3a2,2.908709035101242,0.004000578248684211
50,A1a3,A3a3,-2.71362341010359,0.006844278846546814
51,A1a3,A3a4,-4.849536034195891,1.4168694112224544e-06
52,A1a3,A3b1,2.863322018314553,0.004649252245103786
53,A1a3,A3b2,0.8382264872498638,0.40272358981081513
54,A1a3,A3b3,-1.1725523333656835,0.24144104062879226
55,A1a3,A3b4,-6.1906961767799835,9.144587855244711e-10
56,A1a3,A4a1,-1.0855953707207158,0.2785048259598568
57,A1a3,A4a2,-0.44505680854592194,0.6565013082449596
58,A1a3,A4a3,-2.2005636116899976,0.028158179190674298
59,A1a3,A4a4,-3.8298760480996012,0.0001393332943572076
60,A1a3,A4b1,-0.4289807223197861,0.6682408231757369
61,A1a3,A4b2,-0.5411720703967358,0.5886749848185312
62,A1a3,A4b3,-1.8802796294134503,0.06050321361580539
63,A1a3,A4b4,-3.329957822558532,0.0009176853785543132
64,A1a3,H2a1,12.051219005815172,1.1524526245911915e-27
65,A1a3,H2a2,10.137170347410688,5.332703982353168e-23
66,A1a3,H2a3,-4.818859361253524,1.6161864060931712e-06
67,A1a3,H2a4,-11.44588361965262,5.381637527752574e-29
68,A1a3,H2b1,11.913603522651103,1.226703416749428e-25
69,A1a3,H2b2,4.16573296463539,3.4955579510752855e-05
70,A1a3,H2b3,-7.739205338190802,2.3963355553510964e-14
71,A1a3,H2b4,-10.29605040598521,5.8261573469795026e-24
72,A1a4,A3a1,2.084397386818862,0.03844125102145014
73,A1a4,A3a2,3.476466449829681,0.0006196489428834651
74,A1a4,A3a3,-1.802810176280964,0.0720525831743549
75,A1a4,A3a4,-4.018120784983132,6.321187783748504e-05
76,A1a4,A3b1,3.0561450778622063,0.0025580634349271834
77,A1a4,A3b2,1.4687261705323862,0.14332154391995
78,A1a4,A3b3,-0.11398740392820744,0.9092969672242525
79,A1a4,A3b4,-5.559069717939486,3.8593082556237206e-08
80,A1a4,A4a1,-0.7715396998002828,0.4409933280162922
81,A1a4,A4a2,0.36850540466302706,0.7127081435942142
82,A1a4,A4a3,-1.2204294329354126,0.2229420508248869
83,A1a4,A4a4,-2.8999102120785887,0.003883757267909618
84,A1a4,A4b1,-0.1555400046506676,0.8765008414063307
85,A1a4,A4b2,0.23691412081383836,0.8128572315446208
86,A1a4,A4b3,-0.7606552322512568,0.4472187034324999
87,A1a4,A4b4,-2.3913542589481387,0.017161772345437202
88,A1a4,H2a1,12.770280546533646,6.659477349375067e-30
89,A1a4,H2a2,12.3692105027536,3.6396729548041394e-32
90,A1a4,H2a3,-3.991808175088674,6.953500462881909e-05
91,A1a4,H2a4,-11.71324274897027,2.5711365867754412e-30
92,A1a4,H2b1,12.284048646594709,1.0944467849821372e-26
93,A1a4,H2b2,5.304981176299684,1.6031428023509018e-07
94,A1a4,H2b3,-7.248561275812561,9.58009103079639e-13
95,A1a4,H2b4,-10.383107320262694,2.185830095145669e-24
96,A1b1,A3a1,1.7091260840322853,0.08875083403263874
97,A1b1,A3a2,1.9894210485607076,0.04724373582016103
98,A1b1,A3a3,-1.5927978090236339,0.1119237157354917
99,A1b1,A3a4,-2.1775697017337463,0.030071496197962164
