,T-Stat,p-value,x
427,-28.17943792726478,1.2578233337243445e-110,H1a2H2a4
431,-27.355095232898467,5.549219271814841e-106,H1a2H2b4
406,-32.162031234033236,9.993588612027083e-93,H1a1H2b3
430,-22.98709575514573,1.930861930260914e-90,H1a2H2b3
403,-34.41024375241122,2.7876738206384706e-89,H1a1H2a4
407,-33.9613054370207,4.4109464708925194e-88,H1a1H2b4
415,-23.509235757727282,2.9386291112633014e-87,H1a2A3b4
391,-32.11007717878625,6.4321828493710284e-86,H1a1A3b4
386,-29.492134191045405,7.339100934339345e-86,H1a1A3a3
399,-30.381930225352917,8.026686395676814e-85,H1a1A4b4
394,-29.41165293261811,1.4232176808702908e-84,H1a1A4a3
402,-31.59153337725422,3.2197068695270767e-84,H1a1H2a3
395,-30.92618366910749,3.5213917379087914e-84,H1a1A4a4
411,-22.97312271661576,1.192314265438415e-83,H1a2A3a4
397,-25.82746455594695,1.5841163112907219e-83,H1a1A4b2
387,-31.72088692818986,1.587101145357546e-83,H1a1A3a4
393,-26.12054149164083,1.5926236898630708e-83,H1a1A4a2
426,-22.609833768821147,1.698634244940507e-83,H1a2H2a3
390,-28.837027519869675,2.9852507199250558e-83,H1a1A3b3
398,-29.84388271078345,1.3852546041576064e-82,H1a1A4b3
419,-21.20281979055228,5.288135704729092e-75,H1a2A4a4
405,-24.211748085105736,1.074708305275637e-74,H1a1H2b2
473,19.908186447534572,5.6007331612343195e-73,H1a4H2a2
502,-25.81202218868162,4.311328065298337e-71,H1b1H2b3
499,-27.325584253656057,2.289295737956236e-70,H1b1H2a4
389,-22.131908504921004,2.5033226587847245e-70,H1a1A3b2
423,-20.08069930838229,1.3328797839887544e-69,H1a2A4b4
503,-26.927338022868934,2.9679953911548475e-69,H1b1H2b4
487,-25.437028091240727,1.673069000865121e-66,H1b1A3b4
401,-23.81656558113374,2.0082379809060463e-66,H1a1H2a2
498,-24.959109710759986,5.763520827168888e-65,H1b1H2a3
482,-23.530937188383945,1.0808443731564573e-64,H1b1A3a3
422,-19.17284722698652,1.2079020868647765e-64,H1a2A4b3
483,-25.02105599630274,1.2839093683218012e-64,H1b1A3a4
495,-24.11519783819884,1.4464822335870768e-64,H1b1A4b4
491,-24.475899340680673,1.6666482246032407e-64,H1b1A4a4
490,-23.404921627270614,9.354651834193497e-64,H1b1A4a3
494,-23.602082526670365,1.166384491918769e-62,H1b1A4b3
486,-22.919149800611898,1.925725642047072e-62,H1b1A3b3
493,-20.954193138329398,1.3449933954007869e-61,H1b1A4b2
489,-21.12855438534746,1.4129362905890928e-61,H1b1A4a2
410,-18.428524354843468,1.7004284721095828e-61,H1a2A3a3
418,-18.310585784789932,1.9420280599894466e-60,H1a2A4a3
569,16.880686076701803,1.0558540162447209e-56,H1b4H2a2
414,-17.335308533265817,1.3572289415894578e-55,H1a2A3b3
385,-18.579244671305474,4.9232004049818844e-55,H1a1A3a2
501,-19.237082932626304,1.5982487487243863e-53,H1b1H2b2
485,-18.236874994277507,4.600037335398547e-53,H1b1A3b2
497,-18.410554520729008,2.5862836438859693e-47,H1b1H2a2
392,-16.057880559790284,6.6235260100707194e-46,H1a1A4a1
472,16.15402965744961,1.2846487631759443e-42,H1a4H2a1
481,-15.348886554697915,1.4547074824415936e-41,H1b1A3a2
568,15.507934063262583,2.994431537488918e-41,H1b4H2a1
281,13.691456414289584,1.9059407581364816e-38,A2a4H2a2
547,-13.428503137586,9.507517204093024e-38,H1b3H2a4
488,-13.991490116378364,2.599695639142527e-37,H1b1A4a1
523,-13.767364952514239,2.2892379200550728e-36,H1b2H2a4
417,-13.52218422481059,3.283922135031854e-36,H1a2A4a2
161,13.22428044817913,8.554727940947023e-36,A1b3H2a2
136,13.950875120970231,1.0547249595840777e-35,A1b2H2a1
396,-13.737729336722296,1.5103960858821363e-35,H1a1A4b1
185,13.196568268424521,3.900169828708986e-35,A1b4H2a2
184,13.87783745309128,4.5430784962656924e-35,A1b4H2a1
137,13.016741843265619,6.14324358194844e-35,A1b2H2a2
421,-13.22301457253895,8.945294129624424e-35,H1a2A4b2
160,13.814702560074599,1.0163219431245175e-34,A1b3H2a1
280,13.73042773711735,6.249783759101331e-34,A2a4H2a1
527,-13.158233790096945,9.051790488789038e-34,H1b2H2b4
476,14.307392927383992,2.9052126795946915e-33,H1a4H2b1
551,-12.476365292020574,3.785597944693916e-33,H1b3H2b4
451,-12.371285193614147,4.510511671489942e-33,H1a3H2a4
572,14.054406114634888,8.789285977396635e-33,H1b4H2b1
233,12.434165800138736,1.5887124662173217e-32,A2a2H2a2
232,13.277356624257216,1.9922234629679194e-32,A2a2H2a1
89,12.3692105027536,3.6396729548041394e-32,A1a4H2a2
352,13.151887678281641,5.79869041567686e-32,A2b3H2a1
328,13.021674849128601,1.1207031363392234e-31,A2b2H2a1
376,13.04809075157929,1.5805760082561616e-31,A2b4H2a1
353,12.154864649998862,3.283424633532789e-31,A2b3H2a2
304,12.456209753286528,5.9161911824261905e-31,A2b1H2a1
377,11.992690787647957,1.961306950320698e-30,A2b4H2a2
91,-11.71324274897027,2.5711365867754412e-30,A1a4H2a4
140,13.208454036184323,3.1139915534687905e-30,A1b2H2b1
88,12.770280546533646,6.659477349375067e-30,A1a4H2a1
256,12.661847642584153,6.719859647352333e-30,A2a3H2a1
526,-11.973012318440974,8.304910643637137e-30,H1b2H2b3
188,13.114214506180312,8.70704477844672e-30,A1b4H2b1
164,13.054721067407149,1.541149813211264e-29,A1b3H2b1
67,-11.44588361965262,5.381637527752574e-29,A1a3H2a4
492,-12.029607501123008,5.796762222826092e-29,H1b1A4b1
284,12.929920200001172,6.031039353141638e-29,A2a4H2b1
329,11.630873040694855,6.831913695820738e-29,A2b2H2a2
308,12.569401963241567,6.999992720113992e-29,A2b1H2b1
40,12.131424192769687,1.9572993692009404e-28,A1a2H2a1
236,12.69013168660096,3.032044745095558e-28,A2a2H2b1
257,11.44630340979724,3.505197272445887e-28,A2a3H2a2
356,12.616600717585866,5.207349379547383e-28,A2b3H2b1
455,-11.273371483971422,5.317090407601647e-28,H1a3H2b4
332,12.572545019178284,5.948547749030473e-28,A2b2H2b1
380,12.547216475035087,9.113735487546895e-28,A2b4H2b1
64,12.051219005815172,1.1524526245911915e-27,A1a3H2a1
477,11.293446965719104,4.239947693694611e-27,H1a4H2b2
