,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,-1778.314,2018-06-02 21:27:01.243716000,A1a1,2018-06-02 21:27:03.022030000,394.0,0 days 00:00:01.346757000,2018-06-02 21:27:03.695408500,2018-06-02 21:27:02.360261000,2018-06-02 21:27:02.859585000,-162.445,-149.32,99.23652296659733,-1508.9482307692306,121.85779077074083,0,-55.027000000000015
2,-1509.202,2018-06-02 21:27:02.859585000,A1a1,2018-06-02 21:27:04.368787000,394.0,0 days 00:00:01.323538000,2018-06-02 21:27:05.030556000,2018-06-02 21:27:03.695408500,2018-06-02 21:27:04.151315000,-217.472,-149.32,99.23652296659733,-1508.9482307692306,121.85779077074083,0,79.13900000000001
3,-1541.01,2018-06-02 21:27:04.151315000,A1a1,2018-06-02 21:27:05.692325000,394.0,0 days 00:00:01.346757000,2018-06-02 21:27:06.365703500,2018-06-02 21:27:05.030556000,2018-06-02 21:27:05.553992000,-138.333,-149.32,99.23652296659733,-1508.9482307692306,121.85779077074083,0,-162.39399999999998
4,-1485.09,2018-06-02 21:27:05.553992000,A1a1,2018-06-02 21:27:07.039082000,394.0,0 days 00:00:01.323537000,2018-06-02 21:27:07.700850500,2018-06-02 21:27:06.365703500,2018-06-02 21:27:06.738355000,-300.727,-149.32,99.23652296659733,-1508.9482307692306,121.85779077074083,0,199.28599999999997
5,-1624.264,2018-06-02 21:27:06.738355000,A1a1,2018-06-02 21:27:08.362619000,394.0,0 days 00:00:01.346758000,2018-06-02 21:27:09.035998000,2018-06-02 21:27:07.700850500,2018-06-02 21:27:08.261178000,-101.441,-149.32,99.23652296659733,-1508.9482307692306,121.85779077074083,0,-66.00899999999999
6,-1448.199,2018-06-02 21:27:08.261178000,A1a1,2018-06-02 21:27:09.709377000,394.0,0 days 00:00:01.323537000,2018-06-02 21:27:10.371145500,2018-06-02 21:27:09.035998000,2018-06-02 21:27:09.541927000,-167.45,-149.32,99.23652296659733,-1508.9482307692306,121.85779077074083,0,-74.125
7,-1490.987,2018-06-02 21:27:09.541927000,A1a1,2018-06-02 21:27:11.032914000,394.0,0 days 00:00:01.323538000,2018-06-02 21:27:11.694683000,2018-06-02 21:27:10.371145500,2018-06-02 21:27:10.791339000,-241.575,-149.32,99.23652296659733,-1508.9482307692306,121.85779077074083,0,319.486
8,-1565.113,2018-06-02 21:27:10.791339000,A1a1,2018-06-02 21:27:12.356452000,394.0,0 days 00:00:01.346757000,2018-06-02 21:27:13.029830500,2018-06-02 21:27:11.694683000,2018-06-02 21:27:12.434363000,77.911,-149.32,99.23652296659733,-1508.9482307692306,121.85779077074083,0,-285.31
9,-1268.846,2018-06-02 21:27:12.434363000,A1a1,2018-06-02 21:27:13.703209000,394.0,0 days 00:00:01.323537000,2018-06-02 21:27:14.364977500,2018-06-02 21:27:13.029830500,2018-06-02 21:27:13.495810000,-207.399,-149.32,99.23652296659733,-1508.9482307692306,121.85779077074083,0,204.415
10,-1530.936,2018-06-02 21:27:13.495810000,A1a1,2018-06-02 21:27:15.026746000,394.0,0 days 00:00:01.346758000,2018-06-02 21:27:15.700125000,2018-06-02 21:27:14.364977500,2018-06-02 21:27:15.023762000,-2.984,-149.32,99.23652296659733,-1508.9482307692306,121.85779077074083,0,-191.691
11,-1349.742,2018-06-02 21:27:15.023762000,A1a1,2018-06-02 21:27:16.373504000,394.0,0 days 00:00:01.323537000,2018-06-02 21:27:17.035272500,2018-06-02 21:27:15.700125000,2018-06-02 21:27:16.178829000,-194.675,-149.32,99.23652296659733,-1508.9482307692306,121.85779077074083,0,35.02000000000001
12,-1518.212,2018-06-02 21:27:16.178829000,A1a1,2018-06-02 21:27:17.697041000,394.0,0 days 00:00:01.346757000,2018-06-02 21:27:18.370419500,2018-06-02 21:27:17.035272500,2018-06-02 21:27:17.537386000,-159.655,-149.32,99.23652296659733,-1508.9482307692306,121.85779077074083,0,34.739999999999995
13,-1506.412,2018-06-02 21:27:17.537386000,A1a1,2018-06-02 21:27:19.043798000,394.0,0 days 00:00:01.323538000,2018-06-02 21:27:19.705567000,2018-06-02 21:27:18.370419500,2018-06-02 21:27:18.918883000,-124.915,-149.32,99.23652296659733,-1508.9482307692306,121.85779077074083,0,
