,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,457.787,2018-06-02 21:22:16.729297000,A3b2,2018-06-02 21:22:16.271510000,394,0 days 00:00:00.603719000,2018-06-02 21:22:16.573369500,2018-06-02 21:22:15.958040500,2018-06-02 21:22:16.089409000,-182.101,-92.95376923076923,117.4348273001908,575.6362307692307,73.923355887651,0,36.16900000000001
2,532.792,2018-06-02 21:22:17.408021000,A3b2,2018-06-02 21:22:16.875229000,394,0 days 00:00:00.696598000,2018-06-02 21:22:17.223528000,2018-06-02 21:22:16.573369500,2018-06-02 21:22:16.729297000,-145.932,-92.95376923076923,117.4348273001908,575.6362307692307,73.923355887651,0,-17.874000000000024
3,474.822,2018-06-02 21:22:18.046649000,A3b2,2018-06-02 21:22:17.571827000,394,0 days 00:00:00.743039000,2018-06-02 21:22:17.943346500,2018-06-02 21:22:17.223528000,2018-06-02 21:22:17.408021000,-163.806,-92.95376923076923,117.4348273001908,575.6362307692307,73.923355887651,0,-104.41099999999997
4,715.091,2018-06-02 21:22:19.029957000,A3b2,2018-06-02 21:22:18.314866000,394,0 days 00:00:00.626939000,2018-06-02 21:22:18.628335500,2018-06-02 21:22:17.943346500,2018-06-02 21:22:18.046649000,-268.217,-92.95376923076923,117.4348273001908,575.6362307692307,73.923355887651,0,356.36899999999997
5,638.134,2018-06-02 21:22:19.579939000,A3b2,2018-06-02 21:22:18.941805000,394,0 days 00:00:00.557278000,2018-06-02 21:22:19.220444000,2018-06-02 21:22:18.628335500,2018-06-02 21:22:19.029957000,88.152,-92.95376923076923,117.4348273001908,575.6362307692307,73.923355887651,0,-7.2960000000000065
6,617.574,2018-06-02 21:22:20.116657000,A3b2,2018-06-02 21:22:19.499083000,394,0 days 00:00:00.603719000,2018-06-02 21:22:19.800942500,2018-06-02 21:22:19.220444000,2018-06-02 21:22:19.579939000,80.856,-92.95376923076923,117.4348273001908,575.6362307692307,73.923355887651,0,-67.00099999999999
7,532.343,2018-06-02 21:22:20.635145000,A3b2,2018-06-02 21:22:20.102802000,394,0 days 00:00:00.719819000,2018-06-02 21:22:20.462711500,2018-06-02 21:22:19.800942500,2018-06-02 21:22:20.116657000,13.855,-92.95376923076923,117.4348273001908,575.6362307692307,73.923355887651,0,-201.331
8,622.993,2018-06-02 21:22:21.445614000,A3b2,2018-06-02 21:22:20.822621000,394,0 days 00:00:00.673379000,2018-06-02 21:22:21.159310500,2018-06-02 21:22:20.462711500,2018-06-02 21:22:20.635145000,-187.476,-92.95376923076923,117.4348273001908,575.6362307692307,73.923355887651,0,137.09
9,521.728,2018-06-02 21:22:22.017728000,A3b2,2018-06-02 21:22:21.496000000,394,0 days 00:00:00.580498000,2018-06-02 21:22:21.786249000,2018-06-02 21:22:21.159310500,2018-06-02 21:22:21.445614000,-50.386,-92.95376923076923,117.4348273001908,575.6362307692307,73.923355887651,0,-8.384
10,559.806,2018-06-02 21:22:22.636304000,A3b2,2018-06-02 21:22:22.076498000,394,0 days 00:00:00.719819000,2018-06-02 21:22:22.436407500,2018-06-02 21:22:21.786249000,2018-06-02 21:22:22.017728000,-58.77,-92.95376923076923,117.4348273001908,575.6362307692307,73.923355887651,0,-101.243
11,560.432,2018-06-02 21:22:23.356749000,A3b2,2018-06-02 21:22:22.796317000,394,0 days 00:00:00.766259000,2018-06-02 21:22:23.179446500,2018-06-02 21:22:22.436407500,2018-06-02 21:22:22.636304000,-160.013,-92.95376923076923,117.4348273001908,575.6362307692307,73.923355887651,0,-45.81399999999999
12,658.204,2018-06-02 21:22:24.220780000,A3b2,2018-06-02 21:22:23.562576000,394,0 days 00:00:00.626938000,2018-06-02 21:22:23.876045000,2018-06-02 21:22:23.179446500,2018-06-02 21:22:23.356749000,-205.827,-92.95376923076923,117.4348273001908,575.6362307692307,73.923355887651,0,237.093
13,591.565,2018-06-02 21:22:24.781079000,A3b2,2018-06-02 21:22:24.189514000,394,0 days 00:00:00.580499000,2018-06-02 21:22:24.479763500,2018-06-02 21:22:23.876045000,2018-06-02 21:22:24.220780000,31.266,-92.95376923076923,117.4348273001908,575.6362307692307,73.923355887651,0,
