,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,1364.44,2018-06-02 21:26:41.890436000,H1a2,2018-06-02 21:26:40.525996000,394,0 days 00:00:00.319838000,2018-06-02 21:26:40.685915000,2018-06-02 21:26:40.358110000,2018-06-02 21:26:40.563778000,37.782,30.88666666666666,95.7348292622213,5195.83925,2150.3006762533873,39,
2,2137.62,2018-06-02 21:26:42.983454000,H1a2,2018-06-02 21:26:40.845834000,394,0 days 00:00:00.335980000,2018-06-02 21:26:41.013824000,2018-06-02 21:26:40.685915000,,,30.88666666666666,95.7348292622213,5195.83925,2150.3006762533873,39,
3,2391.245,2018-06-02 21:26:43.573059000,H1a2,2018-06-02 21:26:41.181814000,394,0 days 00:00:00.335690000,2018-06-02 21:26:41.349659000,2018-06-02 21:26:41.013824000,,,30.88666666666666,95.7348292622213,5195.83925,2150.3006762533873,39,
4,2735.117,2018-06-02 21:26:44.252621000,H1a2,2018-06-02 21:26:41.517504000,394,0 days 00:00:00.335896000,2018-06-02 21:26:41.685452000,2018-06-02 21:26:41.349659000,,,30.88666666666666,95.7348292622213,5195.83925,2150.3006762533873,39,
5,3177.281,2018-06-02 21:26:45.030681000,H1a2,2018-06-02 21:26:41.853400000,394,0 days 00:00:00.335830000,2018-06-02 21:26:42.021315000,2018-06-02 21:26:41.685452000,2018-06-02 21:26:41.890436000,37.036,30.88666666666666,95.7348292622213,5195.83925,2150.3006762533873,39,
6,3586.534,2018-06-02 21:26:45.775764000,H1a2,2018-06-02 21:26:42.189230000,394,0 days 00:00:00.319919000,2018-06-02 21:26:42.349189500,2018-06-02 21:26:42.021315000,,,30.88666666666666,95.7348292622213,5195.83925,2150.3006762533873,39,
7,4036.239,2018-06-02 21:26:46.545388000,H1a2,2018-06-02 21:26:42.509149000,394,0 days 00:00:00.335723000,2018-06-02 21:26:42.677010500,2018-06-02 21:26:42.349189500,,,30.88666666666666,95.7348292622213,5195.83925,2150.3006762533873,39,
8,4277.902,2018-06-02 21:26:47.122774000,H1a2,2018-06-02 21:26:42.844872000,394,0 days 00:00:00.335866000,2018-06-02 21:26:43.012805000,2018-06-02 21:26:42.677010500,2018-06-02 21:26:42.983454000,138.582,30.88666666666666,95.7348292622213,5195.83925,2150.3006762533873,39,
9,4740.25,2018-06-02 21:26:47.920988000,H1a2,2018-06-02 21:26:43.180738000,394,0 days 00:00:00.335811000,2018-06-02 21:26:43.348643500,2018-06-02 21:26:43.012805000,,,30.88666666666666,95.7348292622213,5195.83925,2150.3006762533873,39,
10,5141.518,2018-06-02 21:26:48.658067000,H1a2,2018-06-02 21:26:43.516549000,394,0 days 00:00:00.335875000,2018-06-02 21:26:43.684486500,2018-06-02 21:26:43.348643500,2018-06-02 21:26:43.573059000,56.51,30.88666666666666,95.7348292622213,5195.83925,2150.3006762533873,39,
