,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,2107.453,2018-06-02 21:13:33.866331000,H2b4,2018-06-02 21:13:31.758878000,394,0 days 00:00:00.319991000,2018-06-02 21:13:31.918873500,2018-06-02 21:13:31.590960000,,,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,
2,2192.79,2018-06-02 21:13:34.271659000,H2b4,2018-06-02 21:13:32.078869000,394,0 days 00:00:00.335745000,2018-06-02 21:13:32.246741500,2018-06-02 21:13:31.918873500,,,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,
3,2250.092,2018-06-02 21:13:34.664706000,H2b4,2018-06-02 21:13:32.414614000,394,0 days 00:00:00.335759000,2018-06-02 21:13:32.582493500,2018-06-02 21:13:32.246741500,,,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,
4,2356.504,2018-06-02 21:13:35.106877000,H2b4,2018-06-02 21:13:32.750373000,394,0 days 00:00:00.335905000,2018-06-02 21:13:32.918325500,2018-06-02 21:13:32.582493500,,,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,
5,2462.831,2018-06-02 21:13:35.549109000,H2b4,2018-06-02 21:13:33.086278000,394,0 days 00:00:00.335803000,2018-06-02 21:13:33.254179500,2018-06-02 21:13:32.918325500,,,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,
6,2552.769,2018-06-02 21:13:35.974850000,H2b4,2018-06-02 21:13:33.422081000,394,0 days 00:00:00.319769000,2018-06-02 21:13:33.581965500,2018-06-02 21:13:33.254179500,2018-06-02 21:13:33.260539000,-161.542,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,286.023
7,2626.025,2018-06-02 21:13:36.367875000,H2b4,2018-06-02 21:13:33.741850000,394,0 days 00:00:00.335985000,2018-06-02 21:13:33.909842500,2018-06-02 21:13:33.581965500,2018-06-02 21:13:33.866331000,124.481,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,
8,2748.595,2018-06-02 21:13:36.826430000,H2b4,2018-06-02 21:13:34.077835000,394,0 days 00:00:00.335659000,2018-06-02 21:13:34.245664500,2018-06-02 21:13:33.909842500,,,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,
9,2838.841,2018-06-02 21:13:37.252335000,H2b4,2018-06-02 21:13:34.413494000,394,0 days 00:00:00.335868000,2018-06-02 21:13:34.581428000,2018-06-02 21:13:34.245664500,2018-06-02 21:13:34.271659000,-141.835,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,57.179
10,2887.731,2018-06-02 21:13:37.637093000,H2b4,2018-06-02 21:13:34.749362000,394,0 days 00:00:00.335833000,2018-06-02 21:13:34.917278500,2018-06-02 21:13:34.581428000,2018-06-02 21:13:34.664706000,-84.656,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,106.33800000000001
11,2965.294,2018-06-02 21:13:38.050489000,H2b4,2018-06-02 21:13:35.085195000,394,0 days 00:00:00.335811000,2018-06-02 21:13:35.253100500,2018-06-02 21:13:34.917278500,2018-06-02 21:13:35.106877000,21.682,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,106.421
12,3014.433,2018-06-02 21:13:38.435439000,H2b4,2018-06-02 21:13:35.421006000,394,0 days 00:00:00.319814000,2018-06-02 21:13:35.580913000,2018-06-02 21:13:35.253100500,2018-06-02 21:13:35.549109000,128.103,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,
13,3079.495,2018-06-02 21:13:38.820315000,H2b4,2018-06-02 21:13:35.740820000,394,0 days 00:00:00.335888000,2018-06-02 21:13:35.908764000,2018-06-02 21:13:35.580913000,,,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,
14,3161.233,2018-06-02 21:13:39.237941000,H2b4,2018-06-02 21:13:36.076708000,394,0 days 00:00:00.335958000,2018-06-02 21:13:36.244687000,2018-06-02 21:13:35.908764000,2018-06-02 21:13:35.974850000,-101.858,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,57.06700000000001
15,3263.364,2018-06-02 21:13:39.676030000,H2b4,2018-06-02 21:13:36.412666000,394,0 days 00:00:00.335701000,2018-06-02 21:13:36.580516500,2018-06-02 21:13:36.244687000,2018-06-02 21:13:36.367875000,-44.791,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,122.854
16,3406.636,2018-06-02 21:13:40.155003000,H2b4,2018-06-02 21:13:36.748367000,394,0 days 00:00:00.335816000,2018-06-02 21:13:36.916275000,2018-06-02 21:13:36.580516500,2018-06-02 21:13:36.826430000,78.063,-30.203764705882357,102.02643190402267,3546.5259629629622,1171.8910303728521,28,
