,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,1275.037,2018-06-02 21:09:06.205324000,P5H1b3,2018-06-02 21:09:04.930287000,394,0 days 00:00:00.431581000,2018-06-02 21:09:05.146077500,2018-06-02 21:09:04.706352500,,,-2.7641176470588267,128.6605769480702,2131.606235294118,537.7960628469599,6,
2,1461.712,2018-06-02 21:09:06.823580000,P5H1b3,2018-06-02 21:09:05.361868000,394,0 days 00:00:00.447901000,2018-06-02 21:09:05.585818500,2018-06-02 21:09:05.146077500,,,-2.7641176470588267,128.6605769480702,2131.606235294118,537.7960628469599,6,
3,1664.791,2018-06-02 21:09:07.474560000,P5H1b3,2018-06-02 21:09:05.809769000,394,0 days 00:00:00.447634000,2018-06-02 21:09:06.033586000,2018-06-02 21:09:05.585818500,2018-06-02 21:09:05.587207000,-222.562,-2.7641176470588267,128.6605769480702,2131.606235294118,537.7960628469599,6,170.483
4,1679.747,2018-06-02 21:09:07.937150000,P5H1b3,2018-06-02 21:09:06.257403000,394,0 days 00:00:00.447793000,2018-06-02 21:09:06.481299500,2018-06-02 21:09:06.033586000,2018-06-02 21:09:06.205324000,-52.079,-2.7641176470588267,128.6605769480702,2131.606235294118,537.7960628469599,6,170.463
5,1841.941,2018-06-02 21:09:08.547137000,P5H1b3,2018-06-02 21:09:06.705196000,394,0 days 00:00:00.431901000,2018-06-02 21:09:06.921146500,2018-06-02 21:09:06.481299500,2018-06-02 21:09:06.823580000,118.384,-2.7641176470588267,128.6605769480702,2131.606235294118,537.7960628469599,6,
6,1897.28,2018-06-02 21:09:09.034377000,P5H1b3,2018-06-02 21:09:07.137097000,394,0 days 00:00:00.447816000,2018-06-02 21:09:07.361005000,2018-06-02 21:09:06.921146500,,,-2.7641176470588267,128.6605769480702,2131.606235294118,537.7960628469599,6,
7,1887.584,2018-06-02 21:09:09.472497000,P5H1b3,2018-06-02 21:09:07.584913000,394,0 days 00:00:00.447654000,2018-06-02 21:09:07.808740000,2018-06-02 21:09:07.361005000,2018-06-02 21:09:07.474560000,-110.353,-2.7641176470588267,128.6605769480702,2131.606235294118,537.7960628469599,6,14.935999999999993
8,1869.697,2018-06-02 21:09:09.902264000,P5H1b3,2018-06-02 21:09:08.032567000,394,0 days 00:00:00.447793000,2018-06-02 21:09:08.256463500,2018-06-02 21:09:07.808740000,2018-06-02 21:09:07.937150000,-95.417,-2.7641176470588267,128.6605769480702,2131.606235294118,537.7960628469599,6,162.19400000000002
9,1892.81,2018-06-02 21:09:10.373170000,P5H1b3,2018-06-02 21:09:08.480360000,394,0 days 00:00:00.431804000,2018-06-02 21:09:08.696262000,2018-06-02 21:09:08.256463500,2018-06-02 21:09:08.547137000,66.777,-2.7641176470588267,128.6605769480702,2131.606235294118,537.7960628469599,6,55.43599999999999
10,2103.837,2018-06-02 21:09:11.016001000,P5H1b3,2018-06-02 21:09:08.912164000,394,0 days 00:00:00.447732000,2018-06-02 21:09:09.136030000,2018-06-02 21:09:08.696262000,2018-06-02 21:09:09.034377000,122.213,-2.7641176470588267,128.6605769480702,2131.606235294118,537.7960628469599,6,-9.611999999999995
11,2266.123,2018-06-02 21:09:11.626019000,P5H1b3,2018-06-02 21:09:09.359896000,394,0 days 00:00:00.447774000,2018-06-02 21:09:09.583783000,2018-06-02 21:09:09.136030000,2018-06-02 21:09:09.472497000,112.601,-2.7641176470588267,128.6605769480702,2131.606235294118,537.7960628469599,6,-18.007000000000005
12,2387.418,2018-06-02 21:09:12.195088000,P5H1b3,2018-06-02 21:09:09.807670000,394,0 days 00:00:00.447744000,2018-06-02 21:09:10.031542000,2018-06-02 21:09:09.583783000,2018-06-02 21:09:09.902264000,94.594,-2.7641176470588267,128.6605769480702,2131.606235294118,537.7960628469599,6,23.162000000000006
