,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,2620.604,2018-06-02 21:09:48.697036000,P7A1b1,2018-06-02 21:09:46.076432000,394,0 days 00:00:01.346758000,2018-06-02 21:09:46.749811000,2018-06-02 21:09:45.403053500,,,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,
2,2633.189,2018-06-02 21:09:50.056379000,P7A1b1,2018-06-02 21:09:47.423190000,394,0 days 00:00:01.323537000,2018-06-02 21:09:48.084958500,2018-06-02 21:09:46.749811000,2018-06-02 21:09:47.381871000,-41.319,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,-8.372
3,2469.775,2018-06-02 21:09:51.216502000,P7A1b1,2018-06-02 21:09:48.746727000,394,0 days 00:00:01.346758000,2018-06-02 21:09:49.420106000,2018-06-02 21:09:48.084958500,2018-06-02 21:09:48.697036000,-49.691,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,12.585
4,2348.829,2018-06-02 21:09:52.442314000,P7A1b1,2018-06-02 21:09:50.093485000,394,0 days 00:00:01.323537000,2018-06-02 21:09:50.755253500,2018-06-02 21:09:49.420106000,2018-06-02 21:09:50.056379000,-37.106,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,-163.41400000000002
5,2691.819,2018-06-02 21:09:54.108841000,P7A1b1,2018-06-02 21:09:51.417022000,394,0 days 00:00:01.323537000,2018-06-02 21:09:52.078790500,2018-06-02 21:09:50.755253500,2018-06-02 21:09:51.216502000,-200.52,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,-97.725
6,2726.561,2018-06-02 21:09:55.467120000,P7A1b1,2018-06-02 21:09:52.740559000,394,0 days 00:00:01.346758000,2018-06-02 21:09:53.413938000,2018-06-02 21:09:52.078790500,2018-06-02 21:09:52.442314000,-298.245,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,319.769
7,2881.095,2018-06-02 21:09:56.968412000,P7A1b1,2018-06-02 21:09:54.087317000,394,0 days 00:00:01.323537000,2018-06-02 21:09:54.749085500,2018-06-02 21:09:53.413938000,2018-06-02 21:09:54.108841000,21.524,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,34.742
8,2671.996,2018-06-02 21:09:58.082850000,P7A1b1,2018-06-02 21:09:55.410854000,394,0 days 00:00:01.346758000,2018-06-02 21:09:56.084233000,2018-06-02 21:09:54.749085500,2018-06-02 21:09:55.467120000,56.266,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,154.53400000000002
9,2645.218,2018-06-02 21:09:59.402830000,P7A1b1,2018-06-02 21:09:56.757612000,394,0 days 00:00:01.323537000,2018-06-02 21:09:57.419380500,2018-06-02 21:09:56.084233000,2018-06-02 21:09:56.968412000,210.8,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,-209.09900000000002
10,2641.975,2018-06-02 21:10:00.723124000,P7A1b1,2018-06-02 21:09:58.081149000,394,0 days 00:00:01.346757000,2018-06-02 21:09:58.754527500,2018-06-02 21:09:57.419380500,2018-06-02 21:09:58.082850000,1.701,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,-26.777
11,2615.368,2018-06-02 21:10:02.043274000,P7A1b1,2018-06-02 21:09:59.427906000,394,0 days 00:00:01.323538000,2018-06-02 21:10:00.089675000,2018-06-02 21:09:58.754527500,2018-06-02 21:09:59.402830000,-25.076,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,-3.2439999999999998
12,2871.043,2018-06-02 21:10:03.622487000,P7A1b1,2018-06-02 21:10:00.751444000,394,0 days 00:00:01.323537000,2018-06-02 21:10:01.413212500,2018-06-02 21:10:00.089675000,2018-06-02 21:10:00.723124000,-28.32,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,-3.3870000000000005
13,2619.939,2018-06-02 21:10:04.694920000,P7A1b1,2018-06-02 21:10:02.074981000,394,0 days 00:00:01.346757000,2018-06-02 21:10:02.748359500,2018-06-02 21:10:01.413212500,2018-06-02 21:10:02.043274000,-31.707,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,232.456
14,2586.726,2018-06-02 21:10:06.008464000,P7A1b1,2018-06-02 21:10:03.421738000,394,0 days 00:00:01.323538000,2018-06-02 21:10:04.083507000,2018-06-02 21:10:02.748359500,2018-06-02 21:10:03.622487000,200.749,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,-251.105
15,2603.869,2018-06-02 21:10:07.349145000,P7A1b1,2018-06-02 21:10:04.745276000,394,0 days 00:00:01.346757000,2018-06-02 21:10:05.418654500,2018-06-02 21:10:04.083507000,2018-06-02 21:10:04.694920000,-50.356,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,-33.213
16,2598.713,2018-06-02 21:10:08.690746000,P7A1b1,2018-06-02 21:10:06.092033000,394,0 days 00:00:01.323538000,2018-06-02 21:10:06.753802000,2018-06-02 21:10:05.418654500,2018-06-02 21:10:06.008464000,-83.569,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,17.143
17,2650.249,2018-06-02 21:10:10.065820000,P7A1b1,2018-06-02 21:10:07.415571000,394,0 days 00:00:01.323537000,2018-06-02 21:10:08.077339500,2018-06-02 21:10:06.753802000,2018-06-02 21:10:07.349145000,-66.426,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,18.064
18,2730.525,2018-06-02 21:10:11.469633000,P7A1b1,2018-06-02 21:10:08.739108000,394,0 days 00:00:01.346757000,2018-06-02 21:10:09.412486500,2018-06-02 21:10:08.077339500,2018-06-02 21:10:08.690746000,-48.362,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,28.317
19,2624.517,2018-06-02 21:10:12.710382000,P7A1b1,2018-06-02 21:10:10.085865000,394,0 days 00:00:01.323538000,2018-06-02 21:10:10.747634000,2018-06-02 21:10:09.412486500,2018-06-02 21:10:10.065820000,-20.045,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,80.275
20,2619.191,2018-06-02 21:10:14.028594000,P7A1b1,2018-06-02 21:10:11.409403000,394,0 days 00:00:01.346757000,2018-06-02 21:10:12.082781500,2018-06-02 21:10:10.747634000,2018-06-02 21:10:11.469633000,60.23,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,-106.008
21,2634.11,2018-06-02 21:10:15.390270000,P7A1b1,2018-06-02 21:10:12.756160000,394,0 days 00:00:01.323538000,2018-06-02 21:10:13.417929000,2018-06-02 21:10:12.082781500,2018-06-02 21:10:12.710382000,-45.778,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,-5.3260000000000005
22,2540.228,2018-06-02 21:10:16.619926000,P7A1b1,2018-06-02 21:10:14.079698000,394,0 days 00:00:01.346757000,2018-06-02 21:10:14.753076500,2018-06-02 21:10:13.417929000,2018-06-02 21:10:14.028594000,-51.104,-25.0644761904762,108.93378158386821,2637.5245000000004,111.82564999853666,1,
