,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
0,1,-1778.3139999999999,2018-06-02 21:27:01.243716000,A1a1,2018-06-02 21:27:03.022030000,394.0,0 days 00:00:01.346757000,2018-06-02 21:27:03.695408500,2018-06-02 21:27:02.360261000,2018-06-02 21:27:02.859585000,-162.445,-149.32,99.2365229665973,-1508.9482307692306,121.85779077074085,0,-55.02700000000002
1,2,-1509.2020000000002,2018-06-02 21:27:02.859585000,A1a1,2018-06-02 21:27:04.368787000,394.0,0 days 00:00:01.323538000,2018-06-02 21:27:05.030556000,2018-06-02 21:27:03.695408500,2018-06-02 21:27:04.151315000,-217.472,-149.32,99.2365229665973,-1508.9482307692306,121.85779077074085,0,79.13900000000002
2,3,-1541.01,2018-06-02 21:27:04.151315000,A1a1,2018-06-02 21:27:05.692325000,394.0,0 days 00:00:01.346757000,2018-06-02 21:27:06.365703500,2018-06-02 21:27:05.030556000,2018-06-02 21:27:05.553992000,-138.333,-149.32,99.2365229665973,-1508.9482307692306,121.85779077074085,0,-162.39399999999995
3,4,-1485.09,2018-06-02 21:27:05.553992000,A1a1,2018-06-02 21:27:07.039082000,394.0,0 days 00:00:01.323537000,2018-06-02 21:27:07.700850500,2018-06-02 21:27:06.365703500,2018-06-02 21:27:06.738355000,-300.72700000000003,-149.32,99.2365229665973,-1508.9482307692306,121.85779077074085,0,199.286
4,5,-1624.264,2018-06-02 21:27:06.738355000,A1a1,2018-06-02 21:27:08.362619000,394.0,0 days 00:00:01.346758000,2018-06-02 21:27:09.035998000,2018-06-02 21:27:07.700850500,2018-06-02 21:27:08.261178000,-101.441,-149.32,99.2365229665973,-1508.9482307692306,121.85779077074085,0,-66.00899999999999
5,6,-1448.1989999999998,2018-06-02 21:27:08.261178000,A1a1,2018-06-02 21:27:09.709377000,394.0,0 days 00:00:01.323537000,2018-06-02 21:27:10.371145500,2018-06-02 21:27:09.035998000,2018-06-02 21:27:09.541927000,-167.45,-149.32,99.2365229665973,-1508.9482307692306,121.85779077074085,0,-74.125
6,7,-1490.987,2018-06-02 21:27:09.541927000,A1a1,2018-06-02 21:27:11.032914000,394.0,0 days 00:00:01.323538000,2018-06-02 21:27:11.694683000,2018-06-02 21:27:10.371145500,2018-06-02 21:27:10.791339000,-241.575,-149.32,99.2365229665973,-1508.9482307692306,121.85779077074085,0,319.486
7,8,-1565.1129999999998,2018-06-02 21:27:10.791339000,A1a1,2018-06-02 21:27:12.356452000,394.0,0 days 00:00:01.346757000,2018-06-02 21:27:13.029830500,2018-06-02 21:27:11.694683000,2018-06-02 21:27:12.434363000,77.911,-149.32,99.2365229665973,-1508.9482307692306,121.85779077074085,0,-285.31
8,9,-1268.846,2018-06-02 21:27:12.434363000,A1a1,2018-06-02 21:27:13.703209000,394.0,0 days 00:00:01.323537000,2018-06-02 21:27:14.364977500,2018-06-02 21:27:13.029830500,2018-06-02 21:27:13.495810000,-207.399,-149.32,99.2365229665973,-1508.9482307692306,121.85779077074085,0,204.415
9,10,-1530.9360000000001,2018-06-02 21:27:13.495810000,A1a1,2018-06-02 21:27:15.026746000,394.0,0 days 00:00:01.346758000,2018-06-02 21:27:15.700125000,2018-06-02 21:27:14.364977500,2018-06-02 21:27:15.023762000,-2.984,-149.32,99.2365229665973,-1508.9482307692306,121.85779077074085,0,-191.69099999999997
10,11,-1349.7420000000002,2018-06-02 21:27:15.023762000,A1a1,2018-06-02 21:27:16.373504000,394.0,0 days 00:00:01.323537000,2018-06-02 21:27:17.035272500,2018-06-02 21:27:15.700125000,2018-06-02 21:27:16.178829000,-194.675,-149.32,99.2365229665973,-1508.9482307692306,121.85779077074085,0,35.02000000000001
11,12,-1518.2120000000002,2018-06-02 21:27:16.178829000,A1a1,2018-06-02 21:27:17.697041000,394.0,0 days 00:00:01.346757000,2018-06-02 21:27:18.370419500,2018-06-02 21:27:17.035272500,2018-06-02 21:27:17.537386000,-159.655,-149.32,99.2365229665973,-1508.9482307692306,121.85779077074085,0,34.739999999999995
12,13,-1506.412,2018-06-02 21:27:17.537386000,A1a1,2018-06-02 21:27:19.043798000,394.0,0 days 00:00:01.323538000,2018-06-02 21:27:19.705567000,2018-06-02 21:27:18.370419500,2018-06-02 21:27:18.918883000,-124.915,-149.32,99.2365229665973,-1508.9482307692306,121.85779077074085,0,
13,1,-146.77200000000002,2018-06-02 21:19:58.339984000,A1a2,2018-06-02 21:19:58.486756000,394.0,0 days 00:00:00.673379000,2018-06-02 21:19:58.823445500,2018-06-02 21:19:58.150067000,2018-06-02 21:19:58.339984000,-146.77200000000002,-58.630571428571436,85.17747860504694,-58.630571428571436,85.17747860504694,0,61.68299999999999
14,2,-85.089,2018-06-02 21:19:59.075046000,A1a2,2018-06-02 21:19:59.160135000,394.0,0 days 00:00:00.650159000,2018-06-02 21:19:59.485214500,2018-06-02 21:19:58.823445500,2018-06-02 21:19:59.075046000,-85.089,-58.630571428571436,85.17747860504694,-58.630571428571436,85.17747860504694,0,6.506
15,3,-78.583,2018-06-02 21:19:59.731711000,A1a2,2018-06-02 21:19:59.810294000,394.0,0 days 00:00:00.673378000,2018-06-02 21:20:00.146983000,2018-06-02 21:19:59.485214500,2018-06-02 21:19:59.731711000,-78.583,-58.630571428571436,85.17747860504694,-58.630571428571436,85.17747860504694,0,-17.539
16,4,-96.12200000000001,2018-06-02 21:20:00.387550000,A1a2,2018-06-02 21:20:00.483672000,394.0,0 days 00:00:00.673379000,2018-06-02 21:20:00.820361500,2018-06-02 21:20:00.146983000,2018-06-02 21:20:00.387550000,-96.12200000000001,-58.630571428571436,85.17747860504694,-58.630571428571436,85.17747860504694,0,45.98
17,5,-50.141999999999996,2018-06-02 21:20:01.106909000,A1a2,2018-06-02 21:20:01.157051000,394.0,0 days 00:00:00.673379000,2018-06-02 21:20:01.493740500,2018-06-02 21:20:00.820361500,2018-06-02 21:20:01.106909000,-50.141999999999996,-58.630571428571436,85.17747860504694,-58.630571428571436,85.17747860504694,0,-11.726
18,6,-61.868,2018-06-02 21:20:01.768562000,A1a2,2018-06-02 21:20:01.830430000,394.0,0 days 00:00:00.650159000,2018-06-02 21:20:02.155509500,2018-06-02 21:20:01.493740500,2018-06-02 21:20:01.768562000,-61.868,-58.630571428571436,85.17747860504694,-58.630571428571436,85.17747860504694,0,-15.46
19,7,-77.328,2018-06-02 21:20:02.403261000,A1a2,2018-06-02 21:20:02.480589000,394.0,0 days 00:00:00.673378000,2018-06-02 21:20:02.817278000,2018-06-02 21:20:02.155509500,2018-06-02 21:20:02.403261000,-77.328,-58.630571428571436,85.17747860504694,-58.630571428571436,85.17747860504694,0,88.31400000000002
20,8,10.985999999999999,2018-06-02 21:20:03.164953000,A1a2,2018-06-02 21:20:03.153967000,394.0,0 days 00:00:00.673379000,2018-06-02 21:20:03.490656500,2018-06-02 21:20:02.817278000,2018-06-02 21:20:03.164953000,10.985999999999999,-58.630571428571436,85.17747860504694,-58.630571428571436,85.17747860504694,0,40.94799999999999
21,9,51.934,2018-06-02 21:20:03.879280000,A1a2,2018-06-02 21:20:03.827346000,394.0,0 days 00:00:00.650159000,2018-06-02 21:20:04.152425500,2018-06-02 21:20:03.490656500,2018-06-02 21:20:03.879280000,51.934,-58.630571428571436,85.17747860504694,-58.630571428571436,85.17747860504694,0,-55.81399999999999
22,10,-3.88,2018-06-02 21:20:04.473625000,A1a2,2018-06-02 21:20:04.477505000,394.0,0 days 00:00:00.673378000,2018-06-02 21:20:04.814194000,2018-06-02 21:20:04.152425500,2018-06-02 21:20:04.473625000,-3.88,-58.630571428571436,85.17747860504694,-58.630571428571436,85.17747860504694,0,-67.462
