,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,-22.684,2018-05-31 23:23:30.710304000,A2a2,2018-05-31 23:23:30.732988000,412,0 days 00:00:00.673379000,2018-05-31 23:23:31.069677500,2018-05-31 23:23:30.407909000,2018-05-31 23:23:30.710304000,-22.684,35.48094736842105,79.87937883770176,35.48094736842105,79.87937883770176,0,-66.94500000000001
2,-89.629,2018-05-31 23:23:31.316738000,A2a2,2018-05-31 23:23:31.406367000,412,0 days 00:00:00.673379000,2018-05-31 23:23:31.743056500,2018-05-31 23:23:31.069677500,2018-05-31 23:23:31.316738000,-89.629,35.48094736842105,79.87937883770176,35.48094736842105,79.87937883770176,0,35.83200000000001
3,-53.797,2018-05-31 23:23:32.025949000,A2a2,2018-05-31 23:23:32.079746000,412,0 days 00:00:00.650158000,2018-05-31 23:23:32.404825000,2018-05-31 23:23:31.743056500,2018-05-31 23:23:32.025949000,-53.797,35.48094736842105,79.87937883770176,35.48094736842105,79.87937883770176,0,41.658
4,-12.139,2018-05-31 23:23:32.717765000,A2a2,2018-05-31 23:23:32.729904000,412,0 days 00:00:00.673379000,2018-05-31 23:23:33.066593500,2018-05-31 23:23:32.404825000,2018-05-31 23:23:32.717765000,-12.139,35.48094736842105,79.87937883770176,35.48094736842105,79.87937883770176,0,145.601
5,133.462,2018-05-31 23:23:33.536745000,A2a2,2018-05-31 23:23:33.403283000,412,0 days 00:00:00.673379000,2018-05-31 23:23:33.739972500,2018-05-31 23:23:33.066593500,2018-05-31 23:23:33.536745000,133.462,35.48094736842105,79.87937883770176,35.48094736842105,79.87937883770176,0,-79.564
6,53.898,2018-05-31 23:23:34.130560000,A2a2,2018-05-31 23:23:34.076662000,412,0 days 00:00:00.673379000,2018-05-31 23:23:34.413351500,2018-05-31 23:23:33.739972500,2018-05-31 23:23:34.130560000,53.898,35.48094736842105,79.87937883770176,35.48094736842105,79.87937883770176,0,-32.865
7,21.033,2018-05-31 23:23:34.771074000,A2a2,2018-05-31 23:23:34.750041000,412,0 days 00:00:00.650158000,2018-05-31 23:23:35.075120000,2018-05-31 23:23:34.413351500,2018-05-31 23:23:34.771074000,21.033,35.48094736842105,79.87937883770176,35.48094736842105,79.87937883770176,0,13.513999999999996
8,34.547,2018-05-31 23:23:35.434746000,A2a2,2018-05-31 23:23:35.400199000,412,0 days 00:00:00.673379000,2018-05-31 23:23:35.736888500,2018-05-31 23:23:35.075120000,2018-05-31 23:23:35.434746000,34.547,35.48094736842105,79.87937883770176,35.48094736842105,79.87937883770176,0,-8.595999999999997
9,25.951,2018-05-31 23:23:36.099529000,A2a2,2018-05-31 23:23:36.073578000,412,0 days 00:00:00.673379000,2018-05-31 23:23:36.410267500,2018-05-31 23:23:35.736888500,2018-05-31 23:23:36.099529000,25.951,35.48094736842105,79.87937883770176,35.48094736842105,79.87937883770176,0,47.315999999999995
10,73.267,2018-05-31 23:23:36.820224000,A2a2,2018-05-31 23:23:36.746957000,412,0 days 00:00:00.650158000,2018-05-31 23:23:37.072036000,2018-05-31 23:23:36.410267500,2018-05-31 23:23:36.820224000,73.267,35.48094736842105,79.87937883770176,35.48094736842105,79.87937883770176,0,140.534
