,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,-207.417,2018-05-31 23:27:50.638661000,A4b2,2018-05-31 23:27:50.846078000,412.0,0 days 00:00:00.673379000,2018-05-31 23:27:51.182767500,2018-05-31 23:27:50.520999000,2018-05-31 23:27:50.638661000,-207.417,-21.211894736842105,104.56854587775574,-633.9571052631578,168.39796727062114,0,284.623
2,-475.42,2018-05-31 23:27:51.044037000,A4b2,2018-05-31 23:27:51.519457000,412.0,0 days 00:00:00.603719000,2018-05-31 23:27:51.821316500,2018-05-31 23:27:51.182767500,2018-05-31 23:27:51.596663000,77.206,-21.211894736842105,104.56854587775574,-633.9571052631578,168.39796727062114,0,28.569999999999993
3,-526.513,2018-05-31 23:27:51.596663000,A4b2,2018-05-31 23:27:52.123176000,412.0,0 days 00:00:00.603719000,2018-05-31 23:27:52.425035500,2018-05-31 23:27:51.821316500,2018-05-31 23:27:52.228952000,105.776,-21.211894736842105,104.56854587775574,-633.9571052631578,168.39796727062114,0,-142.528
4,-497.943,2018-05-31 23:27:52.228952000,A4b2,2018-05-31 23:27:52.726895000,412.0,0 days 00:00:00.696598000,2018-05-31 23:27:53.075194000,2018-05-31 23:27:52.425035500,2018-05-31 23:27:52.690143000,-36.752,-21.211894736842105,104.56854587775574,-633.9571052631578,168.39796727062114,0,-134.219
5,-733.35,2018-05-31 23:27:52.690143000,A4b2,2018-05-31 23:27:53.423493000,412.0,0 days 00:00:00.766259000,2018-05-31 23:27:53.806622500,2018-05-31 23:27:53.075194000,2018-05-31 23:27:53.252522000,-170.971,-21.211894736842105,104.56854587775574,-633.9571052631578,168.39796727062114,0,45.72
6,-937.23,2018-05-31 23:27:53.252522000,A4b2,2018-05-31 23:27:54.189752000,412.0,0 days 00:00:00.603719000,2018-05-31 23:27:54.491611500,2018-05-31 23:27:53.806622500,2018-05-31 23:27:54.064501000,-125.251,-21.211894736842105,104.56854587775574,-633.9571052631578,168.39796727062114,0,101.182
7,-728.97,2018-05-31 23:27:54.064501000,A4b2,2018-05-31 23:27:54.793471000,412.0,0 days 00:00:00.580499000,2018-05-31 23:27:55.083720500,2018-05-31 23:27:54.491611500,2018-05-31 23:27:54.769402000,-24.069,-21.211894736842105,104.56854587775574,-633.9571052631578,168.39796727062114,0,18.944
8,-604.568,2018-05-31 23:27:54.769402000,A4b2,2018-05-31 23:27:55.373970000,412.0,0 days 00:00:00.580498000,2018-05-31 23:27:55.664219000,2018-05-31 23:27:55.083720500,2018-05-31 23:27:55.368845000,-5.125,-21.211894736842105,104.56854587775574,-633.9571052631578,168.39796727062114,0,-29.808
9,-585.623,2018-05-31 23:27:55.368845000,A4b2,2018-05-31 23:27:55.954468000,412.0,0 days 00:00:00.719819000,2018-05-31 23:27:56.314377500,2018-05-31 23:27:55.664219000,2018-05-31 23:27:55.919535000,-34.933,-21.211894736842105,104.56854587775574,-633.9571052631578,168.39796727062114,0,-101.13500000000002
10,-754.752,2018-05-31 23:27:55.919535000,A4b2,2018-05-31 23:27:56.674287000,412.0,0 days 00:00:00.673379000,2018-05-31 23:27:57.010976500,2018-05-31 23:27:56.314377500,2018-05-31 23:27:56.538219000,-136.068,-21.211894736842105,104.56854587775574,-633.9571052631578,168.39796727062114,0,311.406
