,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,515.342,2018-05-31 23:19:21.385165000,H1b4,2018-05-31 23:19:20.869823000,412,0 days 00:00:00.319860000,2018-05-31 23:19:21.029753000,2018-05-31 23:19:20.701907500,2018-05-31 23:19:20.795603000,-74.22,-13.0993,71.36896187349231,4102.8776,2499.6594737979476,35,
2,629.496,2018-05-31 23:19:21.819179000,H1b4,2018-05-31 23:19:21.189683000,412,0 days 00:00:00.335803000,2018-05-31 23:19:21.357584500,2018-05-31 23:19:21.029753000,,,-13.0993,71.36896187349231,4102.8776,2499.6594737979476,35,
3,1042.904,2018-05-31 23:19:22.568390000,H1b4,2018-05-31 23:19:21.525486000,412,0 days 00:00:00.335794000,2018-05-31 23:19:21.693383000,2018-05-31 23:19:21.357584500,2018-05-31 23:19:21.385165000,-140.321,-13.0993,71.36896187349231,4102.8776,2499.6594737979476,35,98.22
4,1333.578,2018-05-31 23:19:23.194858000,H1b4,2018-05-31 23:19:21.861280000,412,0 days 00:00:00.335875000,2018-05-31 23:19:22.029217500,2018-05-31 23:19:21.693383000,2018-05-31 23:19:21.819179000,-42.101,-13.0993,71.36896187349231,4102.8776,2499.6594737979476,35,
5,1628.174,2018-05-31 23:19:23.825329000,H1b4,2018-05-31 23:19:22.197155000,412,0 days 00:00:00.335792000,2018-05-31 23:19:22.365051000,2018-05-31 23:19:22.029217500,,,-13.0993,71.36896187349231,4102.8776,2499.6594737979476,35,
6,2000.685,2018-05-31 23:19:24.533632000,H1b4,2018-05-31 23:19:22.532947000,412,0 days 00:00:00.335698000,2018-05-31 23:19:22.700796000,2018-05-31 23:19:22.365051000,2018-05-31 23:19:22.568390000,35.443,-13.0993,71.36896187349231,4102.8776,2499.6594737979476,35,
7,2442.927,2018-05-31 23:19:25.311572000,H1b4,2018-05-31 23:19:22.868645000,412,0 days 00:00:00.319988000,2018-05-31 23:19:23.028639000,2018-05-31 23:19:22.700796000,,,-13.0993,71.36896187349231,4102.8776,2499.6594737979476,35,
8,2966.441,2018-05-31 23:19:26.155074000,H1b4,2018-05-31 23:19:23.188633000,412,0 days 00:00:00.335869000,2018-05-31 23:19:23.356567500,2018-05-31 23:19:23.028639000,2018-05-31 23:19:23.194858000,6.225,-13.0993,71.36896187349231,4102.8776,2499.6594737979476,35,
9,3359.381,2018-05-31 23:19:26.883883000,H1b4,2018-05-31 23:19:23.524502000,412,0 days 00:00:00.335752000,2018-05-31 23:19:23.692378000,2018-05-31 23:19:23.356567500,,,-13.0993,71.36896187349231,4102.8776,2499.6594737979476,35,
10,3764.619,2018-05-31 23:19:27.624873000,H1b4,2018-05-31 23:19:23.860254000,412,0 days 00:00:00.335928000,2018-05-31 23:19:24.028218000,2018-05-31 23:19:23.692378000,2018-05-31 23:19:23.825329000,-34.925,-13.0993,71.36896187349231,4102.8776,2499.6594737979476,35,
11,4235.226,2018-05-31 23:19:28.431408000,H1b4,2018-05-31 23:19:24.196182000,412,0 days 00:00:00.335712000,2018-05-31 23:19:24.364038000,2018-05-31 23:19:24.028218000,,,-13.0993,71.36896187349231,4102.8776,2499.6594737979476,35,
