,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,387.907,2018-05-31 23:23:09.896194000,H2a3,2018-05-31 23:23:09.508287000,412,0 days 00:00:00.335916000,2018-05-31 23:23:09.676245000,2018-05-31 23:23:09.340435500,2018-05-31 23:23:09.421307000,-86.98,15.9421,71.32699224533913,4052.105047619048,2399.9570868131054,35,138.971
2,662.044,2018-05-31 23:23:10.506247000,H2a3,2018-05-31 23:23:09.844203000,412,0 days 00:00:00.319800000,2018-05-31 23:23:10.004103000,2018-05-31 23:23:09.676245000,2018-05-31 23:23:09.896194000,51.991,15.9421,71.32699224533913,4052.105047619048,2399.9570868131054,35,
3,1013.741,2018-05-31 23:23:11.177744000,H2a3,2018-05-31 23:23:10.164003000,412,0 days 00:00:00.335772000,2018-05-31 23:23:10.331889000,2018-05-31 23:23:10.004103000,,,15.9421,71.32699224533913,4052.105047619048,2399.9570868131054,35,
4,1337.119,2018-05-31 23:23:11.836894000,H2a3,2018-05-31 23:23:10.499775000,412,0 days 00:00:00.335840000,2018-05-31 23:23:10.667695000,2018-05-31 23:23:10.331889000,2018-05-31 23:23:10.506247000,6.472,15.9421,71.32699224533913,4052.105047619048,2399.9570868131054,35,
5,1627.587,2018-05-31 23:23:12.463202000,H2a3,2018-05-31 23:23:10.835615000,412,0 days 00:00:00.335938000,2018-05-31 23:23:11.003584000,2018-05-31 23:23:10.667695000,,,15.9421,71.32699224533913,4052.105047619048,2399.9570868131054,35,
6,2065.647,2018-05-31 23:23:13.237200000,H2a3,2018-05-31 23:23:11.171553000,412,0 days 00:00:00.335754000,2018-05-31 23:23:11.339430000,2018-05-31 23:23:11.003584000,2018-05-31 23:23:11.177744000,6.191,15.9421,71.32699224533913,4052.105047619048,2399.9570868131054,35,
7,2421.817,2018-05-31 23:23:13.929124000,H2a3,2018-05-31 23:23:11.507307000,412,0 days 00:00:00.335857000,2018-05-31 23:23:11.675235500,2018-05-31 23:23:11.339430000,,,15.9421,71.32699224533913,4052.105047619048,2399.9570868131054,35,
8,2781.968,2018-05-31 23:23:14.625132000,H2a3,2018-05-31 23:23:11.843164000,412,0 days 00:00:00.319810000,2018-05-31 23:23:12.003069000,2018-05-31 23:23:11.675235500,2018-05-31 23:23:11.836894000,-6.27,15.9421,71.32699224533913,4052.105047619048,2399.9570868131054,35,
9,3268.785,2018-05-31 23:23:15.431759000,H2a3,2018-05-31 23:23:12.162974000,412,0 days 00:00:00.335811000,2018-05-31 23:23:12.330879500,2018-05-31 23:23:12.003069000,,,15.9421,71.32699224533913,4052.105047619048,2399.9570868131054,35,
10,3616.622,2018-05-31 23:23:16.115407000,H2a3,2018-05-31 23:23:12.498785000,412,0 days 00:00:00.335820000,2018-05-31 23:23:12.666695000,2018-05-31 23:23:12.330879500,2018-05-31 23:23:12.463202000,-35.583,15.9421,71.32699224533913,4052.105047619048,2399.9570868131054,35,
