,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,477.758,2018-05-31 23:15:55.114345000,P4H1b2,2018-05-31 23:15:54.636587000,412,0 days 00:00:00.655615000,2018-05-31 23:15:54.964394500,2018-05-31 23:15:54.300778000,2018-05-31 23:15:54.401996000,-234.591,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,56.73400000000001
2,747.493,2018-05-31 23:15:56.039695000,P4H1b2,2018-05-31 23:15:55.292202000,412,0 days 00:00:00.671690000,2018-05-31 23:15:55.628047000,2018-05-31 23:15:54.964394500,2018-05-31 23:15:55.114345000,-177.857,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,253.66
3,960.162,2018-05-31 23:15:56.924054000,P4H1b2,2018-05-31 23:15:55.963892000,412,0 days 00:00:00.655754000,2018-05-31 23:15:56.291769000,2018-05-31 23:15:55.628047000,2018-05-31 23:15:56.039695000,75.803,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,228.60500000000002
4,1217.42,2018-05-31 23:15:57.837066000,P4H1b2,2018-05-31 23:15:56.619646000,412,0 days 00:00:00.671597000,2018-05-31 23:15:56.955444500,2018-05-31 23:15:56.291769000,2018-05-31 23:15:56.924054000,304.408,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,
5,1508.02,2018-05-31 23:15:58.799263000,P4H1b2,2018-05-31 23:15:57.291243000,412,0 days 00:00:00.671673000,2018-05-31 23:15:57.627079500,2018-05-31 23:15:56.955444500,,,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,
6,1769.822,2018-05-31 23:15:59.732738000,P4H1b2,2018-05-31 23:15:57.962916000,412,0 days 00:00:00.655625000,2018-05-31 23:15:58.290728500,2018-05-31 23:15:57.627079500,2018-05-31 23:15:57.837066000,-125.85,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,306.572
7,2113.191,2018-05-31 23:16:00.731732000,P4H1b2,2018-05-31 23:15:58.618541000,412,0 days 00:00:00.671709000,2018-05-31 23:15:58.954395500,2018-05-31 23:15:58.290728500,2018-05-31 23:15:58.799263000,180.722,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,
8,2362.732,2018-05-31 23:16:01.652982000,P4H1b2,2018-05-31 23:15:59.290250000,412,0 days 00:00:00.671645000,2018-05-31 23:15:59.626072500,2018-05-31 23:15:58.954395500,,,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,
9,2587.581,2018-05-31 23:16:02.549476000,P4H1b2,2018-05-31 23:15:59.961895000,412,0 days 00:00:00.655612000,2018-05-31 23:16:00.289701000,2018-05-31 23:15:59.626072500,2018-05-31 23:15:59.732738000,-229.157,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,343.382
10,2857.441,2018-05-31 23:16:03.474948000,P4H1b2,2018-05-31 23:16:00.617507000,412,0 days 00:00:00.671579000,2018-05-31 23:16:00.953296500,2018-05-31 23:16:00.289701000,2018-05-31 23:16:00.731732000,114.225,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,
11,2922.866,2018-05-31 23:16:04.211952000,P4H1b2,2018-05-31 23:16:01.289086000,412,0 days 00:00:00.655862000,2018-05-31 23:16:01.617017000,2018-05-31 23:16:00.953296500,,,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,
12,,,P4H1b2,2018-05-31 23:16:01.944948000,412,0 days 00:00:00.671543000,2018-05-31 23:16:02.280719500,2018-05-31 23:16:01.617017000,2018-05-31 23:16:01.652982000,-291.966,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,224.95100000000002
13,,,P4H1b2,2018-05-31 23:16:02.616491000,412,0 days 00:00:00.671662000,2018-05-31 23:16:02.952322000,2018-05-31 23:16:02.280719500,2018-05-31 23:16:02.549476000,-67.015,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,253.81
14,,,P4H1b2,2018-05-31 23:16:03.288153000,412,0 days 00:00:00.655591000,2018-05-31 23:16:03.615948500,2018-05-31 23:16:02.952322000,2018-05-31 23:16:03.474948000,186.795,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,81.41300000000004
15,,,P4H1b2,2018-05-31 23:16:03.943744000,412,0 days 00:00:00.671637000,2018-05-31 23:16:04.279562500,2018-05-31 23:16:03.615948500,2018-05-31 23:16:04.211952000,268.208,0.3104166666666733,212.28137896945708,1774.9532727272724,859.8914921445717,3,
