,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,-1142.189,2018-05-31 23:17:28.911172000,P8A2a1,2018-05-31 23:17:30.053361000,412.0,0 days 00:00:01.323537000,2018-05-31 23:17:30.715129500,2018-05-31 23:17:29.379982000,2018-05-31 23:17:30.232645000,179.284,234.2186842105263,90.19570600831936,-1115.5831578947366,58.713600730119694,0,3.774000000000001
2,-1144.253,2018-05-31 23:17:30.232645000,P8A2a1,2018-05-31 23:17:31.376898000,412.0,0 days 00:00:01.323538000,2018-05-31 23:17:32.038667000,2018-05-31 23:17:30.715129500,2018-05-31 23:17:31.559956000,183.058,234.2186842105263,90.19570600831936,-1115.5831578947366,58.713600730119694,0,153.7
3,-1140.48,2018-05-31 23:17:31.559956000,P8A2a1,2018-05-31 23:17:32.700436000,412.0,0 days 00:00:01.346757000,2018-05-31 23:17:33.373814500,2018-05-31 23:17:32.038667000,2018-05-31 23:17:33.037194000,336.758,234.2186842105263,90.19570600831936,-1115.5831578947366,58.713600730119694,0,-169.25199999999998
4,-1009.999,2018-05-31 23:17:33.037194000,P8A2a1,2018-05-31 23:17:34.047193000,412.0,0 days 00:00:01.323537000,2018-05-31 23:17:34.708961500,2018-05-31 23:17:33.373814500,2018-05-31 23:17:34.214699000,167.506,234.2186842105263,90.19570600831936,-1115.5831578947366,58.713600730119694,0,13.62899999999999
5,-1156.031,2018-05-31 23:17:34.214699000,P8A2a1,2018-05-31 23:17:35.370730000,412.0,0 days 00:00:01.346758000,2018-05-31 23:17:36.044109000,2018-05-31 23:17:34.708961500,2018-05-31 23:17:35.551865000,181.135,234.2186842105263,90.19570600831936,-1115.5831578947366,58.713600730119694,0,18.682000000000016
6,-1165.623,2018-05-31 23:17:35.551865000,P8A2a1,2018-05-31 23:17:36.717488000,412.0,0 days 00:00:01.323537000,2018-05-31 23:17:37.379256500,2018-05-31 23:17:36.044109000,2018-05-31 23:17:36.917305000,199.817,234.2186842105263,90.19570600831936,-1115.5831578947366,58.713600730119694,0,48.86699999999999
7,-1123.72,2018-05-31 23:17:36.917305000,P8A2a1,2018-05-31 23:17:38.041025000,412.0,0 days 00:00:01.346758000,2018-05-31 23:17:38.714404000,2018-05-31 23:17:37.379256500,2018-05-31 23:17:38.289709000,248.684,234.2186842105263,90.19570600831936,-1115.5831578947366,58.713600730119694,0,-113.471
8,-1098.074,2018-05-31 23:17:38.289709000,P8A2a1,2018-05-31 23:17:39.387783000,412.0,0 days 00:00:01.323537000,2018-05-31 23:17:40.049551500,2018-05-31 23:17:38.714404000,2018-05-31 23:17:39.522996000,135.213,234.2186842105263,90.19570600831936,-1115.5831578947366,58.713600730119694,0,221.66
9,-1188.324,2018-05-31 23:17:39.522996000,P8A2a1,2018-05-31 23:17:40.711320000,412.0,0 days 00:00:01.323537000,2018-05-31 23:17:41.373088500,2018-05-31 23:17:40.049551500,2018-05-31 23:17:41.068193000,356.873,234.2186842105263,90.19570600831936,-1115.5831578947366,58.713600730119694,0,-138.56
10,-966.664,2018-05-31 23:17:41.068193000,P8A2a1,2018-05-31 23:17:42.034857000,412.0,0 days 00:00:01.346758000,2018-05-31 23:17:42.708236000,2018-05-31 23:17:41.373088500,2018-05-31 23:17:42.253170000,218.313,234.2186842105263,90.19570600831936,-1115.5831578947366,58.713600730119694,0,7.523000000000025
