,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
0,1,-1124.02,2018-05-31 23:34:11.241177000,A1a1,2018-05-31 23:34:12.365197000,412.0,0 days 00:00:01.346757000,2018-05-31 23:34:13.038575500,2018-05-31 23:34:11.703428000,2018-05-31 23:34:12.551324000,186.127,175.9366153846154,36.69680168520245,-1155.9058461538464,39.08150502442758,0,54.98499999999999
1,2,-1160.63,2018-05-31 23:34:12.551324000,A1a1,2018-05-31 23:34:13.711954000,412.0,0 days 00:00:01.323538000,2018-05-31 23:34:14.373723000,2018-05-31 23:34:13.038575500,2018-05-31 23:34:13.953066000,241.112,175.9366153846154,36.69680168520245,-1155.9058461538464,39.08150502442758,0,-34.38299999999998
2,3,-1082.4260000000002,2018-05-31 23:34:13.953066000,A1a1,2018-05-31 23:34:15.035492000,412.0,0 days 00:00:01.346757000,2018-05-31 23:34:15.708870500,2018-05-31 23:34:14.373723000,2018-05-31 23:34:15.242221000,206.729,175.9366153846154,36.69680168520245,-1155.9058461538464,39.08150502442758,0,-38.346
3,4,-1140.028,2018-05-31 23:34:15.242221000,A1a1,2018-05-31 23:34:16.382249000,412.0,0 days 00:00:01.323537000,2018-05-31 23:34:17.044017500,2018-05-31 23:34:15.708870500,2018-05-31 23:34:16.550632000,168.38299999999998,175.9366153846154,36.69680168520245,-1155.9058461538464,39.08150502442758,0,-77.95500000000001
4,5,-1155.154,2018-05-31 23:34:16.550632000,A1a1,2018-05-31 23:34:17.705786000,412.0,0 days 00:00:01.346758000,2018-05-31 23:34:18.379165000,2018-05-31 23:34:17.044017500,2018-05-31 23:34:17.796214000,90.428,175.9366153846154,36.69680168520245,-1155.9058461538464,39.08150502442758,0,47.565
5,6,-1256.33,2018-05-31 23:34:17.796214000,A1a1,2018-05-31 23:34:19.052544000,412.0,0 days 00:00:01.323537000,2018-05-31 23:34:19.714312500,2018-05-31 23:34:18.379165000,2018-05-31 23:34:19.190537000,137.993,175.9366153846154,36.69680168520245,-1155.9058461538464,39.08150502442758,0,23.66
6,7,-1185.5439999999999,2018-05-31 23:34:19.190537000,A1a1,2018-05-31 23:34:20.376081000,412.0,0 days 00:00:01.323538000,2018-05-31 23:34:21.037850000,2018-05-31 23:34:19.714312500,2018-05-31 23:34:20.537734000,161.653,175.9366153846154,36.69680168520245,-1155.9058461538464,39.08150502442758,0,21.121000000000013
7,8,-1161.885,2018-05-31 23:34:20.537734000,A1a1,2018-05-31 23:34:21.699619000,412.0,0 days 00:00:01.346757000,2018-05-31 23:34:22.372997500,2018-05-31 23:34:21.037850000,2018-05-31 23:34:21.882393000,182.774,175.9366153846154,36.69680168520245,-1155.9058461538464,39.08150502442758,0,-1.8700000000000043
8,9,-1163.983,2018-05-31 23:34:21.882393000,A1a1,2018-05-31 23:34:23.046376000,412.0,0 days 00:00:01.323537000,2018-05-31 23:34:23.708144500,2018-05-31 23:34:22.372997500,2018-05-31 23:34:23.227280000,180.90400000000002,175.9366153846154,36.69680168520245,-1155.9058461538464,39.08150502442758,0,14.86099999999999
9,10,-1142.633,2018-05-31 23:34:23.227280000,A1a1,2018-05-31 23:34:24.369913000,412.0,0 days 00:00:01.346758000,2018-05-31 23:34:25.043292000,2018-05-31 23:34:23.708144500,2018-05-31 23:34:24.565678000,195.765,175.9366153846154,36.69680168520245,-1155.9058461538464,39.08150502442758,0,-36.74799999999999
