,Asynchrony,IOI,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,Unnamed: 0,Unnamed: 0.1,User ID
0,-164.738,1343.3470000000002,2018-07-21 22:36:45.294293,-302.37541666666664,2018-07-21 22:36:43.958924,0,-246.234,-164.738,-302.37541666666664,86.93360268666731,2018-07-21 22:36:44.457882,86.93360268666731,2018-07-21 22:36:44.457882,H1a1,2018-07-21 22:36:44.622620,0,1,114.0
1,-410.972,1327.419,2018-07-21 22:36:46.629677,-302.37541666666664,2018-07-21 22:36:45.294293,0,195.784,-410.972,-302.37541666666664,86.93360268666731,2018-07-21 22:36:45.554995,86.93360268666731,2018-07-21 22:36:45.554995,H1a1,2018-07-21 22:36:45.965967,1,2,114.0
2,-215.188,1327.4229999999998,2018-07-21 22:36:47.957098,-302.37541666666664,2018-07-21 22:36:46.629677,0,-144.491,-215.188,-302.37541666666664,86.93360268666731,2018-07-21 22:36:47.078198,86.93360268666731,2018-07-21 22:36:47.078198,H1a1,2018-07-21 22:36:47.293386,2,3,114.0
3,-359.6790000000001,1343.152,2018-07-21 22:36:49.292385,-302.37541666666664,2018-07-21 22:36:47.957098,0,-24.673000000000002,-359.6790000000001,-302.37541666666664,86.93360268666731,2018-07-21 22:36:48.261130,86.93360268666731,2018-07-21 22:36:48.261130,H1a1,2018-07-21 22:36:48.620809,3,4,114.0
4,-384.352,1327.378,2018-07-21 22:36:50.627650,-302.37541666666664,2018-07-21 22:36:49.292385,0,158.76799999999997,-384.352,-302.37541666666664,86.93360268666731,2018-07-21 22:36:49.579609,86.93360268666731,2018-07-21 22:36:49.579609,H1a1,2018-07-21 22:36:49.963961,4,5,114.0
5,-225.584,1327.408,2018-07-21 22:36:51.955043,-302.37541666666664,2018-07-21 22:36:50.627650,0,-78.65699999999998,-225.584,-302.37541666666664,86.93360268666731,2018-07-21 22:36:51.065755,86.93360268666731,2018-07-21 22:36:51.065755,H1a1,2018-07-21 22:36:51.291339,5,6,114.0
6,-304.241,1343.398,2018-07-21 22:36:53.290446,-302.37541666666664,2018-07-21 22:36:51.955043,0,60.75099999999998,-304.241,-302.37541666666664,86.93360268666731,2018-07-21 22:36:52.314506,86.93360268666731,2018-07-21 22:36:52.314506,H1a1,2018-07-21 22:36:52.618747,6,7,114.0
7,-243.49,1327.126,2018-07-21 22:36:54.625708,-302.37541666666664,2018-07-21 22:36:53.290446,0,-192.86900000000003,-243.49,-302.37541666666664,86.93360268666731,2018-07-21 22:36:53.718655,86.93360268666731,2018-07-21 22:36:53.718655,H1a1,2018-07-21 22:36:53.962145,7,8,114.0
8,-436.359,1327.411,2018-07-21 22:36:55.952977,-302.37541666666664,2018-07-21 22:36:54.625708,0,72.976,-436.359,-302.37541666666664,86.93360268666731,2018-07-21 22:36:54.852912,86.93360268666731,2018-07-21 22:36:54.852912,H1a1,2018-07-21 22:36:55.289271,8,9,114.0
9,-363.383,1327.3529999999996,2018-07-21 22:36:57.280359,-302.37541666666664,2018-07-21 22:36:55.952977,0,93.11699999999996,-363.383,-302.37541666666664,86.93360268666731,2018-07-21 22:36:56.253299,86.93360268666731,2018-07-21 22:36:56.253299,H1a1,2018-07-21 22:36:56.616682,9,10,114.0
