,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,-209.904,2018-07-21 22:56:11.708005,H2a2,2018-07-21 22:56:11.917909,117,623.504,2018-07-21 22:56:12.229661,2018-07-21 22:56:11.590101,2018-07-21 22:56:11.708005,-209.904,-88.20511111111111,120.85111467909383,358.9370357142856,183.72790123268987,1,195.47899999999998
2,-14.425,2018-07-21 22:56:12.526988,H2a2,2018-07-21 22:56:12.541413,117,591.702,2018-07-21 22:56:12.837264,2018-07-21 22:56:12.229661,2018-07-21 22:56:12.526988,-14.425,-88.20511111111111,120.85111467909383,358.9370357142856,183.72790123268987,1,14.276000000000002
3,-0.149,2018-07-21 22:56:13.132966,H2a2,2018-07-21 22:56:13.133115,117,559.814,2018-07-21 22:56:13.413022,2018-07-21 22:56:12.837264,2018-07-21 22:56:13.132966,-0.149,-88.20511111111111,120.85111467909383,358.9370357142856,183.72790123268987,1,111.607
4,111.458,2018-07-21 22:56:13.804387,H2a2,2018-07-21 22:56:13.692929,117,543.642,2018-07-21 22:56:13.964750,2018-07-21 22:56:13.413022,2018-07-21 22:56:13.804387,111.458,-88.20511111111111,120.85111467909383,358.9370357142856,183.72790123268987,1,
5,562.564,2018-07-21 22:56:14.799135,H2a2,2018-07-21 22:56:14.236571,117,511.958,2018-07-21 22:56:14.492550,2018-07-21 22:56:13.964750,,,-88.20511111111111,120.85111467909383,358.9370357142856,183.72790123268987,1,
6,464.442,2018-07-21 22:56:15.212971,H2a2,2018-07-21 22:56:14.748529,117,495.768,2018-07-21 22:56:14.996413,2018-07-21 22:56:14.492550,2018-07-21 22:56:14.799135,50.606,-88.20511111111111,120.85111467909383,358.9370357142856,183.72790123268987,1,-81.932
7,484.379,2018-07-21 22:56:15.728676,H2a2,2018-07-21 22:56:15.244297,117,479.817,2018-07-21 22:56:15.484206,2018-07-21 22:56:14.996413,2018-07-21 22:56:15.212971,-31.326,-88.20511111111111,120.85111467909383,358.9370357142856,183.72790123268987,1,35.888
8,520.37,2018-07-21 22:56:16.244484,H2a2,2018-07-21 22:56:15.724114,117,463.612,2018-07-21 22:56:15.955920,2018-07-21 22:56:15.484206,2018-07-21 22:56:15.728676,4.562,-88.20511111111111,120.85111467909383,358.9370357142856,183.72790123268987,1,52.196000000000005
9,597.101,2018-07-21 22:56:16.784827,H2a2,2018-07-21 22:56:16.187726,117,479.737,2018-07-21 22:56:16.427595,2018-07-21 22:56:15.955920,2018-07-21 22:56:16.244484,56.758,-88.20511111111111,120.85111467909383,358.9370357142856,183.72790123268987,1,60.606
10,555.733,2018-07-21 22:56:17.223196,H2a2,2018-07-21 22:56:16.667463,117,511.77,2018-07-21 22:56:16.923348,2018-07-21 22:56:16.427595,2018-07-21 22:56:16.784827,117.364,-88.20511111111111,120.85111467909383,358.9370357142856,183.72790123268987,1,-73.40100000000001
11,465.432,2018-07-21 22:56:17.644665,H2a2,2018-07-21 22:56:17.179233,117,527.687,2018-07-21 22:56:17.443077,2018-07-21 22:56:16.923348,2018-07-21 22:56:17.223196,43.963,-88.20511111111111,120.85111467909383,358.9370357142856,183.72790123268987,1,-106.218
12,384.073,2018-07-21 22:56:18.090993,H2a2,2018-07-21 22:56:17.706920,117,543.995,2018-07-21 22:56:17.978918,2018-07-21 22:56:17.443077,2018-07-21 22:56:17.644665,-62.255,-88.20511111111111,120.85111467909383,358.9370357142856,183.72790123268987,1,-97.667
