,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
0,1,988.148,2018-07-21 23:08:56.767832,H1a1,2018-07-21 23:08:55.779684,119,1343.3139999999999,2018-07-21 23:08:56.451341,2018-07-21 23:08:55.115975,2018-07-21 23:08:55.629554,-150.13,-267.5505,143.75596247650205,1031.6618333333333,158.59373991418983,0,-205.03599999999997
1,2,1008.048,2018-07-21 23:08:58.131046,H1a1,2018-07-21 23:08:57.122998,119,1327.269,2018-07-21 23:08:57.786633,2018-07-21 23:08:56.451341,2018-07-21 23:08:56.767832,-355.166,-267.5505,143.75596247650205,1031.6618333333333,158.59373991418983,0,35.94499999999999
2,3,954.0210000000001,2018-07-21 23:08:59.404288,H1a1,2018-07-21 23:08:58.450267,119,1327.45,2018-07-21 23:08:59.113992,2018-07-21 23:08:57.786633,2018-07-21 23:08:58.131046,-319.221,-267.5505,143.75596247650205,1031.6618333333333,158.59373991418983,0,-54.20799999999997
3,4,1018.6510000000001,2018-07-21 23:09:00.796368,H1a1,2018-07-21 23:08:59.777717,119,1343.297,2018-07-21 23:09:00.449366,2018-07-21 23:08:59.113992,2018-07-21 23:08:59.404288,-373.42900000000003,-267.5505,143.75596247650205,1031.6618333333333,158.59373991418983,0,48.78299999999996
4,5,1063.367,2018-07-21 23:09:02.184381,H1a1,2018-07-21 23:09:01.121014,119,1327.257,2018-07-21 23:09:01.784643,2018-07-21 23:09:00.449366,2018-07-21 23:09:00.796368,-324.64599999999996,-267.5505,143.75596247650205,1031.6618333333333,158.59373991418983,0,60.75600000000003
5,6,1427.069,2018-07-21 23:09:03.875340,H1a1,2018-07-21 23:09:02.448271,119,1327.4029999999998,2018-07-21 23:09:03.111973,2018-07-21 23:09:01.784643,2018-07-21 23:09:02.184381,-263.89,-267.5505,143.75596247650205,1031.6618333333333,158.59373991418983,0,363.556
6,7,1200.849,2018-07-21 23:09:04.976523,H1a1,2018-07-21 23:09:03.775674,119,1327.3470000000002,2018-07-21 23:09:04.439347,2018-07-21 23:09:03.111973,2018-07-21 23:09:03.875340,99.666,-267.5505,143.75596247650205,1031.6618333333333,158.59373991418983,0,-226.16400000000002
7,8,1023.961,2018-07-21 23:09:06.126982,H1a1,2018-07-21 23:09:05.103021,119,1343.451,2018-07-21 23:09:05.774747,2018-07-21 23:09:04.439347,2018-07-21 23:09:04.976523,-126.49799999999999,-267.5505,143.75596247650205,1031.6618333333333,158.59373991418983,0,-192.992
8,9,912.923,2018-07-21 23:09:07.359395,H1a1,2018-07-21 23:09:06.446472,119,1327.425,2018-07-21 23:09:07.110184,2018-07-21 23:09:05.774747,2018-07-21 23:09:06.126982,-319.49,-267.5505,143.75596247650205,1031.6618333333333,158.59373991418983,0,-95.012
9,10,1022.507,2018-07-21 23:09:08.796404,H1a1,2018-07-21 23:09:07.773897,119,1327.2089999999998,2018-07-21 23:09:08.437502,2018-07-21 23:09:07.110184,2018-07-21 23:09:07.359395,-414.50199999999995,-267.5505,143.75596247650205,1031.6618333333333,158.59373991418983,0,109.8
10,11,984.8960000000001,2018-07-21 23:09:10.086002,H1a1,2018-07-21 23:09:09.101106,119,1343.494,2018-07-21 23:09:09.772853,2018-07-21 23:09:08.437502,2018-07-21 23:09:08.796404,-304.702,-267.5505,143.75596247650205,1031.6618333333333,158.59373991418983,0,-53.89600000000002
11,12,775.502,2018-07-21 23:09:11.220102,H1a1,2018-07-21 23:09:10.444600,119,1327.287,2018-07-21 23:09:11.108244,2018-07-21 23:09:09.772853,2018-07-21 23:09:10.086002,-358.598,-267.5505,143.75596247650205,1031.6618333333333,158.59373991418983,0,
12,1,-72.405,2018-07-21 23:10:19.297956,H1a2,2018-07-21 23:10:19.370361,119,655.668,2018-07-21 23:10:19.698195,2018-07-21 23:10:19.034461,2018-07-21 23:10:19.297956,-72.405,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,-70.19999999999999
13,2,-142.605,2018-07-21 23:10:19.883424,H1a2,2018-07-21 23:10:20.026029,119,671.637,2018-07-21 23:10:20.361847,2018-07-21 23:10:19.698195,2018-07-21 23:10:19.883424,-142.605,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,16.007999999999996
14,3,-126.59700000000001,2018-07-21 23:10:20.571069,H1a2,2018-07-21 23:10:20.697666,119,671.6489999999999,2018-07-21 23:10:21.033491,2018-07-21 23:10:20.361847,2018-07-21 23:10:20.571069,-126.59700000000001,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,-20.721999999999994
15,4,-147.319,2018-07-21 23:10:21.221996,H1a2,2018-07-21 23:10:21.369315,119,655.6339999999999,2018-07-21 23:10:21.697132,2018-07-21 23:10:21.033491,2018-07-21 23:10:21.221996,-147.319,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,7.677999999999997
16,5,-139.641,2018-07-21 23:10:21.885308,H1a2,2018-07-21 23:10:22.024949,119,671.595,2018-07-21 23:10:22.360747,2018-07-21 23:10:21.697132,2018-07-21 23:10:21.885308,-139.641,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,
17,6,527.586,2018-07-21 23:10:23.224130,H1a2,2018-07-21 23:10:22.696544,119,671.576,2018-07-21 23:10:23.032332,2018-07-21 23:10:22.360747,,,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,
18,7,511.07,2018-07-21 23:10:23.879190,H1a2,2018-07-21 23:10:23.368120,119,655.829,2018-07-21 23:10:23.696034,2018-07-21 23:10:23.032332,2018-07-21 23:10:23.224130,-143.99,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,-0.768999999999977
19,8,498.06800000000004,2018-07-21 23:10:24.522017,H1a2,2018-07-21 23:10:24.023949,119,671.6089999999999,2018-07-21 23:10:24.359754,2018-07-21 23:10:23.696034,2018-07-21 23:10:23.879190,-144.759,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,-28.78200000000001
20,9,497.9,2018-07-21 23:10:25.193458,H1a2,2018-07-21 23:10:24.695558,119,655.8910000000001,2018-07-21 23:10:25.023503,2018-07-21 23:10:24.359754,2018-07-21 23:10:24.522017,-173.541,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,15.549999999999983
21,10,218.65200000000002,2018-07-21 23:10:25.570101,H1a2,2018-07-21 23:10:25.351449,119,671.495,2018-07-21 23:10:25.687197,2018-07-21 23:10:25.023503,2018-07-21 23:10:25.193458,-157.991,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,-53.428000000000004
22,11,-211.419,2018-07-21 23:10:25.811525,H1a2,2018-07-21 23:10:26.022944,119,671.7719999999999,2018-07-21 23:10:26.358830,2018-07-21 23:10:25.687197,2018-07-21 23:10:25.811525,-211.419,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,-33.004999999999995
23,12,-244.424,2018-07-21 23:10:26.450292,H1a2,2018-07-21 23:10:26.694716,119,655.551,2018-07-21 23:10:27.022492,2018-07-21 23:10:26.358830,2018-07-21 23:10:26.450292,-244.424,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,3.8350000000000084
24,13,-240.58900000000003,2018-07-21 23:10:27.109678,H1a2,2018-07-21 23:10:27.350267,119,671.7439999999999,2018-07-21 23:10:27.686139,2018-07-21 23:10:27.022492,2018-07-21 23:10:27.109678,-240.58900000000003,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,52.82499999999999
25,14,-187.764,2018-07-21 23:10:27.834247,H1a2,2018-07-21 23:10:28.022011,119,655.596,2018-07-21 23:10:28.349809,2018-07-21 23:10:27.686139,2018-07-21 23:10:27.834247,-187.764,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,-8.655000000000001
26,15,-196.419,2018-07-21 23:10:28.481188,H1a2,2018-07-21 23:10:28.677607,119,671.836,2018-07-21 23:10:29.013525,2018-07-21 23:10:28.349809,2018-07-21 23:10:28.481188,-196.419,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,11.887
27,16,-184.532,2018-07-21 23:10:29.164911,H1a2,2018-07-21 23:10:29.349443,119,671.575,2018-07-21 23:10:29.685231,2018-07-21 23:10:29.013525,2018-07-21 23:10:29.164911,-184.532,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,20.28
28,17,-164.252,2018-07-21 23:10:29.856766,H1a2,2018-07-21 23:10:30.021018,119,655.633,2018-07-21 23:10:30.348835,2018-07-21 23:10:29.685231,2018-07-21 23:10:29.856766,-164.252,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,27.99200000000002
29,18,-136.26,2018-07-21 23:10:30.540391,H1a2,2018-07-21 23:10:30.676651,119,671.811,2018-07-21 23:10:31.012557,2018-07-21 23:10:30.348835,2018-07-21 23:10:30.540391,-136.26,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,-4.5870000000000175
30,19,-140.847,2018-07-21 23:10:31.207615,H1a2,2018-07-21 23:10:31.348462,119,671.4860000000001,2018-07-21 23:10:31.684205,2018-07-21 23:10:31.012557,2018-07-21 23:10:31.207615,-140.847,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,69.71900000000001
31,20,-71.128,2018-07-21 23:10:31.948820,H1a2,2018-07-21 23:10:32.019948,119,655.788,2018-07-21 23:10:32.347842,2018-07-21 23:10:31.684205,2018-07-21 23:10:31.948820,-71.128,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,-70.377
32,21,-141.505,2018-07-21 23:10:32.534231,H1a2,2018-07-21 23:10:32.675736,119,671.627,2018-07-21 23:10:33.011549,2018-07-21 23:10:32.347842,2018-07-21 23:10:32.534231,-141.505,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,24.571
33,22,-116.934,2018-07-21 23:10:33.230429,H1a2,2018-07-21 23:10:33.347363,119,655.635,2018-07-21 23:10:33.675180,2018-07-21 23:10:33.011549,2018-07-21 23:10:33.230429,-116.934,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,-49.88200000000001
34,23,-166.81599999999997,2018-07-21 23:10:33.836182,H1a2,2018-07-21 23:10:34.002998,119,671.701,2018-07-21 23:10:34.338849,2018-07-21 23:10:33.675180,2018-07-21 23:10:33.836182,-166.81599999999997,-156.89713636363638,43.744699780490905,-25.13826086956521,265.75597437297404,1,
35,1,4.8919999999999995,2018-07-21 23:05:04.907104,H1a3,2018-07-21 23:05:04.902212,119,447.765,2018-07-21 23:05:05.126094,2018-07-21 23:05:04.686248,2018-07-21 23:05:04.907104,4.8919999999999995,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,-58.78
36,2,-53.888000000000005,2018-07-21 23:05:05.296089,H1a3,2018-07-21 23:05:05.349977,119,447.663,2018-07-21 23:05:05.573809,2018-07-21 23:05:05.126094,2018-07-21 23:05:05.296089,-53.888000000000005,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,-21.758000000000006
37,3,-75.646,2018-07-21 23:05:05.721994,H1a3,2018-07-21 23:05:05.797640,119,447.77099999999996,2018-07-21 23:05:06.021526,2018-07-21 23:05:05.573809,2018-07-21 23:05:05.721994,-75.646,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,59.784
38,4,-15.862,2018-07-21 23:05:06.229549,H1a3,2018-07-21 23:05:06.245411,119,431.88699999999994,2018-07-21 23:05:06.461355,2018-07-21 23:05:06.021526,2018-07-21 23:05:06.229549,-15.862,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,55.401
39,5,39.539,2018-07-21 23:05:06.716837,H1a3,2018-07-21 23:05:06.677298,119,447.69699999999995,2018-07-21 23:05:06.901147,2018-07-21 23:05:06.461355,2018-07-21 23:05:06.716837,39.539,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,-87.53399999999998
40,6,-47.995,2018-07-21 23:05:07.077000,H1a3,2018-07-21 23:05:07.124995,119,447.792,2018-07-21 23:05:07.348891,2018-07-21 23:05:06.901147,2018-07-21 23:05:07.077000,-47.995,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,-21.96700000000001
41,7,-69.962,2018-07-21 23:05:07.502825,H1a3,2018-07-21 23:05:07.572787,119,447.82099999999997,2018-07-21 23:05:07.796698,2018-07-21 23:05:07.348891,2018-07-21 23:05:07.502825,-69.962,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,2.6959999999999984
42,8,-67.266,2018-07-21 23:05:07.953342,H1a3,2018-07-21 23:05:08.020608,119,431.652,2018-07-21 23:05:08.236434,2018-07-21 23:05:07.796698,2018-07-21 23:05:07.953342,-67.266,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,22.78100000000001
43,9,-44.485,2018-07-21 23:05:08.407775,H1a3,2018-07-21 23:05:08.452260,119,448.036,2018-07-21 23:05:08.676278,2018-07-21 23:05:08.236434,2018-07-21 23:05:08.407775,-44.485,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,
44,10,399.88800000000003,2018-07-21 23:05:09.300184,H1a3,2018-07-21 23:05:08.900296,119,447.70300000000003,2018-07-21 23:05:09.124147,2018-07-21 23:05:08.676278,,,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,
45,11,414.841,2018-07-21 23:05:09.762840,H1a3,2018-07-21 23:05:09.347999,119,447.68,2018-07-21 23:05:09.571839,2018-07-21 23:05:09.124147,2018-07-21 23:05:09.300184,-47.815,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,14.976
46,12,425.76199999999994,2018-07-21 23:05:10.221441,H1a3,2018-07-21 23:05:09.795679,119,431.67699999999996,2018-07-21 23:05:10.011518,2018-07-21 23:05:09.571839,2018-07-21 23:05:09.762840,-32.839,-35.30630303030303,31.618075921342893,291.4230294117647,202.2281062419644,1,26.924
