,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,-466.254,2018-07-21 23:14:49.021138,H1b1,2018-07-21 23:14:49.487392,120.0,1343.532,2018-07-21 23:14:50.159158,2018-07-21 23:14:48.823731,2018-07-21 23:14:49.021138,-466.254,-276.63918181818184,100.17132108125378,-1234.6757272727273,623.1286190495651,0,261.207
2,-205.047,2018-07-21 23:14:50.625877,H1b1,2018-07-21 23:14:50.830924,120.0,1327.078,2018-07-21 23:14:51.494463,2018-07-21 23:14:50.159158,2018-07-21 23:14:50.625877,-205.047,-276.63918181818184,100.17132108125378,-1234.6757272727273,623.1286190495651,0,36.135999999999996
3,-168.911,2018-07-21 23:14:51.989091,H1b1,2018-07-21 23:14:52.158002,120.0,1327.335,2018-07-21 23:14:52.821670,2018-07-21 23:14:51.494463,2018-07-21 23:14:51.989091,-168.911,-276.63918181818184,100.17132108125378,-1234.6757272727273,623.1286190495651,0,-90.68200000000002
4,-1438.803,2018-07-21 23:14:52.046534,H1b1,2018-07-21 23:14:53.485337,120.0,1343.342,2018-07-21 23:14:54.157008,2018-07-21 23:14:52.821670,2018-07-21 23:14:53.225744,-259.593,-276.63918181818184,100.17132108125378,-1234.6757272727273,623.1286190495651,0,-4.787999999999954
5,-1602.935,2018-07-21 23:14:53.225744,H1b1,2018-07-21 23:14:54.828679,120.0,1327.245,2018-07-21 23:14:55.492301,2018-07-21 23:14:54.157008,2018-07-21 23:14:54.564298,-264.381,-276.63918181818184,100.17132108125378,-1234.6757272727273,623.1286190495651,0,40.46199999999996
6,-1591.626,2018-07-21 23:14:54.564298,H1b1,2018-07-21 23:14:56.155924,120.0,1327.392,2018-07-21 23:14:56.819620,2018-07-21 23:14:55.492301,2018-07-21 23:14:55.932005,-223.919,-276.63918181818184,100.17132108125378,-1234.6757272727273,623.1286190495651,0,-54.244999999999976
7,-1551.311,2018-07-21 23:14:55.932005,H1b1,2018-07-21 23:14:57.483316,120.0,1343.255,2018-07-21 23:14:58.154944,2018-07-21 23:14:56.819620,2018-07-21 23:14:57.205152,-278.164,-276.63918181818184,100.17132108125378,-1234.6757272727273,623.1286190495651,0,-164.003
8,-1621.419,2018-07-21 23:14:57.205152,H1b1,2018-07-21 23:14:58.826571,120.0,1327.661,2018-07-21 23:14:59.490402,2018-07-21 23:14:58.154944,2018-07-21 23:14:58.384404,-442.167,-276.63918181818184,100.17132108125378,-1234.6757272727273,623.1286190495651,0,105.06599999999997
9,-1769.828,2018-07-21 23:14:58.384404,H1b1,2018-07-21 23:15:00.154232,120.0,1327.24,2018-07-21 23:15:00.817852,2018-07-21 23:14:59.490402,2018-07-21 23:14:59.817131,-337.101,-276.63918181818184,100.17132108125378,-1234.6757272727273,623.1286190495651,0,163.317
10,-1664.341,2018-07-21 23:14:59.817131,H1b1,2018-07-21 23:15:01.481472,120.0,1327.174,2018-07-21 23:15:02.145059,2018-07-21 23:15:00.817852,2018-07-21 23:15:01.307688,-173.784,-276.63918181818184,100.17132108125378,-1234.6757272727273,623.1286190495651,0,-49.926000000000016
11,-1500.958,2018-07-21 23:15:01.307688,H1b1,2018-07-21 23:15:02.808646,120.0,1343.344,2018-07-21 23:15:03.480318,2018-07-21 23:15:02.145059,2018-07-21 23:15:02.584936,-223.71,-276.63918181818184,100.17132108125378,-1234.6757272727273,623.1286190495651,0,
