,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,,
0,-1282.558,06:49.2,A1a1,06:50.5,1779,1346.757,06:51.1,06:49.8,06:50.5,18.896,64.14638462,99.11711618,-1267.601846,97.00721385,0,5.93,32.6408463,-13.7448463
1,-1327.861,06:50.5,A1a1,06:51.8,1779,1323.538,06:52.5,06:51.1,06:51.8,24.826,64.14638462,99.11711618,-1267.601846,97.00721385,0,10.746,32.6408463,-7.8148463
2,-1298.712,06:51.8,A1a1,06:53.1,1779,1346.757,06:53.8,06:52.5,06:53.2,35.572,64.14638462,99.11711618,-1267.601846,97.00721385,0,-18.119,32.6408463,2.9311537
3,-1311.185,06:53.2,A1a1,06:54.5,1779,1323.537,06:55.1,06:53.8,06:54.5,17.453,64.14638462,99.11711618,-1267.601846,97.00721385,0,11.593,32.6408463,-15.1878463
4,-1306.084,06:54.5,A1a1,06:55.8,1779,1346.758,06:56.5,06:55.1,06:55.8,29.046,64.14638462,99.11711618,-1267.601846,97.00721385,0,209.012,32.6408463,-3.5948463
5,-1317.712,06:55.8,A1a1,06:57.2,1779,1323.537,06:57.8,06:56.5,06:57.4,238.058,64.14638462,99.11711618,-1267.601846,97.00721385,0,-220.02,32.6408463,205.4171537
6,-1085.479,06:57.4,A1a1,06:58.5,1779,1323.538,06:59.1,06:57.8,06:58.5,18.038,64.14638462,99.11711618,-1267.601846,97.00721385,0,21.224,32.6408463,-14.6028463
7,-1305.5,06:58.5,A1a1,06:59.8,1779,1346.757,07:00.5,06:59.1,06:59.8,39.262,64.14638462,99.11711618,-1267.601846,97.00721385,0,-21.831,32.6408463,6.6211537
8,-1307.495,06:59.8,A1a1,07:01.1,1779,1323.537,07:01.8,07:00.5,07:01.2,17.431,64.14638462,99.11711618,-1267.601846,97.00721385,0,309.993,32.6408463,-15.2098463
9,-1306.106,07:01.2,A1a1,07:02.5,1779,1346.758,07:03.1,07:01.8,07:02.8,327.424,64.14638462,99.11711618,-1267.601846,97.00721385,0,-304.956,32.6408463,294.7831537
10,-1019.334,07:02.8,A1a1,07:03.8,1779,1323.537,07:04.5,07:03.1,07:03.8,22.468,64.14638462,99.11711618,-1267.601846,97.00721385,0,14.56,32.6408463,-10.1728463
11,-1301.069,07:03.8,A1a1,07:05.1,1779,1346.757,07:05.8,07:04.5,07:05.2,37.028,64.14638462,99.11711618,-1267.601846,97.00721385,0,-28.627,32.6408463,4.3871537
12,-1309.729,07:05.2,A1a1,07:06.5,1779,1323.538,07:07.1,07:05.8,07:06.5,8.401,64.14638462,99.11711618,-1267.601846,97.00721385,0,,32.6408463,-24.2398463
13,-653.696,05:41.7,A1a2,05:42.3,1779,673.379,05:42.6,05:42.0,05:42.3,13.617,42.06078571,44.16011359,-625.2396071,42.68460169,0,5.762,32.6408463,-19.0238463
14,-659.762,05:42.3,A1a2,05:43.0,1779,650.159,05:43.3,05:42.6,05:43.0,19.379,42.06078571,44.16011359,-625.2396071,42.68460169,0,31.864,32.6408463,-13.2618463
15,-630.78,05:43.0,A1a2,05:43.6,1779,673.378,05:44.0,05:43.3,05:43.7,51.243,42.06078571,44.16011359,-625.2396071,42.68460169,0,-10.026,32.6408463,18.6021537
16,-622.135,05:43.7,A1a2,05:44.3,1779,673.379,05:44.6,05:44.0,05:44.4,41.217,42.06078571,44.16011359,-625.2396071,42.68460169,0,-5.013,32.6408463,8.5761537
17,-632.162,05:44.4,A1a2,05:45.0,1779,673.379,05:45.3,05:44.6,05:45.0,36.204,42.06078571,44.16011359,-625.2396071,42.68460169,0,-9.903,32.6408463,3.5631537
18,-637.175,05:45.0,A1a2,05:45.7,1779,650.159,05:46.0,05:45.3,05:45.7,26.301,42.06078571,44.16011359,-625.2396071,42.68460169,0,4.627,32.6408463,-6.3398463
19,-623.858,05:45.7,A1a2,05:46.3,1779,673.378,05:46.6,05:46.0,05:46.3,30.928,42.06078571,44.16011359,-625.2396071,42.68460169,0,-9.219,32.6408463,-1.7128463
20,-642.45,05:46.3,A1a2,05:47.0,1779,673.379,05:47.3,05:46.6,05:47.0,21.709,42.06078571,44.16011359,-625.2396071,42.68460169,0,2.638,32.6408463,-10.9318463
21,-651.67,05:47.0,A1a2,05:47.7,1779,650.159,05:48.0,05:47.3,05:47.7,24.347,42.06078571,44.16011359,-625.2396071,42.68460169,0,11.431,32.6408463,-8.2938463
22,-625.812,05:47.7,A1a2,05:48.3,1779,673.378,05:48.6,05:48.0,05:48.3,35.778,42.06078571,44.16011359,-625.2396071,42.68460169,0,2.517,32.6408463,3.1371537
23,-637.6,05:48.3,A1a2,05:49.0,1779,673.379,05:49.3,05:48.6,05:49.0,38.295,42.06078571,44.16011359,-625.2396071,42.68460169,0,140.708,32.6408463,5.6541537
24,-635.084,05:49.0,A1a2,05:49.7,1779,673.379,05:50.0,05:49.3,05:49.8,179.003,42.06078571,44.16011359,-625.2396071,42.68460169,0,-163.764,32.6408463,146.3621537
25,-494.376,05:49.8,A1a2,05:50.3,1779,650.158,05:50.6,05:50.0,05:50.3,15.239,42.06078571,44.16011359,-625.2396071,42.68460169,0,21.321,32.6408463,-17.4018463
26,-634.919,05:50.3,A1a2,05:51.0,1779,673.379,05:51.3,05:50.6,05:51.0,36.56,42.06078571,44.16011359,-625.2396071,42.68460169,0,-0.684,32.6408463,3.9191537
