,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,,Latency,Latency Corrected SA,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
846,-378.889,59:04.1,H2b1,59:04.5,497,0 days 00:00:02.095134000,59:05.6,59:03.7,59:04.1,-378.889,,465.5853333,86.69633333,-258.9596154,72.75304157,-258.9596154,72.75304157,0,
1325,-384.079,06:48.1,H2b1,06:48.5,498,0 days 00:00:02.095158000,06:49.5,06:47.7,06:48.1,-384.079,,465.5906667,81.51166667,-259.0748462,72.49129429,-259.0748462,72.49129429,0,
2283,-386.324,25:17.1,H2b1,25:17.5,501,0 days 00:00:02.095470000,25:18.6,25:16.8,25:17.1,-386.324,,465.66,79.336,-258.6633077,74.16919553,-258.6633077,74.16919553,0,
367,-390.286,43:27.8,H2b1,43:28.2,448,0 days 00:00:02.095040000,43:29.3,43:27.5,43:27.8,-390.286,,465.5644444,75.27844444,-259.1019231,73.25398307,-259.1019231,73.25398307,0,
1804,-391.607,13:22.3,H2b1,13:22.7,499,0 days 00:00:02.094943000,13:23.7,13:21.9,13:22.3,-391.607,,465.5428889,73.93588889,-258.9326154,73.29597905,-258.9326154,73.29597905,0,
1799,-293.483,13:15.4,H2b1,13:15.6,499,0 days 00:00:01.551611000,13:16.4,13:15.0,13:15.4,-293.483,,344.8024444,51.31944444,-258.9326154,73.29597905,-258.9326154,73.29597905,0,-93.852
1324,-294.14,06:46.6,H2b1,06:46.9,498,0 days 00:00:01.551207000,06:47.7,06:46.3,06:46.6,-294.14,,344.7126667,50.57266667,-259.0748462,72.49129429,-259.0748462,72.49129429,0,-89.939
366,-296.209,43:26.4,H2b1,43:26.7,448,0 days 00:00:01.551499000,43:27.5,43:26.1,43:26.4,-296.209,,344.7775556,48.56855556,-259.1019231,73.25398307,-259.1019231,73.25398307,0,-94.077
362,-296.319,43:20.9,H2b1,43:21.2,448,0 days 00:00:01.551406000,43:22.0,43:20.6,43:20.9,-296.319,,344.7568889,48.43788889,-259.1019231,73.25398307,-259.1019231,73.25398307,0,-89.758
1803,-297.24,13:20.8,H2b1,13:21.1,499,0 days 00:00:01.551792000,13:21.9,13:20.5,13:20.8,-297.24,,344.8426667,47.60266667,-258.9326154,73.29597905,-258.9326154,73.29597905,0,-94.367
841,-300.817,58:57.2,H2b1,58:57.5,497,0 days 00:00:01.551247000,58:58.3,58:56.9,58:57.2,-300.817,,344.7215556,43.90455556,-258.9596154,72.75304157,-258.9596154,72.75304157,0,-89.822
845,-301.01,59:02.7,H2b1,59:03.0,497,0 days 00:00:01.535372000,59:03.7,59:02.4,59:02.7,-301.01,,341.1937778,40.18377778,-258.9596154,72.75304157,-258.9596154,72.75304157,0,-77.879
2278,-304.722,25:10.2,H2b1,25:10.5,501,0 days 00:00:01.535071000,25:11.3,25:09.9,25:10.2,-304.722,,341.1268889,36.40488889,-258.6633077,74.16919553,-258.6633077,74.16919553,0,-77.319
1320,-306.105,06:41.2,H2b1,06:41.5,498,0 days 00:00:01.535353000,06:42.2,06:40.8,06:41.2,-306.105,,341.1895556,35.08455556,-259.0748462,72.49129429,-259.0748462,72.49129429,0,-77.823
844,-240.293,59:01.5,H2b1,59:01.7,497,0 days 00:00:01.231673000,59:02.4,59:01.1,59:01.5,-240.293,,273.7051111,33.41211111,-258.9596154,72.75304157,-258.9596154,72.75304157,0,-60.717
2282,-308.434,25:15.7,H2b1,25:16.0,501,0 days 00:00:01.535361000,25:16.8,25:15.4,25:15.7,-308.434,,341.1913333,32.75733333,-258.6633077,74.16919553,-258.6633077,74.16919553,0,-77.89
2277,-244.08,25:09.1,H2b1,25:09.3,501,0 days 00:00:01.231350000,25:09.9,25:08.8,25:09.1,-244.08,,273.6333333,29.55333333,-258.6633077,74.16919553,-258.6633077,74.16919553,0,-60.642
1319,-245.341,06:40.0,H2b1,06:40.2,498,0 days 00:00:01.231448000,06:40.8,06:39.7,06:40.0,-245.341,,273.6551111,28.31411111,-259.0748462,72.49129429,-259.0748462,72.49129429,0,-60.764
2281,-248.049,25:14.5,H2b1,25:14.8,501,0 days 00:00:01.231397000,25:15.4,25:14.2,25:14.5,-248.049,,273.6437778,25.59477778,-258.6633077,74.16919553,-258.6633077,74.16919553,0,-60.385
1797,-203.628,13:13.2,H2b1,13:13.4,499,0 days 00:00:01.023558000,13:13.9,13:13.0,13:13.2,-203.628,,227.4573333,23.82933333,-258.9326154,73.29597905,-258.9326154,73.29597905,0,-45.099
1798,-248.727,13:14.2,H2b1,13:14.4,499,0 days 00:00:01.215397000,13:15.0,13:13.9,13:14.2,-248.727,,270.0882222,21.36122222,-258.9326154,73.29597905,-258.9326154,73.29597905,0,-44.756
2275,-174.473,25:07.2,H2b1,25:07.4,501,0 days 00:00:00.879605000,25:07.9,25:07.0,25:07.2,-174.473,,195.4677778,20.99477778,-258.6633077,74.16919553,-258.6633077,74.16919553,0,-40.199
360,-206.556,43:18.8,H2b1,43:19.0,448,0 days 00:00:01.023595000,43:19.5,43:18.5,43:18.8,-206.556,,227.4655556,20.90955556,-259.1019231,73.25398307,-259.1019231,73.25398307,0,-45.281
1323,-249.646,06:45.4,H2b1,06:45.7,498,0 days 00:00:01.215454000,06:46.3,06:45.1,06:45.4,-249.646,,270.1008889,20.45488889,-259.0748462,72.49129429,-259.0748462,72.49129429,0,-44.494
839,-207.045,58:55.1,H2b1,58:55.3,497,0 days 00:00:01.023638000,58:55.8,58:54.8,58:55.1,-207.045,,227.4751111,20.43011111,-258.9596154,72.75304157,-258.9596154,72.75304157,0,-44.959
365,-251.721,43:25.2,H2b1,43:25.5,448,0 days 00:00:01.215411000,43:26.1,43:24.9,43:25.2,-251.721,,270.0913333,18.37033333,-259.1019231,73.25398307,-259.1019231,73.25398307,0,-44.488
361,-251.837,43:19.7,H2b1,43:20.0,448,0 days 00:00:01.215477000,43:20.6,43:19.5,43:19.7,-251.837,,270.106,18.269,-259.1019231,73.25398307,-259.1019231,73.25398307,0,-44.482
840,-252.004,58:56.0,H2b1,58:56.3,497,0 days 00:00:01.215586000,58:56.9,58:55.8,58:56.0,-252.004,,270.1302222,18.12622222,-258.9596154,72.75304157,-258.9596154,72.75304157,0,-48.813
1802,-252.972,13:19.7,H2b1,13:19.9,499,0 days 00:00:01.215277000,13:20.5,13:19.3,13:19.7,-252.972,,270.0615556,17.08955556,-258.9326154,73.29597905,-258.9326154,73.29597905,0,-44.268
1317,-180.27,06:38.2,H2b1,06:38.3,498,0 days 00:00:00.879433000,06:38.8,06:38.0,06:38.2,-180.27,,195.4295556,15.15955556,-259.0748462,72.49129429,-259.0748462,72.49129429,0,-36.02
