,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,34.489,2018-05-05 16:57:26.585622000,A3a3,2018-05-05 16:57:26.551133000,486.0,0 days 00:00:00.394740000,2018-05-05 16:57:26.748503000,2018-05-05 16:57:26.342153500,2018-05-05 16:57:26.585622000,34.489,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
2,-3.963,2018-05-05 16:57:26.941910000,A3a3,2018-05-05 16:57:26.945873000,486.0,0 days 00:00:00.417959000,2018-05-05 16:57:27.154852500,2018-05-05 16:57:26.748503000,2018-05-05 16:57:26.941910000,-3.963,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
3,-1.663,2018-05-05 16:57:27.362169000,A3a3,2018-05-05 16:57:27.363832000,486.0,0 days 00:00:00.417959000,2018-05-05 16:57:27.572811500,2018-05-05 16:57:27.154852500,2018-05-05 16:57:27.362169000,-1.663,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
4,-10.646,2018-05-05 16:57:27.771145000,A3a3,2018-05-05 16:57:27.781791000,486.0,0 days 00:00:00.441179000,2018-05-05 16:57:28.002380500,2018-05-05 16:57:27.572811500,2018-05-05 16:57:27.771145000,-10.646,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
5,-79.988,2018-05-05 16:57:28.142982000,A3a3,2018-05-05 16:57:28.222970000,486.0,0 days 00:00:00.487619000,2018-05-05 16:57:28.466779500,2018-05-05 16:57:28.002380500,2018-05-05 16:57:28.142982000,-79.988,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
6,-105.955,2018-05-05 16:57:28.604634000,A3a3,2018-05-05 16:57:28.710589000,486.0,0 days 00:00:00.487619000,2018-05-05 16:57:28.954398500,2018-05-05 16:57:28.466779500,2018-05-05 16:57:28.604634000,-105.955,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
7,-88.212,2018-05-05 16:57:29.109996000,A3a3,2018-05-05 16:57:29.198208000,486.0,0 days 00:00:00.510839000,2018-05-05 16:57:29.453627500,2018-05-05 16:57:28.954398500,2018-05-05 16:57:29.109996000,-88.212,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
8,-50.536,2018-05-05 16:57:29.658511000,A3a3,2018-05-05 16:57:29.709047000,486.0,0 days 00:00:00.464399000,2018-05-05 16:57:29.941246500,2018-05-05 16:57:29.453627500,2018-05-05 16:57:29.658511000,-50.536,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
9,-2.056,2018-05-05 16:57:30.171390000,A3a3,2018-05-05 16:57:30.173446000,486.0,0 days 00:00:00.487619000,2018-05-05 16:57:30.417255500,2018-05-05 16:57:29.941246500,2018-05-05 16:57:30.171390000,-2.056,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
10,7.297,2018-05-05 16:57:30.668362000,A3a3,2018-05-05 16:57:30.661065000,486.0,0 days 00:00:00.441179000,2018-05-05 16:57:30.881654500,2018-05-05 16:57:30.417255500,2018-05-05 16:57:30.668362000,7.297,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
11,5.684,2018-05-05 16:57:31.107928000,A3a3,2018-05-05 16:57:31.102244000,486.0,0 days 00:00:00.417960000,2018-05-05 16:57:31.311224000,2018-05-05 16:57:30.881654500,2018-05-05 16:57:31.107928000,5.684,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
12,30.472,2018-05-05 16:57:31.550676000,A3a3,2018-05-05 16:57:31.520204000,486.0,0 days 00:00:00.464399000,2018-05-05 16:57:31.752403500,2018-05-05 16:57:31.311224000,2018-05-05 16:57:31.550676000,30.472,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
13,-118.298,2018-05-05 16:57:31.866305000,A3a3,2018-05-05 16:57:31.984603000,486.0,0 days 00:00:00.464399000,2018-05-05 16:57:32.216802500,2018-05-05 16:57:31.752403500,2018-05-05 16:57:31.866305000,-118.298,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
14,-101.995,2018-05-05 16:57:32.347007000,A3a3,2018-05-05 16:57:32.449002000,486.0,0 days 00:00:00.510839000,2018-05-05 16:57:32.704421500,2018-05-05 16:57:32.216802500,2018-05-05 16:57:32.347007000,-101.995,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
15,-60.966,2018-05-05 16:57:32.898875000,A3a3,2018-05-05 16:57:32.959841000,486.0,0 days 00:00:00.487619000,2018-05-05 16:57:33.203650500,2018-05-05 16:57:32.704421500,2018-05-05 16:57:32.898875000,-60.966,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
16,-59.929,2018-05-05 16:57:33.387531000,A3a3,2018-05-05 16:57:33.447460000,486.0,0 days 00:00:00.441179000,2018-05-05 16:57:33.668049500,2018-05-05 16:57:33.203650500,2018-05-05 16:57:33.387531000,-59.929,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
17,4.949,2018-05-05 16:57:33.893588000,A3a3,2018-05-05 16:57:33.888639000,486.0,0 days 00:00:00.441179000,2018-05-05 16:57:34.109228500,2018-05-05 16:57:33.668049500,2018-05-05 16:57:33.893588000,4.949,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
18,34.198,2018-05-05 16:57:34.364016000,A3a3,2018-05-05 16:57:34.329818000,486.0,0 days 00:00:00.394739000,2018-05-05 16:57:34.527187500,2018-05-05 16:57:34.109228500,2018-05-05 16:57:34.364016000,34.198,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
19,-14.333,2018-05-05 16:57:34.710224000,A3a3,2018-05-05 16:57:34.724557000,486.0,0 days 00:00:00.417960000,2018-05-05 16:57:34.933537000,2018-05-05 16:57:34.527187500,2018-05-05 16:57:34.710224000,-14.333,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
20,-60.767,2018-05-05 16:57:35.081750000,A3a3,2018-05-05 16:57:35.142517000,486.0,0 days 00:00:00.394739000,2018-05-05 16:57:35.339886500,2018-05-05 16:57:34.933537000,2018-05-05 16:57:35.081750000,-60.767,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
21,-49.064,2018-05-05 16:57:35.488192000,A3a3,2018-05-05 16:57:35.537256000,486.0,0 days 00:00:00.441179000,2018-05-05 16:57:35.757845500,2018-05-05 16:57:35.339886500,2018-05-05 16:57:35.488192000,-49.064,-32.918190476190475,48.34704092560273,-32.918190476190475,48.34704092560273
