,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,97.774,2018-05-05 17:10:25.096568000,H2a4,2018-05-05 17:10:24.998794000,486,0 days 00:00:00.335996000,2018-05-05 17:10:25.166792000,2018-05-05 17:10:24.830973500,2018-05-05 17:10:25.096568000,97.774,21.45415909090909,56.547965134340316,1.4636666666666676,80.07781069202174
2,64.694,2018-05-05 17:10:25.399484000,H2a4,2018-05-05 17:10:25.334790000,486,0 days 00:00:00.319856000,2018-05-05 17:10:25.494718000,2018-05-05 17:10:25.166792000,2018-05-05 17:10:25.399484000,64.694,21.45415909090909,56.547965134340316,1.4636666666666676,80.07781069202174
3,68.208,2018-05-05 17:10:25.722854000,H2a4,2018-05-05 17:10:25.654646000,486,0 days 00:00:00.335950000,2018-05-05 17:10:25.822621000,2018-05-05 17:10:25.494718000,2018-05-05 17:10:25.722854000,68.208,21.45415909090909,56.547965134340316,1.4636666666666676,80.07781069202174
4,64.345,2018-05-05 17:10:26.054941000,H2a4,2018-05-05 17:10:25.990596000,486,0 days 00:00:00.335592000,2018-05-05 17:10:26.158392000,2018-05-05 17:10:25.822621000,2018-05-05 17:10:26.054941000,64.345,21.45415909090909,56.547965134340316,1.4636666666666676,80.07781069202174
5,-119.826,2018-05-05 17:10:26.206362000,H2a4,2018-05-05 17:10:26.326188000,486,0 days 00:00:00.335913000,2018-05-05 17:10:26.494144500,2018-05-05 17:10:26.158392000,2018-05-05 17:10:26.206362000,-119.826,21.45415909090909,56.547965134340316,1.4636666666666676,80.07781069202174
6,-222.599,2018-05-05 17:10:26.439502000,H2a4,2018-05-05 17:10:26.662101000,486,0 days 00:00:00.335953000,2018-05-05 17:10:26.830077500,2018-05-05 17:10:26.494144500,2018-05-05 17:10:26.763009000,100.908,21.45415909090909,56.547965134340316,1.4636666666666676,80.07781069202174
7,-235.045,2018-05-05 17:10:26.763009000,H2a4,2018-05-05 17:10:26.998054000,486,0 days 00:00:00.319566000,2018-05-05 17:10:27.157837000,2018-05-05 17:10:26.830077500,2018-05-05 17:10:27.111089000,113.035,21.45415909090909,56.547965134340316,1.4636666666666676,80.07781069202174
8,-206.531,2018-05-05 17:10:27.111089000,H2a4,2018-05-05 17:10:27.317620000,486,0 days 00:00:00.335944000,2018-05-05 17:10:27.485592000,2018-05-05 17:10:27.157837000,,,21.45415909090909,56.547965134340316,1.4636666666666676,80.07781069202174
9,-157.56,2018-05-05 17:10:27.496004000,H2a4,2018-05-05 17:10:27.653564000,486,0 days 00:00:00.336110000,2018-05-05 17:10:27.821619000,2018-05-05 17:10:27.485592000,2018-05-05 17:10:27.496004000,-157.56,21.45415909090909,56.547965134340316,1.4636666666666676,80.07781069202174
10,-104.557,2018-05-05 17:10:27.885117000,H2a4,2018-05-05 17:10:27.989674000,486,0 days 00:00:00.335474000,2018-05-05 17:10:28.157411000,2018-05-05 17:10:27.821619000,2018-05-05 17:10:27.885117000,-104.557,21.45415909090909,56.547965134340316,1.4636666666666676,80.07781069202174
