,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,451.702,2018-05-05 16:57:42.208957000,H2b1,2018-05-05 16:57:41.757255000,486,0 days 00:00:00.319887000,2018-05-05 16:57:41.917198500,2018-05-05 16:57:41.589336000,2018-05-05 16:57:41.775127000,17.872,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
2,512.685,2018-05-05 16:57:42.589827000,H2b1,2018-05-05 16:57:42.077142000,486,0 days 00:00:00.335882000,2018-05-05 16:57:42.245083000,2018-05-05 16:57:41.917198500,2018-05-05 16:57:42.208957000,131.815,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
3,651.818,2018-05-05 16:57:43.064842000,H2b1,2018-05-05 16:57:42.413024000,486,0 days 00:00:00.335710000,2018-05-05 16:57:42.580879000,2018-05-05 16:57:42.245083000,,,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
4,729.693,2018-05-05 16:57:43.478427000,H2b1,2018-05-05 16:57:42.748734000,486,0 days 00:00:00.335829000,2018-05-05 16:57:42.916648500,2018-05-05 16:57:42.580879000,2018-05-05 16:57:42.589827000,-158.907,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
5,856.469,2018-05-05 16:57:43.941032000,H2b1,2018-05-05 16:57:43.084563000,486,0 days 00:00:00.335990000,2018-05-05 16:57:43.252558000,2018-05-05 16:57:42.916648500,2018-05-05 16:57:43.064842000,-19.721,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
6,974.758,2018-05-05 16:57:44.395311000,H2b1,2018-05-05 16:57:43.420553000,486,0 days 00:00:00.335519000,2018-05-05 16:57:43.588312500,2018-05-05 16:57:43.252558000,2018-05-05 16:57:43.478427000,57.874,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
7,1061.002,2018-05-05 16:57:44.817074000,H2b1,2018-05-05 16:57:43.756072000,486,0 days 00:00:00.320104000,2018-05-05 16:57:43.916124000,2018-05-05 16:57:43.588312500,,,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
8,1162.485,2018-05-05 16:57:45.238661000,H2b1,2018-05-05 16:57:44.076176000,486,0 days 00:00:00.335626000,2018-05-05 16:57:44.243989000,2018-05-05 16:57:43.916124000,2018-05-05 16:57:43.941032000,-135.144,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
9,1244.536,2018-05-05 16:57:45.656338000,H2b1,2018-05-05 16:57:44.411802000,486,0 days 00:00:00.335806000,2018-05-05 16:57:44.579705000,2018-05-05 16:57:44.243989000,2018-05-05 16:57:44.395311000,-16.491,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
10,1330.435,2018-05-05 16:57:46.078043000,H2b1,2018-05-05 16:57:44.747608000,486,0 days 00:00:00.335847000,2018-05-05 16:57:44.915531500,2018-05-05 16:57:44.579705000,2018-05-05 16:57:44.817074000,69.466,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
11,1404.021,2018-05-05 16:57:46.487476000,H2b1,2018-05-05 16:57:45.083455000,486,0 days 00:00:00.335772000,2018-05-05 16:57:45.251341000,2018-05-05 16:57:44.915531500,2018-05-05 16:57:45.238661000,155.206,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
12,1453.242,2018-05-05 16:57:46.872469000,H2b1,2018-05-05 16:57:45.419227000,486,0 days 00:00:00.319890000,2018-05-05 16:57:45.579172000,2018-05-05 16:57:45.251341000,,,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
13,1575.428,2018-05-05 16:57:47.314545000,H2b1,2018-05-05 16:57:45.739117000,486,0 days 00:00:00.335990000,2018-05-05 16:57:45.907112000,2018-05-05 16:57:45.579172000,2018-05-05 16:57:45.656338000,-82.779,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
14,1640.613,2018-05-05 16:57:47.715720000,H2b1,2018-05-05 16:57:46.075107000,486,0 days 00:00:00.335540000,2018-05-05 16:57:46.242877000,2018-05-05 16:57:45.907112000,2018-05-05 16:57:46.078043000,2.936,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
15,1722.845,2018-05-05 16:57:48.133492000,H2b1,2018-05-05 16:57:46.410647000,486,0 days 00:00:00.335793000,2018-05-05 16:57:46.578543500,2018-05-05 16:57:46.242877000,2018-05-05 16:57:46.487476000,76.829,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
16,1812.659,2018-05-05 16:57:48.559099000,H2b1,2018-05-05 16:57:46.746440000,486,0 days 00:00:00.336048000,2018-05-05 16:57:46.914464000,2018-05-05 16:57:46.578543500,2018-05-05 16:57:46.872469000,126.029,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
17,1893.959,2018-05-05 16:57:48.976447000,H2b1,2018-05-05 16:57:47.082488000,486,0 days 00:00:00.319737000,2018-05-05 16:57:47.242356500,2018-05-05 16:57:46.914464000,,,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
18,2004.433,2018-05-05 16:57:49.406658000,H2b1,2018-05-05 16:57:47.402225000,486,0 days 00:00:00.335889000,2018-05-05 16:57:47.570169500,2018-05-05 16:57:47.242356500,2018-05-05 16:57:47.314545000,-87.68,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
19,2069.737,2018-05-05 16:57:49.807851000,H2b1,2018-05-05 16:57:47.738114000,486,0 days 00:00:00.335831000,2018-05-05 16:57:47.906029500,2018-05-05 16:57:47.570169500,2018-05-05 16:57:47.715720000,-22.394,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
20,2155.456,2018-05-05 16:57:50.229401000,H2b1,2018-05-05 16:57:48.073945000,486,0 days 00:00:00.335805000,2018-05-05 16:57:48.241847500,2018-05-05 16:57:47.906029500,2018-05-05 16:57:48.133492000,59.547,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
21,2249.797,2018-05-05 16:57:50.659547000,H2b1,2018-05-05 16:57:48.409750000,486,0 days 00:00:00.335635000,2018-05-05 16:57:48.577567500,2018-05-05 16:57:48.241847500,2018-05-05 16:57:48.559099000,149.349,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
22,2323.296,2018-05-05 16:57:51.068681000,H2b1,2018-05-05 16:57:48.745385000,486,0 days 00:00:00.335745000,2018-05-05 16:57:48.913257500,2018-05-05 16:57:48.577567500,,,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
23,2417.389,2018-05-05 16:57:51.498519000,H2b1,2018-05-05 16:57:49.081130000,486,0 days 00:00:00.320136000,2018-05-05 16:57:49.241198000,2018-05-05 16:57:48.913257500,2018-05-05 16:57:48.976447000,-104.683,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
24,2527.15,2018-05-05 16:57:51.928416000,H2b1,2018-05-05 16:57:49.401266000,486,0 days 00:00:00.335729000,2018-05-05 16:57:49.569130500,2018-05-05 16:57:49.241198000,2018-05-05 16:57:49.406658000,5.392,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
25,2584.634,2018-05-05 16:57:52.321629000,H2b1,2018-05-05 16:57:49.736995000,486,0 days 00:00:00.335805000,2018-05-05 16:57:49.904897500,2018-05-05 16:57:49.569130500,2018-05-05 16:57:49.807851000,70.856,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
26,2670.594,2018-05-05 16:57:52.743394000,H2b1,2018-05-05 16:57:50.072800000,486,0 days 00:00:00.335908000,2018-05-05 16:57:50.240754000,2018-05-05 16:57:49.904897500,2018-05-05 16:57:50.229401000,156.601,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
27,2772.565,2018-05-05 16:57:53.181273000,H2b1,2018-05-05 16:57:50.408708000,486,0 days 00:00:00.335991000,2018-05-05 16:57:50.576703500,2018-05-05 16:57:50.240754000,,,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
28,2821.469,2018-05-05 16:57:53.566168000,H2b1,2018-05-05 16:57:50.744699000,486,0 days 00:00:00.319647000,2018-05-05 16:57:50.904522500,2018-05-05 16:57:50.576703500,2018-05-05 16:57:50.659547000,-85.152,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
29,2915.261,2018-05-05 16:57:53.979607000,H2b1,2018-05-05 16:57:51.064346000,486,0 days 00:00:00.335976000,2018-05-05 16:57:51.232334000,2018-05-05 16:57:50.904522500,2018-05-05 16:57:51.068681000,4.335,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
30,3009.204,2018-05-05 16:57:54.409526000,H2b1,2018-05-05 16:57:51.400322000,486,0 days 00:00:00.335484000,2018-05-05 16:57:51.568064000,2018-05-05 16:57:51.232334000,2018-05-05 16:57:51.498519000,98.197,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
31,3095.408,2018-05-05 16:57:54.831214000,H2b1,2018-05-05 16:57:51.735806000,486,0 days 00:00:00.336025000,2018-05-05 16:57:51.903818500,2018-05-05 16:57:51.568064000,,,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
32,3144.431,2018-05-05 16:57:55.216262000,H2b1,2018-05-05 16:57:52.071831000,486,0 days 00:00:00.335827000,2018-05-05 16:57:52.239744500,2018-05-05 16:57:51.903818500,2018-05-05 16:57:51.928416000,-143.415,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
33,3246.38,2018-05-05 16:57:55.654038000,H2b1,2018-05-05 16:57:52.407658000,486,0 days 00:00:00.319700000,2018-05-05 16:57:52.567508000,2018-05-05 16:57:52.239744500,2018-05-05 16:57:52.321629000,-86.029,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
34,3299.31,2018-05-05 16:57:56.026668000,H2b1,2018-05-05 16:57:52.727358000,486,0 days 00:00:00.335868000,2018-05-05 16:57:52.895292000,2018-05-05 16:57:52.567508000,2018-05-05 16:57:52.743394000,16.036,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
35,3368.779,2018-05-05 16:57:56.432005000,H2b1,2018-05-05 16:57:53.063226000,486,0 days 00:00:00.335756000,2018-05-05 16:57:53.231104000,2018-05-05 16:57:52.895292000,2018-05-05 16:57:53.181273000,118.047,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
36,3409.686,2018-05-05 16:57:56.808668000,H2b1,2018-05-05 16:57:53.398982000,486,0 days 00:00:00.335841000,2018-05-05 16:57:53.566902500,2018-05-05 16:57:53.231104000,2018-05-05 16:57:53.566168000,167.186,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
37,,,H2b1,2018-05-05 16:57:53.734823000,486,0 days 00:00:00.335789000,2018-05-05 16:57:53.902717500,2018-05-05 16:57:53.566902500,,,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
38,,,H2b1,2018-05-05 16:57:54.070612000,486,0 days 00:00:00.335900000,2018-05-05 16:57:54.238562000,2018-05-05 16:57:53.902717500,2018-05-05 16:57:53.979607000,-91.005,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
39,,,H2b1,2018-05-05 16:57:54.406512000,486,0 days 00:00:00.319896000,2018-05-05 16:57:54.566460000,2018-05-05 16:57:54.238562000,2018-05-05 16:57:54.409526000,3.014,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
40,,,H2b1,2018-05-05 16:57:54.726408000,486,0 days 00:00:00.335847000,2018-05-05 16:57:54.894331500,2018-05-05 16:57:54.566460000,2018-05-05 16:57:54.831214000,104.806,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
41,,,H2b1,2018-05-05 16:57:55.062255000,486,0 days 00:00:00.335900000,2018-05-05 16:57:55.230205000,2018-05-05 16:57:54.894331500,2018-05-05 16:57:55.216262000,154.007,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
42,,,H2b1,2018-05-05 16:57:55.398155000,486,0 days 00:00:00.335504000,2018-05-05 16:57:55.565907000,2018-05-05 16:57:55.230205000,,,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
43,,,H2b1,2018-05-05 16:57:55.733659000,486,0 days 00:00:00.335828000,2018-05-05 16:57:55.901573000,2018-05-05 16:57:55.565907000,2018-05-05 16:57:55.654038000,-79.621,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
44,,,H2b1,2018-05-05 16:57:56.069487000,486,0 days 00:00:00.320169000,2018-05-05 16:57:56.229571500,2018-05-05 16:57:55.901573000,2018-05-05 16:57:56.026668000,-42.819,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
45,,,H2b1,2018-05-05 16:57:56.389656000,486,0 days 00:00:00.335894000,2018-05-05 16:57:56.557603000,2018-05-05 16:57:56.229571500,2018-05-05 16:57:56.432005000,42.349,17.553027777777782,96.54701583358562,2015.6480277777773,898.5541876163215
