,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,186.867,2018-05-05 16:55:09.653145000,P4H1b2,2018-05-05 16:55:09.466278000,486,0 days 00:00:00.671789000,2018-05-05 16:55:09.802172500,2018-05-05 16:55:09.138549500,2018-05-05 16:55:09.653145000,186.867,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
2,83.959,2018-05-05 16:55:10.222026000,P4H1b2,2018-05-05 16:55:10.138067000,486,0 days 00:00:00.655553000,2018-05-05 16:55:10.465843500,2018-05-05 16:55:09.802172500,2018-05-05 16:55:10.222026000,83.959,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
3,-51.336,2018-05-05 16:55:10.742284000,P4H1b2,2018-05-05 16:55:10.793620000,486,0 days 00:00:00.671705000,2018-05-05 16:55:11.129472500,2018-05-05 16:55:10.465843500,2018-05-05 16:55:10.742284000,-51.336,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
4,-108.963,2018-05-05 16:55:11.356362000,P4H1b2,2018-05-05 16:55:11.465325000,486,0 days 00:00:00.671588000,2018-05-05 16:55:11.801119000,2018-05-05 16:55:11.129472500,2018-05-05 16:55:11.356362000,-108.963,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
5,-125.507,2018-05-05 16:55:12.011406000,P4H1b2,2018-05-05 16:55:12.136913000,486,0 days 00:00:00.655749000,2018-05-05 16:55:12.464787500,2018-05-05 16:55:11.801119000,2018-05-05 16:55:12.011406000,-125.507,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
6,-130.442,2018-05-05 16:55:12.662220000,P4H1b2,2018-05-05 16:55:12.792662000,486,0 days 00:00:00.671371000,2018-05-05 16:55:13.128347500,2018-05-05 16:55:12.464787500,2018-05-05 16:55:12.662220000,-130.442,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
7,-155.071,2018-05-05 16:55:13.308962000,P4H1b2,2018-05-05 16:55:13.464033000,486,0 days 00:00:00.671723000,2018-05-05 16:55:13.799894500,2018-05-05 16:55:13.128347500,2018-05-05 16:55:13.308962000,-155.071,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
8,-163.166,2018-05-05 16:55:13.972590000,P4H1b2,2018-05-05 16:55:14.135756000,486,0 days 00:00:00.655559000,2018-05-05 16:55:14.463535500,2018-05-05 16:55:13.799894500,2018-05-05 16:55:13.972590000,-163.166,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
9,-163.782,2018-05-05 16:55:14.627533000,P4H1b2,2018-05-05 16:55:14.791315000,486,0 days 00:00:00.671725000,2018-05-05 16:55:15.127177500,2018-05-05 16:55:14.463535500,2018-05-05 16:55:14.627533000,-163.782,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
10,-147.772,2018-05-05 16:55:15.315268000,P4H1b2,2018-05-05 16:55:15.463040000,486,0 days 00:00:00.655779000,2018-05-05 16:55:15.790929500,2018-05-05 16:55:15.127177500,2018-05-05 16:55:15.315268000,-147.772,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
11,-82.717,2018-05-05 16:55:16.036102000,P4H1b2,2018-05-05 16:55:16.118819000,486,0 days 00:00:00.671784000,2018-05-05 16:55:16.454711000,2018-05-05 16:55:15.790929500,2018-05-05 16:55:16.036102000,-82.717,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
12,-58.466,2018-05-05 16:55:16.732137000,P4H1b2,2018-05-05 16:55:16.790603000,486,0 days 00:00:00.671354000,2018-05-05 16:55:17.126280000,2018-05-05 16:55:16.454711000,2018-05-05 16:55:16.732137000,-58.466,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
13,-50.417,2018-05-05 16:55:17.411540000,P4H1b2,2018-05-05 16:55:17.461957000,486,0 days 00:00:00.655802000,2018-05-05 16:55:17.789858000,2018-05-05 16:55:17.126280000,2018-05-05 16:55:17.411540000,-50.417,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
14,-43.15,2018-05-05 16:55:18.074609000,P4H1b2,2018-05-05 16:55:18.117759000,486,0 days 00:00:00.671572000,2018-05-05 16:55:18.453545000,2018-05-05 16:55:17.789858000,2018-05-05 16:55:18.074609000,-43.15,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
15,-39.244,2018-05-05 16:55:18.750087000,P4H1b2,2018-05-05 16:55:18.789331000,486,0 days 00:00:00.655899000,2018-05-05 16:55:19.117280500,2018-05-05 16:55:18.453545000,2018-05-05 16:55:18.750087000,-39.244,-69.94713333333333,96.87633479254927,-69.94713333333333,96.87633479254927
