,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,-1546.68,2018-05-05 20:19:51.986830000,A1b1,2018-05-05 20:19:53.533510000,399.0,0 days 00:00:01.323537000,2018-05-05 20:19:54.195278500,2018-05-05 20:19:52.860131000,2018-05-05 20:19:53.583698000,50.188,54.05119047619048,90.61398028925727,-1292.3318571428572,108.85477304706752
2,-1273.349,2018-05-05 20:19:53.583698000,A1b1,2018-05-05 20:19:54.857047000,399.0,0 days 00:00:01.346758000,2018-05-05 20:19:55.530426000,2018-05-05 20:19:54.195278500,2018-05-05 20:19:54.961872000,104.825,54.05119047619048,90.61398028925727,-1292.3318571428572,108.85477304706752
3,-1241.933,2018-05-05 20:19:54.961872000,A1b1,2018-05-05 20:19:56.203805000,399.0,0 days 00:00:01.323537000,2018-05-05 20:19:56.865573500,2018-05-05 20:19:55.530426000,2018-05-05 20:19:56.426287000,222.482,54.05119047619048,90.61398028925727,-1292.3318571428572,108.85477304706752
4,-1101.055,2018-05-05 20:19:56.426287000,A1b1,2018-05-05 20:19:57.527342000,399.0,0 days 00:00:01.323537000,2018-05-05 20:19:58.189110500,2018-05-05 20:19:56.865573500,2018-05-05 20:19:57.461477000,-65.865,54.05119047619048,90.61398028925727,-1292.3318571428572,108.85477304706752
5,-1389.402,2018-05-05 20:19:57.461477000,A1b1,2018-05-05 20:19:58.850879000,399.0,0 days 00:00:01.346758000,2018-05-05 20:19:59.524258000,2018-05-05 20:19:58.189110500,2018-05-05 20:19:58.886290000,35.411,54.05119047619048,90.61398028925727,-1292.3318571428572,108.85477304706752
6,-1311.347,2018-05-05 20:19:58.886290000,A1b1,2018-05-05 20:20:00.197637000,399.0,0 days 00:00:01.323537000,2018-05-05 20:20:00.859405500,2018-05-05 20:19:59.524258000,2018-05-05 20:20:00.224527000,26.89,54.05119047619048,90.61398028925727,-1292.3318571428572,108.85477304706752
7,-1296.647,2018-05-05 20:20:00.224527000,A1b1,2018-05-05 20:20:01.521174000,399.0,0 days 00:00:01.346758000,2018-05-05 20:20:02.194553000,2018-05-05 20:20:00.859405500,2018-05-05 20:20:01.568205000,47.031,54.05119047619048,90.61398028925727,-1292.3318571428572,108.85477304706752
8,-1299.727,2018-05-05 20:20:01.568205000,A1b1,2018-05-05 20:20:02.867932000,399.0,0 days 00:00:01.323537000,2018-05-05 20:20:03.529700500,2018-05-05 20:20:02.194553000,2018-05-05 20:20:02.904790000,36.858,54.05119047619048,90.61398028925727,-1292.3318571428572,108.85477304706752
9,-1286.679,2018-05-05 20:20:02.904790000,A1b1,2018-05-05 20:20:04.191469000,399.0,0 days 00:00:01.346757000,2018-05-05 20:20:04.864847500,2018-05-05 20:20:03.529700500,2018-05-05 20:20:04.200561000,9.092,54.05119047619048,90.61398028925727,-1292.3318571428572,108.85477304706752
10,-1337.665,2018-05-05 20:20:04.200561000,A1b1,2018-05-05 20:20:05.538226000,399.0,0 days 00:00:01.323538000,2018-05-05 20:20:06.199995000,2018-05-05 20:20:04.864847500,2018-05-05 20:20:05.568372000,30.146,54.05119047619048,90.61398028925727,-1292.3318571428572,108.85477304706752
11,-1293.392,2018-05-05 20:20:05.568372000,A1b1,2018-05-05 20:20:06.861764000,399.0,0 days 00:00:01.323537000,2018-05-05 20:20:07.523532500,2018-05-05 20:20:06.199995000,2018-05-05 20:20:06.830051000,-31.713,54.05119047619048,90.61398028925727,-1292.3318571428572,108.85477304706752
12,-1355.25,2018-05-05 20:20:06.830051000,A1b1,2018-05-05 20:20:08.185301000,399.0,0 days 00:00:01.346757000,2018-05-05 20:20:08.858679500,2018-05-05 20:20:07.523532500,2018-05-05 20:20:08.249528000,64.227,54.05119047619048,90.61398028925727,-1292.3318571428572,108.85477304706752
13,-1282.53,2018-05-05 20:20:08.249528000,A1b1,2018-05-05 20:20:09.532058000,399.0,0 days 00:00:01.323538000,2018-05-05 20:20:10.193827000,2018-05-05 20:20:08.858679500,2018-05-05 20:20:09.553959000,21.901,54.05119047619048,90.61398028925727,-1292.3318571428572,108.85477304706752
