,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,41.377,2018-05-05 20:28:30.331657000,H1b3,2018-05-05 20:28:30.290280000,399,0 days 00:00:00.335888000,2018-05-05 20:28:30.458224000,2018-05-05 20:28:30.122456000,2018-05-05 20:28:30.331657000,41.377,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
2,45.335,2018-05-05 20:28:30.671503000,H1b3,2018-05-05 20:28:30.626168000,399,0 days 00:00:00.336063000,2018-05-05 20:28:30.794199500,2018-05-05 20:28:30.458224000,2018-05-05 20:28:30.671503000,45.335,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
3,20.36,2018-05-05 20:28:30.982591000,H1b3,2018-05-05 20:28:30.962231000,399,0 days 00:00:00.319463000,2018-05-05 20:28:31.121962500,2018-05-05 20:28:30.794199500,2018-05-05 20:28:30.982591000,20.36,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
4,48.811,2018-05-05 20:28:31.330505000,H1b3,2018-05-05 20:28:31.281694000,399,0 days 00:00:00.335829000,2018-05-05 20:28:31.449608500,2018-05-05 20:28:31.121962500,2018-05-05 20:28:31.330505000,48.811,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
5,69.113,2018-05-05 20:28:31.686636000,H1b3,2018-05-05 20:28:31.617523000,399,0 days 00:00:00.336068000,2018-05-05 20:28:31.785557000,2018-05-05 20:28:31.449608500,2018-05-05 20:28:31.686636000,69.113,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
6,48.372,2018-05-05 20:28:32.001963000,H1b3,2018-05-05 20:28:31.953591000,399,0 days 00:00:00.335681000,2018-05-05 20:28:32.121431500,2018-05-05 20:28:31.785557000,2018-05-05 20:28:32.001963000,48.372,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
7,28.011,2018-05-05 20:28:32.317283000,H1b3,2018-05-05 20:28:32.289272000,399,0 days 00:00:00.335743000,2018-05-05 20:28:32.457143500,2018-05-05 20:28:32.121431500,2018-05-05 20:28:32.317283000,28.011,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
8,27.899,2018-05-05 20:28:32.652914000,H1b3,2018-05-05 20:28:32.625015000,399,0 days 00:00:00.335879000,2018-05-05 20:28:32.792954500,2018-05-05 20:28:32.457143500,2018-05-05 20:28:32.652914000,27.899,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
9,35.72,2018-05-05 20:28:32.996614000,H1b3,2018-05-05 20:28:32.960894000,399,0 days 00:00:00.319863000,2018-05-05 20:28:33.120825500,2018-05-05 20:28:32.792954500,2018-05-05 20:28:32.996614000,35.72,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
10,27.254,2018-05-05 20:28:33.308011000,H1b3,2018-05-05 20:28:33.280757000,399,0 days 00:00:00.335883000,2018-05-05 20:28:33.448698500,2018-05-05 20:28:33.120825500,2018-05-05 20:28:33.308011000,27.254,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
11,27.304,2018-05-05 20:28:33.643944000,H1b3,2018-05-05 20:28:33.616640000,399,0 days 00:00:00.335619000,2018-05-05 20:28:33.784449500,2018-05-05 20:28:33.448698500,2018-05-05 20:28:33.643944000,27.304,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
12,14.743,2018-05-05 20:28:33.967002000,H1b3,2018-05-05 20:28:33.952259000,399,0 days 00:00:00.335972000,2018-05-05 20:28:34.120245000,2018-05-05 20:28:33.784449500,2018-05-05 20:28:33.967002000,14.743,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
13,6.486,2018-05-05 20:28:34.294717000,H1b3,2018-05-05 20:28:34.288231000,399,0 days 00:00:00.335696000,2018-05-05 20:28:34.456079000,2018-05-05 20:28:34.120245000,2018-05-05 20:28:34.294717000,6.486,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
14,2.446,2018-05-05 20:28:34.626373000,H1b3,2018-05-05 20:28:34.623927000,399,0 days 00:00:00.319913000,2018-05-05 20:28:34.783883500,2018-05-05 20:28:34.456079000,2018-05-05 20:28:34.626373000,2.446,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
15,-6.382,2018-05-05 20:28:34.937458000,H1b3,2018-05-05 20:28:34.943840000,399,0 days 00:00:00.336076000,2018-05-05 20:28:35.111878000,2018-05-05 20:28:34.783883500,2018-05-05 20:28:34.937458000,-6.382,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
16,17.83,2018-05-05 20:28:35.297746000,H1b3,2018-05-05 20:28:35.279916000,399,0 days 00:00:00.335513000,2018-05-05 20:28:35.447672500,2018-05-05 20:28:35.111878000,2018-05-05 20:28:35.297746000,17.83,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
17,9.578,2018-05-05 20:28:35.625007000,H1b3,2018-05-05 20:28:35.615429000,399,0 days 00:00:00.335832000,2018-05-05 20:28:35.783345000,2018-05-05 20:28:35.447672500,2018-05-05 20:28:35.625007000,9.578,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
18,5.72,2018-05-05 20:28:35.956981000,H1b3,2018-05-05 20:28:35.951261000,399,0 days 00:00:00.335838000,2018-05-05 20:28:36.119180000,2018-05-05 20:28:35.783345000,2018-05-05 20:28:35.956981000,5.72,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
19,9.697,2018-05-05 20:28:36.296796000,H1b3,2018-05-05 20:28:36.287099000,399,0 days 00:00:00.335724000,2018-05-05 20:28:36.454961000,2018-05-05 20:28:36.119180000,2018-05-05 20:28:36.296796000,9.697,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
20,1.508,2018-05-05 20:28:36.624331000,H1b3,2018-05-05 20:28:36.622823000,399,0 days 00:00:00.319803000,2018-05-05 20:28:36.782724500,2018-05-05 20:28:36.454961000,2018-05-05 20:28:36.624331000,1.508,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
21,8.999,2018-05-05 20:28:36.951625000,H1b3,2018-05-05 20:28:36.942626000,399,0 days 00:00:00.335921000,2018-05-05 20:28:37.110586500,2018-05-05 20:28:36.782724500,2018-05-05 20:28:36.951625000,8.999,19.174266666666668,18.73714513812797,19.174266666666668,18.73714513812797
