,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,180.542,2018-05-31 23:24:25.907048000,H2a2,2018-05-31 23:24:25.726506000,412,0 days 00:00:00.335867000,2018-05-31 23:24:25.894439500,2018-05-31 23:24:25.558658000,2018-05-31 23:24:25.645015000,-81.491,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,-73.83399999999999
2,164.012,2018-05-31 23:24:26.226385000,H2a2,2018-05-31 23:24:26.062373000,412,0 days 00:00:00.319845000,2018-05-31 23:24:26.222295500,2018-05-31 23:24:25.894439500,2018-05-31 23:24:25.907048000,-155.325,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,-0.5080000000000098
3,237.197,2018-05-31 23:24:26.619415000,H2a2,2018-05-31 23:24:26.382218000,412,0 days 00:00:00.335854000,2018-05-31 23:24:26.550145000,2018-05-31 23:24:26.222295500,2018-05-31 23:24:26.226385000,-155.833,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,57.176
4,429.525,2018-05-31 23:24:27.147597000,H2a2,2018-05-31 23:24:26.718072000,412,0 days 00:00:00.335779000,2018-05-31 23:24:26.885961500,2018-05-31 23:24:26.550145000,2018-05-31 23:24:26.619415000,-98.657,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,192.403
5,564.454,2018-05-31 23:24:27.618305000,H2a2,2018-05-31 23:24:27.053851000,412,0 days 00:00:00.335826000,2018-05-31 23:24:27.221764000,2018-05-31 23:24:26.885961500,2018-05-31 23:24:27.147597000,93.746,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
6,613.681,2018-05-31 23:24:28.003358000,H2a2,2018-05-31 23:24:27.389677000,412,0 days 00:00:00.335849000,2018-05-31 23:24:27.557601500,2018-05-31 23:24:27.221764000,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
7,797.725,2018-05-31 23:24:28.523251000,H2a2,2018-05-31 23:24:27.725526000,412,0 days 00:00:00.319796000,2018-05-31 23:24:27.885424000,2018-05-31 23:24:27.557601500,2018-05-31 23:24:27.618305000,-107.221,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,65.257
8,858.678,2018-05-31 23:24:28.904000000,H2a2,2018-05-31 23:24:28.045322000,412,0 days 00:00:00.335832000,2018-05-31 23:24:28.213238000,2018-05-31 23:24:27.885424000,2018-05-31 23:24:28.003358000,-41.964,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,184.061
9,977.357,2018-05-31 23:24:29.358511000,H2a2,2018-05-31 23:24:28.381154000,412,0 days 00:00:00.335839000,2018-05-31 23:24:28.549073500,2018-05-31 23:24:28.213238000,2018-05-31 23:24:28.523251000,142.097,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
10,1124.658,2018-05-31 23:24:29.841651000,H2a2,2018-05-31 23:24:28.716993000,412,0 days 00:00:00.335845000,2018-05-31 23:24:28.884915500,2018-05-31 23:24:28.549073500,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
11,1206.426,2018-05-31 23:24:30.259264000,H2a2,2018-05-31 23:24:29.052838000,412,0 days 00:00:00.335775000,2018-05-31 23:24:29.220725500,2018-05-31 23:24:28.884915500,2018-05-31 23:24:28.904000000,-148.838,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,118.73599999999999
12,1296.43,2018-05-31 23:24:30.685043000,H2a2,2018-05-31 23:24:29.388613000,412,0 days 00:00:00.335848000,2018-05-31 23:24:29.556537000,2018-05-31 23:24:29.220725500,2018-05-31 23:24:29.358511000,-30.102,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,147.292
13,1398.739,2018-05-31 23:24:31.123200000,H2a2,2018-05-31 23:24:29.724461000,412,0 days 00:00:00.319871000,2018-05-31 23:24:29.884396500,2018-05-31 23:24:29.556537000,2018-05-31 23:24:29.841651000,117.19,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
14,1504.628,2018-05-31 23:24:31.548960000,H2a2,2018-05-31 23:24:30.044332000,412,0 days 00:00:00.335786000,2018-05-31 23:24:30.212225000,2018-05-31 23:24:29.884396500,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
15,1619.226,2018-05-31 23:24:31.999344000,H2a2,2018-05-31 23:24:30.380118000,412,0 days 00:00:00.335834000,2018-05-31 23:24:30.548035000,2018-05-31 23:24:30.212225000,2018-05-31 23:24:30.259264000,-120.854,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,89.945
16,1741.957,2018-05-31 23:24:32.457909000,H2a2,2018-05-31 23:24:30.715952000,412,0 days 00:00:00.335805000,2018-05-31 23:24:30.883854500,2018-05-31 23:24:30.548035000,2018-05-31 23:24:30.685043000,-30.909,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,102.352
17,1877.028,2018-05-31 23:24:32.928785000,H2a2,2018-05-31 23:24:31.051757000,412,0 days 00:00:00.335825000,2018-05-31 23:24:31.219669500,2018-05-31 23:24:30.883854500,2018-05-31 23:24:31.123200000,71.443,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
18,1979.327,2018-05-31 23:24:33.366909000,H2a2,2018-05-31 23:24:31.387582000,412,0 days 00:00:00.319866000,2018-05-31 23:24:31.547515000,2018-05-31 23:24:31.219669500,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
19,2101.549,2018-05-31 23:24:33.808997000,H2a2,2018-05-31 23:24:31.707448000,412,0 days 00:00:00.335835000,2018-05-31 23:24:31.875365500,2018-05-31 23:24:31.547515000,2018-05-31 23:24:31.548960000,-158.488,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,114.549
20,2326.505,2018-05-31 23:24:34.369788000,H2a2,2018-05-31 23:24:32.043283000,412,0 days 00:00:00.335849000,2018-05-31 23:24:32.211207500,2018-05-31 23:24:31.875365500,2018-05-31 23:24:31.999344000,-43.939,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,122.71600000000001
21,2416.526,2018-05-31 23:24:34.795658000,H2a2,2018-05-31 23:24:32.379132000,412,0 days 00:00:00.335803000,2018-05-31 23:24:32.547033500,2018-05-31 23:24:32.211207500,2018-05-31 23:24:32.457909000,78.777,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
22,2547.483,2018-05-31 23:24:35.262418000,H2a2,2018-05-31 23:24:32.714935000,412,0 days 00:00:00.335821000,2018-05-31 23:24:32.882845500,2018-05-31 23:24:32.547033500,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
23,2674.35,2018-05-31 23:24:35.725106000,H2a2,2018-05-31 23:24:33.050756000,412,0 days 00:00:00.335775000,2018-05-31 23:24:33.218643500,2018-05-31 23:24:32.882845500,2018-05-31 23:24:32.928785000,-121.971,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,102.349
24,2793.11,2018-05-31 23:24:36.179641000,H2a2,2018-05-31 23:24:33.386531000,412,0 days 00:00:00.319859000,2018-05-31 23:24:33.546460500,2018-05-31 23:24:33.218643500,2018-05-31 23:24:33.366909000,-19.622,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,122.229
25,2944.151,2018-05-31 23:24:36.650541000,H2a2,2018-05-31 23:24:33.706390000,412,0 days 00:00:00.335879000,2018-05-31 23:24:33.874329500,2018-05-31 23:24:33.546460500,2018-05-31 23:24:33.808997000,102.607,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
26,3083.199,2018-05-31 23:24:37.125468000,H2a2,2018-05-31 23:24:34.042269000,412,0 days 00:00:00.335799000,2018-05-31 23:24:34.210168500,2018-05-31 23:24:33.874329500,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
27,3214.078,2018-05-31 23:24:37.592146000,H2a2,2018-05-31 23:24:34.378068000,412,0 days 00:00:00.335794000,2018-05-31 23:24:34.545965000,2018-05-31 23:24:34.210168500,2018-05-31 23:24:34.369788000,-8.28,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,90.07600000000001
28,3357.334,2018-05-31 23:24:38.071196000,H2a2,2018-05-31 23:24:34.713862000,412,0 days 00:00:00.335912000,2018-05-31 23:24:34.881818000,2018-05-31 23:24:34.545965000,2018-05-31 23:24:34.795658000,81.796,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
29,3496.363,2018-05-31 23:24:38.546137000,H2a2,2018-05-31 23:24:35.049774000,412,0 days 00:00:00.319819000,2018-05-31 23:24:35.209683500,2018-05-31 23:24:34.881818000,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
30,3680.03,2018-05-31 23:24:39.049623000,H2a2,2018-05-31 23:24:35.369593000,412,0 days 00:00:00.335784000,2018-05-31 23:24:35.537485000,2018-05-31 23:24:35.209683500,2018-05-31 23:24:35.262418000,-107.175,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,126.904
31,3807.085,2018-05-31 23:24:39.512462000,H2a2,2018-05-31 23:24:35.705377000,412,0 days 00:00:00.335879000,2018-05-31 23:24:35.873316500,2018-05-31 23:24:35.537485000,2018-05-31 23:24:35.725106000,19.729,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,118.65599999999999
32,3950.184,2018-05-31 23:24:39.991440000,H2a2,2018-05-31 23:24:36.041256000,412,0 days 00:00:00.335865000,2018-05-31 23:24:36.209188500,2018-05-31 23:24:35.873316500,2018-05-31 23:24:36.179641000,138.385,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
33,4076.974,2018-05-31 23:24:40.454095000,H2a2,2018-05-31 23:24:36.377121000,412,0 days 00:00:00.335793000,2018-05-31 23:24:36.545017500,2018-05-31 23:24:36.209188500,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
34,,,H2a2,2018-05-31 23:24:36.712914000,412,0 days 00:00:00.319821000,2018-05-31 23:24:36.872824500,2018-05-31 23:24:36.545017500,2018-05-31 23:24:36.650541000,-62.373,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,155.106
35,,,H2a2,2018-05-31 23:24:37.032735000,412,0 days 00:00:00.335811000,2018-05-31 23:24:37.200640500,2018-05-31 23:24:36.872824500,2018-05-31 23:24:37.125468000,92.733,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
36,,,H2a2,2018-05-31 23:24:37.368546000,412,0 days 00:00:00.335866000,2018-05-31 23:24:37.536479000,2018-05-31 23:24:37.200640500,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
37,,,H2a2,2018-05-31 23:24:37.704412000,412,0 days 00:00:00.335797000,2018-05-31 23:24:37.872310500,2018-05-31 23:24:37.536479000,2018-05-31 23:24:37.592146000,-112.266,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,143.25300000000001
38,,,H2a2,2018-05-31 23:24:38.040209000,412,0 days 00:00:00.335788000,2018-05-31 23:24:38.208103000,2018-05-31 23:24:37.872310500,2018-05-31 23:24:38.071196000,30.987,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
39,,,H2a2,2018-05-31 23:24:38.375997000,412,0 days 00:00:00.335863000,2018-05-31 23:24:38.543928500,2018-05-31 23:24:38.208103000,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
40,,,H2a2,2018-05-31 23:24:38.711860000,412,0 days 00:00:00.319835000,2018-05-31 23:24:38.871777500,2018-05-31 23:24:38.543928500,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
41,,,H2a2,2018-05-31 23:24:39.031695000,412,0 days 00:00:00.335871000,2018-05-31 23:24:39.199630500,2018-05-31 23:24:38.871777500,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
42,,,H2a2,2018-05-31 23:24:39.367566000,412,0 days 00:00:00.335790000,2018-05-31 23:24:39.535461000,2018-05-31 23:24:39.199630500,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
43,,,H2a2,2018-05-31 23:24:39.703356000,412,0 days 00:00:00.335851000,2018-05-31 23:24:39.871281500,2018-05-31 23:24:39.535461000,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
44,,,H2a2,2018-05-31 23:24:40.039207000,412,0 days 00:00:00.335753000,2018-05-31 23:24:40.207083500,2018-05-31 23:24:39.871281500,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
45,,,H2a2,2018-05-31 23:24:40.374960000,412,0 days 00:00:00.319880000,2018-05-31 23:24:40.534900000,2018-05-31 23:24:40.207083500,,,-21.924758620689648,98.81842875794804,1970.9245757575757,1201.9259007576659,16,
