,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,762.947,2018-05-31 23:18:27.995448000,H2b1,2018-05-31 23:18:27.232501000,412,0 days 00:00:00.319845000,2018-05-31 23:18:27.392423500,2018-05-31 23:18:27.064658000,2018-05-31 23:18:27.221741000,-10.76,24.999874999999996,101.91080039698231,4661.5633157894745,2538.676406320188,37,
2,1085.902,2018-05-31 23:18:28.638248000,H2b1,2018-05-31 23:18:27.552346000,412,0 days 00:00:00.335975000,2018-05-31 23:18:27.720333500,2018-05-31 23:18:27.392423500,,,24.999874999999996,101.91080039698231,4661.5633157894745,2538.676406320188,37,
3,1507.381,2018-05-31 23:18:29.395702000,H2b1,2018-05-31 23:18:27.888321000,412,0 days 00:00:00.335719000,2018-05-31 23:18:28.056180500,2018-05-31 23:18:27.720333500,2018-05-31 23:18:27.995448000,107.127,24.999874999999996,101.91080039698231,4661.5633157894745,2538.676406320188,37,
4,1961.852,2018-05-31 23:18:30.185892000,H2b1,2018-05-31 23:18:28.224040000,412,0 days 00:00:00.335783000,2018-05-31 23:18:28.391931500,2018-05-31 23:18:28.056180500,,,24.999874999999996,101.91080039698231,4661.5633157894745,2538.676406320188,37,
5,2301.568,2018-05-31 23:18:30.861391000,H2b1,2018-05-31 23:18:28.559823000,412,0 days 00:00:00.335845000,2018-05-31 23:18:28.727745500,2018-05-31 23:18:28.391931500,2018-05-31 23:18:28.638248000,78.425,24.999874999999996,101.91080039698231,4661.5633157894745,2538.676406320188,37,
6,2809.236,2018-05-31 23:18:31.704904000,H2b1,2018-05-31 23:18:28.895668000,412,0 days 00:00:00.319890000,2018-05-31 23:18:29.055613000,2018-05-31 23:18:28.727745500,,,24.999874999999996,101.91080039698231,4661.5633157894745,2538.676406320188,37,
7,3439.188,2018-05-31 23:18:32.654746000,H2b1,2018-05-31 23:18:29.215558000,412,0 days 00:00:00.335773000,2018-05-31 23:18:29.383444500,2018-05-31 23:18:29.055613000,,,24.999874999999996,101.91080039698231,4661.5633157894745,2538.676406320188,37,
8,3897.756,2018-05-31 23:18:33.449087000,H2b1,2018-05-31 23:18:29.551331000,412,0 days 00:00:00.335888000,2018-05-31 23:18:29.719275000,2018-05-31 23:18:29.383444500,2018-05-31 23:18:29.395702000,-155.629,24.999874999999996,101.91080039698231,4661.5633157894745,2538.676406320188,37,
9,4245.555,2018-05-31 23:18:34.132774000,H2b1,2018-05-31 23:18:29.887219000,412,0 days 00:00:00.335868000,2018-05-31 23:18:30.055153000,2018-05-31 23:18:29.719275000,,,24.999874999999996,101.91080039698231,4661.5633157894745,2538.676406320188,37,
10,4589.398,2018-05-31 23:18:34.812485000,H2b1,2018-05-31 23:18:30.223087000,412,0 days 00:00:00.335839000,2018-05-31 23:18:30.391006500,2018-05-31 23:18:30.055153000,2018-05-31 23:18:30.185892000,-37.195,24.999874999999996,101.91080039698231,4661.5633157894745,2538.676406320188,37,
