,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,307.655,2018-05-31 23:16:10.312404000,P5H1b3,2018-05-31 23:16:10.004749000,412,0 days 00:00:00.447800000,2018-05-31 23:16:10.228649000,2018-05-31 23:16:09.780867000,,,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
2,490.413,2018-05-31 23:16:10.942962000,P5H1b3,2018-05-31 23:16:10.452549000,412,0 days 00:00:00.447711000,2018-05-31 23:16:10.676404500,2018-05-31 23:16:10.228649000,2018-05-31 23:16:10.312404000,-140.145,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,182.847
3,755.078,2018-05-31 23:16:11.655338000,P5H1b3,2018-05-31 23:16:10.900260000,412,0 days 00:00:00.431810000,2018-05-31 23:16:11.116165000,2018-05-31 23:16:10.676404500,2018-05-31 23:16:10.942962000,42.702,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
4,1076.492,2018-05-31 23:16:12.408562000,P5H1b3,2018-05-31 23:16:11.332070000,412,0 days 00:00:00.447731000,2018-05-31 23:16:11.555935500,2018-05-31 23:16:11.116165000,,,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
5,1316.744,2018-05-31 23:16:13.096545000,P5H1b3,2018-05-31 23:16:11.779801000,412,0 days 00:00:00.447862000,2018-05-31 23:16:12.003732000,2018-05-31 23:16:11.555935500,2018-05-31 23:16:11.655338000,-124.463,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,305.36199999999997
6,1654.938,2018-05-31 23:16:13.882601000,P5H1b3,2018-05-31 23:16:12.227663000,412,0 days 00:00:00.447720000,2018-05-31 23:16:12.451523000,2018-05-31 23:16:12.003732000,2018-05-31 23:16:12.408562000,180.899,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
7,2177.604,2018-05-31 23:16:14.852987000,P5H1b3,2018-05-31 23:16:12.675383000,412,0 days 00:00:00.431770000,2018-05-31 23:16:12.891268000,2018-05-31 23:16:12.451523000,,,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
8,2523.705,2018-05-31 23:16:15.630858000,P5H1b3,2018-05-31 23:16:13.107153000,412,0 days 00:00:00.448145000,2018-05-31 23:16:13.331225500,2018-05-31 23:16:12.891268000,2018-05-31 23:16:13.096545000,-10.608,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
9,2976.396,2018-05-31 23:16:16.531694000,P5H1b3,2018-05-31 23:16:13.555298000,412,0 days 00:00:00.447486000,2018-05-31 23:16:13.779041000,2018-05-31 23:16:13.331225500,,,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
10,3376.424,2018-05-31 23:16:17.379208000,P5H1b3,2018-05-31 23:16:14.002784000,412,0 days 00:00:00.447783000,2018-05-31 23:16:14.226675500,2018-05-31 23:16:13.779041000,2018-05-31 23:16:13.882601000,-120.183,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
11,3837.594,2018-05-31 23:16:18.288161000,P5H1b3,2018-05-31 23:16:14.450567000,412,0 days 00:00:00.431754000,2018-05-31 23:16:14.666444000,2018-05-31 23:16:14.226675500,,,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
12,4015.842,2018-05-31 23:16:18.898163000,P5H1b3,2018-05-31 23:16:14.882321000,412,0 days 00:00:00.447890000,2018-05-31 23:16:15.106266000,2018-05-31 23:16:14.666444000,2018-05-31 23:16:14.852987000,-29.334,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
13,4304.919,2018-05-31 23:16:19.635130000,P5H1b3,2018-05-31 23:16:15.330211000,412,0 days 00:00:00.447794000,2018-05-31 23:16:15.554108000,2018-05-31 23:16:15.106266000,,,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
14,,,P5H1b3,2018-05-31 23:16:15.778005000,412,0 days 00:00:00.447773000,2018-05-31 23:16:16.001891500,2018-05-31 23:16:15.554108000,2018-05-31 23:16:15.630858000,-147.147,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
15,,,P5H1b3,2018-05-31 23:16:16.225778000,412,0 days 00:00:00.431760000,2018-05-31 23:16:16.441658000,2018-05-31 23:16:16.001891500,,,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
16,,,P5H1b3,2018-05-31 23:16:16.657538000,412,0 days 00:00:00.447791000,2018-05-31 23:16:16.881433500,2018-05-31 23:16:16.441658000,2018-05-31 23:16:16.531694000,-125.844,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
17,,,P5H1b3,2018-05-31 23:16:17.105329000,412,0 days 00:00:00.447816000,2018-05-31 23:16:17.329237000,2018-05-31 23:16:16.881433500,,,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
18,,,P5H1b3,2018-05-31 23:16:17.553145000,412,0 days 00:00:00.447719000,2018-05-31 23:16:17.777004500,2018-05-31 23:16:17.329237000,2018-05-31 23:16:17.379208000,-173.937,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
19,,,P5H1b3,2018-05-31 23:16:18.000864000,412,0 days 00:00:00.431727000,2018-05-31 23:16:18.216727500,2018-05-31 23:16:17.777004500,,,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
20,,,P5H1b3,2018-05-31 23:16:18.432591000,412,0 days 00:00:00.447801000,2018-05-31 23:16:18.656491500,2018-05-31 23:16:18.216727500,2018-05-31 23:16:18.288161000,-144.43,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,162.20100000000002
21,,,P5H1b3,2018-05-31 23:16:18.880392000,412,0 days 00:00:00.447740000,2018-05-31 23:16:19.104262000,2018-05-31 23:16:18.656491500,2018-05-31 23:16:18.898163000,17.771,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
22,,,P5H1b3,2018-05-31 23:16:19.328132000,412,0 days 00:00:00.447872000,2018-05-31 23:16:19.552068000,2018-05-31 23:16:19.104262000,,,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
23,,,P5H1b3,2018-05-31 23:16:19.776004000,412,0 days 00:00:00.431708000,2018-05-31 23:16:19.991858000,2018-05-31 23:16:19.552068000,2018-05-31 23:16:19.635130000,-140.874,-70.43023076923077,103.8329820586518,2216.446461538462,1397.29427545564,10,
