,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,-3.39,2018-05-31 23:16:26.542211000,P6A1a2,2018-05-31 23:16:26.545601000,412,0 days 00:00:00.673379000,2018-05-31 23:16:26.882290500,2018-05-31 23:16:26.208912000,2018-05-31 23:16:26.542211000,-3.39,-12.99439285714286,55.48044049688895,-12.99439285714286,55.48044049688895,0,-18.269
2,-21.659,2018-05-31 23:16:27.197321000,P6A1a2,2018-05-31 23:16:27.218980000,412,0 days 00:00:00.650159000,2018-05-31 23:16:27.544059500,2018-05-31 23:16:26.882290500,2018-05-31 23:16:27.197321000,-21.659,-12.99439285714286,55.48044049688895,-12.99439285714286,55.48044049688895,0,-31.928000000000004
3,-53.587,2018-05-31 23:16:27.815552000,P6A1a2,2018-05-31 23:16:27.869139000,412,0 days 00:00:00.673378000,2018-05-31 23:16:28.205828000,2018-05-31 23:16:27.544059500,2018-05-31 23:16:27.815552000,-53.587,-12.99439285714286,55.48044049688895,-12.99439285714286,55.48044049688895,0,39.082
4,-14.505,2018-05-31 23:16:28.528012000,P6A1a2,2018-05-31 23:16:28.542517000,412,0 days 00:00:00.673379000,2018-05-31 23:16:28.879206500,2018-05-31 23:16:28.205828000,2018-05-31 23:16:28.528012000,-14.505,-12.99439285714286,55.48044049688895,-12.99439285714286,55.48044049688895,0,-34.738
5,-49.243,2018-05-31 23:16:29.166653000,P6A1a2,2018-05-31 23:16:29.215896000,412,0 days 00:00:00.673379000,2018-05-31 23:16:29.552585500,2018-05-31 23:16:28.879206500,2018-05-31 23:16:29.166653000,-49.243,-12.99439285714286,55.48044049688895,-12.99439285714286,55.48044049688895,0,-51.023
6,-100.266,2018-05-31 23:16:29.789009000,P6A1a2,2018-05-31 23:16:29.889275000,412,0 days 00:00:00.650159000,2018-05-31 23:16:30.214354500,2018-05-31 23:16:29.552585500,2018-05-31 23:16:29.789009000,-100.266,-12.99439285714286,55.48044049688895,-12.99439285714286,55.48044049688895,0,86.796
7,-13.47,2018-05-31 23:16:30.525964000,P6A1a2,2018-05-31 23:16:30.539434000,412,0 days 00:00:00.673378000,2018-05-31 23:16:30.876123000,2018-05-31 23:16:30.214354500,2018-05-31 23:16:30.525964000,-13.47,-12.99439285714286,55.48044049688895,-12.99439285714286,55.48044049688895,0,-51.04900000000001
8,-64.519,2018-05-31 23:16:31.148293000,P6A1a2,2018-05-31 23:16:31.212812000,412,0 days 00:00:00.673379000,2018-05-31 23:16:31.549501500,2018-05-31 23:16:30.876123000,2018-05-31 23:16:31.148293000,-64.519,-12.99439285714286,55.48044049688895,-12.99439285714286,55.48044049688895,0,64.01
9,-0.509,2018-05-31 23:16:31.885682000,P6A1a2,2018-05-31 23:16:31.886191000,412,0 days 00:00:00.650159000,2018-05-31 23:16:32.211270500,2018-05-31 23:16:31.549501500,2018-05-31 23:16:31.885682000,-0.509,-12.99439285714286,55.48044049688895,-12.99439285714286,55.48044049688895,0,31.462
10,30.953,2018-05-31 23:16:32.567303000,P6A1a2,2018-05-31 23:16:32.536350000,412,0 days 00:00:00.673378000,2018-05-31 23:16:32.873039000,2018-05-31 23:16:32.211270500,2018-05-31 23:16:32.567303000,30.953,-12.99439285714286,55.48044049688895,-12.99439285714286,55.48044049688895,0,-64.13
