,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,261.805,2018-05-05 16:12:52.520721000,A2a4,2018-05-05 16:12:52.258916000,390,0 days 00:00:00.325079000,2018-05-05 16:12:52.421455500,2018-05-05 16:12:52.084766000,,,-1.6473333333333327,40.18121323966916,335.95373684210523,44.32908347028833
2,288.902,2018-05-05 16:12:52.872897000,A2a4,2018-05-05 16:12:52.583995000,390,0 days 00:00:00.325079000,2018-05-05 16:12:52.746534500,2018-05-05 16:12:52.421455500,2018-05-05 16:12:52.520721000,-63.274,-1.6473333333333327,40.18121323966916,335.95373684210523,44.32908347028833
3,338.298,2018-05-05 16:12:53.247372000,A2a4,2018-05-05 16:12:52.909074000,390,0 days 00:00:00.348300000,2018-05-05 16:12:53.083224000,2018-05-05 16:12:52.746534500,2018-05-05 16:12:52.872897000,-36.177,-1.6473333333333327,40.18121323966916,335.95373684210523,44.32908347028833
4,344.979,2018-05-05 16:12:53.602353000,A2a4,2018-05-05 16:12:53.257374000,390,0 days 00:00:00.325079000,2018-05-05 16:12:53.419913500,2018-05-05 16:12:53.083224000,2018-05-05 16:12:53.247372000,-10.002,-1.6473333333333327,40.18121323966916,335.95373684210523,44.32908347028833
5,335.415,2018-05-05 16:12:53.917868000,A2a4,2018-05-05 16:12:53.582453000,390,0 days 00:00:00.325079000,2018-05-05 16:12:53.744992500,2018-05-05 16:12:53.419913500,2018-05-05 16:12:53.602353000,19.9,-1.6473333333333327,40.18121323966916,335.95373684210523,44.32908347028833
6,322.854,2018-05-05 16:12:54.230386000,A2a4,2018-05-05 16:12:53.907532000,390,0 days 00:00:00.348300000,2018-05-05 16:12:54.081682000,2018-05-05 16:12:53.744992500,2018-05-05 16:12:53.917868000,10.336,-1.6473333333333327,40.18121323966916,335.95373684210523,44.32908347028833
7,378.674,2018-05-05 16:12:54.634506000,A2a4,2018-05-05 16:12:54.255832000,390,0 days 00:00:00.325079000,2018-05-05 16:12:54.418371500,2018-05-05 16:12:54.081682000,2018-05-05 16:12:54.230386000,-25.446,-1.6473333333333327,40.18121323966916,335.95373684210523,44.32908347028833
8,338.139,2018-05-05 16:12:54.919050000,A2a4,2018-05-05 16:12:54.580911000,390,0 days 00:00:00.325079000,2018-05-05 16:12:54.743450500,2018-05-05 16:12:54.418371500,2018-05-05 16:12:54.634506000,53.595,-1.6473333333333327,40.18121323966916,335.95373684210523,44.32908347028833
9,422.283,2018-05-05 16:12:55.328273000,A2a4,2018-05-05 16:12:54.905990000,390,0 days 00:00:00.348300000,2018-05-05 16:12:55.080140000,2018-05-05 16:12:54.743450500,2018-05-05 16:12:54.919050000,13.06,-1.6473333333333327,40.18121323966916,335.95373684210523,44.32908347028833
10,330.5,2018-05-05 16:12:55.584790000,A2a4,2018-05-05 16:12:55.254290000,390,0 days 00:00:00.325079000,2018-05-05 16:12:55.416829500,2018-05-05 16:12:55.080140000,2018-05-05 16:12:55.328273000,73.983,-1.6473333333333327,40.18121323966916,335.95373684210523,44.32908347028833
