,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,-222.441,2018-05-05 16:16:42.398819000,A2b3,2018-05-05 16:16:42.621260000,390.0,0 days 00:00:00.441179000,2018-05-05 16:16:42.841849500,2018-05-05 16:16:42.400670500,2018-05-05 16:16:42.767507000,146.247,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
2,-294.932,2018-05-05 16:16:42.767507000,A2b3,2018-05-05 16:16:43.062439000,390.0,0 days 00:00:00.441180000,2018-05-05 16:16:43.283029000,2018-05-05 16:16:42.841849500,2018-05-05 16:16:43.141109000,78.67,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
3,-362.51,2018-05-05 16:16:43.141109000,A2b3,2018-05-05 16:16:43.503619000,390.0,0 days 00:00:00.464399000,2018-05-05 16:16:43.735818500,2018-05-05 16:16:43.283029000,2018-05-05 16:16:43.557131000,53.512,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
4,-410.887,2018-05-05 16:16:43.557131000,A2b3,2018-05-05 16:16:43.968018000,390.0,0 days 00:00:00.441179000,2018-05-05 16:16:44.188607500,2018-05-05 16:16:43.735818500,2018-05-05 16:16:43.976364000,8.346,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
5,-432.833,2018-05-05 16:16:43.976364000,A2b3,2018-05-05 16:16:44.409197000,390.0,0 days 00:00:00.441179000,2018-05-05 16:16:44.629786500,2018-05-05 16:16:44.188607500,2018-05-05 16:16:44.427952000,18.755,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
6,-422.424,2018-05-05 16:16:44.427952000,A2b3,2018-05-05 16:16:44.850376000,390.0,0 days 00:00:00.441179000,2018-05-05 16:16:45.070965500,2018-05-05 16:16:44.629786500,2018-05-05 16:16:44.926821000,76.445,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
7,-364.734,2018-05-05 16:16:44.926821000,A2b3,2018-05-05 16:16:45.291555000,390.0,0 days 00:00:00.441179000,2018-05-05 16:16:45.512144500,2018-05-05 16:16:45.070965500,2018-05-05 16:16:45.284178000,-7.377,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
8,-448.556,2018-05-05 16:16:45.284178000,A2b3,2018-05-05 16:16:45.732734000,390.0,0 days 00:00:00.441179000,2018-05-05 16:16:45.953323500,2018-05-05 16:16:45.512144500,2018-05-05 16:16:45.738775000,6.041,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
9,-435.138,2018-05-05 16:16:45.738775000,A2b3,2018-05-05 16:16:46.173913000,390.0,0 days 00:00:00.441179000,2018-05-05 16:16:46.394502500,2018-05-05 16:16:45.953323500,2018-05-05 16:16:46.185276000,11.363,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
10,-429.816,2018-05-05 16:16:46.185276000,A2b3,2018-05-05 16:16:46.615092000,390.0,0 days 00:00:00.464400000,2018-05-05 16:16:46.847292000,2018-05-05 16:16:46.394502500,2018-05-05 16:16:46.617065000,1.973,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
11,-462.427,2018-05-05 16:16:46.617065000,A2b3,2018-05-05 16:16:47.079492000,390.0,0 days 00:00:00.441179000,2018-05-05 16:16:47.300081500,2018-05-05 16:16:46.847292000,2018-05-05 16:16:47.063230000,-16.262,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
12,-457.441,2018-05-05 16:16:47.063230000,A2b3,2018-05-05 16:16:47.520671000,390.0,0 days 00:00:00.441179000,2018-05-05 16:16:47.741260500,2018-05-05 16:16:47.300081500,2018-05-05 16:16:47.474765000,-45.906,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
13,-487.085,2018-05-05 16:16:47.474765000,A2b3,2018-05-05 16:16:47.961850000,390.0,0 days 00:00:00.441179000,2018-05-05 16:16:48.182439500,2018-05-05 16:16:47.741260500,2018-05-05 16:16:47.918812000,-43.038,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
14,-484.217,2018-05-05 16:16:47.918812000,A2b3,2018-05-05 16:16:48.403029000,390.0,0 days 00:00:00.441179000,2018-05-05 16:16:48.623618500,2018-05-05 16:16:48.182439500,2018-05-05 16:16:48.390390000,-12.639,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
15,-453.818,2018-05-05 16:16:48.390390000,A2b3,2018-05-05 16:16:48.844208000,390.0,0 days 00:00:00.441179000,2018-05-05 16:16:49.064797500,2018-05-05 16:16:48.623618500,2018-05-05 16:16:48.840859000,-3.349,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
16,-444.528,2018-05-05 16:16:48.840859000,A2b3,2018-05-05 16:16:49.285387000,390.0,0 days 00:00:00.441179000,2018-05-05 16:16:49.505976500,2018-05-05 16:16:49.064797500,2018-05-05 16:16:49.311963000,26.576,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
17,-414.603,2018-05-05 16:16:49.311963000,A2b3,2018-05-05 16:16:49.726566000,390.0,0 days 00:00:00.464399000,2018-05-05 16:16:49.958765500,2018-05-05 16:16:49.505976500,2018-05-05 16:16:49.721934000,-4.632,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
18,-469.031,2018-05-05 16:16:49.721934000,A2b3,2018-05-05 16:16:50.190965000,390.0,0 days 00:00:00.441180000,2018-05-05 16:16:50.411555000,2018-05-05 16:16:49.958765500,2018-05-05 16:16:50.163806000,-27.159,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
19,-468.339,2018-05-05 16:16:50.163806000,A2b3,2018-05-05 16:16:50.632145000,390.0,0 days 00:00:00.441179000,2018-05-05 16:16:50.852734500,2018-05-05 16:16:50.411555000,2018-05-05 16:16:50.630893000,-1.252,14.016526315789475,46.58267439530189,-419.25052631578944,66.98096431438849
