,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,321.383,2018-05-05 16:02:26.623665000,H1b2,2018-05-05 16:02:26.302282000,390,0 days 00:00:00.335910000,2018-05-05 16:02:26.470237000,2018-05-05 16:02:26.134387500,2018-05-05 16:02:26.198182000,-104.1,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
2,349.907,2018-05-05 16:02:26.988099000,H1b2,2018-05-05 16:02:26.638192000,390,0 days 00:00:00.335513000,2018-05-05 16:02:26.805948500,2018-05-05 16:02:26.470237000,2018-05-05 16:02:26.623665000,-14.527,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
3,366.421,2018-05-05 16:02:27.340126000,H1b2,2018-05-05 16:02:26.973705000,390,0 days 00:00:00.335952000,2018-05-05 16:02:27.141681000,2018-05-05 16:02:26.805948500,2018-05-05 16:02:26.988099000,14.394,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
4,366.53,2018-05-05 16:02:27.676187000,H1b2,2018-05-05 16:02:27.309657000,390,0 days 00:00:00.320047000,2018-05-05 16:02:27.469680500,2018-05-05 16:02:27.141681000,2018-05-05 16:02:27.340126000,30.469,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
5,365.595,2018-05-05 16:02:27.995299000,H1b2,2018-05-05 16:02:27.629704000,390,0 days 00:00:00.335702000,2018-05-05 16:02:27.797555000,2018-05-05 16:02:27.469680500,2018-05-05 16:02:27.676187000,46.483,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
6,361.782,2018-05-05 16:02:28.327188000,H1b2,2018-05-05 16:02:27.965406000,390,0 days 00:00:00.335911000,2018-05-05 16:02:28.133361500,2018-05-05 16:02:27.797555000,2018-05-05 16:02:27.995299000,29.893,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
7,349.045,2018-05-05 16:02:28.650362000,H1b2,2018-05-05 16:02:28.301317000,390,0 days 00:00:00.335962000,2018-05-05 16:02:28.469298000,2018-05-05 16:02:28.133361500,2018-05-05 16:02:28.327188000,25.871,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
8,336.663,2018-05-05 16:02:28.973942000,H1b2,2018-05-05 16:02:28.637279000,390,0 days 00:00:00.335620000,2018-05-05 16:02:28.805089000,2018-05-05 16:02:28.469298000,2018-05-05 16:02:28.650362000,13.083,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
9,332.85,2018-05-05 16:02:29.305749000,H1b2,2018-05-05 16:02:28.972899000,390,0 days 00:00:00.319765000,2018-05-05 16:02:29.132781500,2018-05-05 16:02:28.805089000,2018-05-05 16:02:28.973942000,1.043,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
10,340.297,2018-05-05 16:02:29.632961000,H1b2,2018-05-05 16:02:29.292664000,390,0 days 00:00:00.335641000,2018-05-05 16:02:29.460484500,2018-05-05 16:02:29.132781500,2018-05-05 16:02:29.305749000,13.085,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
11,356.613,2018-05-05 16:02:29.984918000,H1b2,2018-05-05 16:02:29.628305000,390,0 days 00:00:00.335874000,2018-05-05 16:02:29.796242000,2018-05-05 16:02:29.460484500,2018-05-05 16:02:29.632961000,4.656,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
12,328.142,2018-05-05 16:02:30.292321000,H1b2,2018-05-05 16:02:29.964179000,390,0 days 00:00:00.335776000,2018-05-05 16:02:30.132067000,2018-05-05 16:02:29.796242000,2018-05-05 16:02:29.984918000,20.739,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
13,323.847,2018-05-05 16:02:30.623802000,H1b2,2018-05-05 16:02:30.299955000,390,0 days 00:00:00.335952000,2018-05-05 16:02:30.467931000,2018-05-05 16:02:30.132067000,2018-05-05 16:02:30.292321000,-7.634,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
14,335.746,2018-05-05 16:02:30.971653000,H1b2,2018-05-05 16:02:30.635907000,390,0 days 00:00:00.319602000,2018-05-05 16:02:30.795708000,2018-05-05 16:02:30.467931000,2018-05-05 16:02:30.623802000,-12.105,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
15,356.128,2018-05-05 16:02:31.311637000,H1b2,2018-05-05 16:02:30.955509000,390,0 days 00:00:00.335934000,2018-05-05 16:02:31.123476000,2018-05-05 16:02:30.795708000,2018-05-05 16:02:30.971653000,16.144,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
16,347.764,2018-05-05 16:02:31.639207000,H1b2,2018-05-05 16:02:31.291443000,390,0 days 00:00:00.336107000,2018-05-05 16:02:31.459496500,2018-05-05 16:02:31.123476000,2018-05-05 16:02:31.311637000,20.194,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
17,347.142,2018-05-05 16:02:31.974692000,H1b2,2018-05-05 16:02:31.627550000,390,0 days 00:00:00.335709000,2018-05-05 16:02:31.795404500,2018-05-05 16:02:31.459496500,2018-05-05 16:02:31.639207000,11.657,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
18,355.336,2018-05-05 16:02:32.318595000,H1b2,2018-05-05 16:02:31.963259000,390,0 days 00:00:00.335878000,2018-05-05 16:02:32.131198000,2018-05-05 16:02:31.795404500,2018-05-05 16:02:31.974692000,11.433,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
19,351.146,2018-05-05 16:02:32.650283000,H1b2,2018-05-05 16:02:32.299137000,390,0 days 00:00:00.335750000,2018-05-05 16:02:32.467012000,2018-05-05 16:02:32.131198000,2018-05-05 16:02:32.318595000,19.458,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
20,310.087,2018-05-05 16:02:32.944974000,H1b2,2018-05-05 16:02:32.634887000,390,0 days 00:00:00.319899000,2018-05-05 16:02:32.794836500,2018-05-05 16:02:32.467012000,2018-05-05 16:02:32.650283000,15.396,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
21,338.225,2018-05-05 16:02:33.293011000,H1b2,2018-05-05 16:02:32.954786000,390,0 days 00:00:00.335700000,2018-05-05 16:02:33.122636000,2018-05-05 16:02:32.794836500,2018-05-05 16:02:32.944974000,-9.812,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
22,309.927,2018-05-05 16:02:33.600413000,H1b2,2018-05-05 16:02:33.290486000,390,0 days 00:00:00.335711000,2018-05-05 16:02:33.458341500,2018-05-05 16:02:33.122636000,2018-05-05 16:02:33.293011000,2.525,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
23,330.211,2018-05-05 16:02:33.956408000,H1b2,2018-05-05 16:02:33.626197000,390,0 days 00:00:00.335795000,2018-05-05 16:02:33.794094500,2018-05-05 16:02:33.458341500,2018-05-05 16:02:33.600413000,-25.784,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
24,325.995,2018-05-05 16:02:34.287987000,H1b2,2018-05-05 16:02:33.961992000,390,0 days 00:00:00.335987000,2018-05-05 16:02:34.129985500,2018-05-05 16:02:33.794094500,2018-05-05 16:02:33.956408000,-5.584,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
25,309.392,2018-05-05 16:02:34.607371000,H1b2,2018-05-05 16:02:34.297979000,390,0 days 00:00:00.319858000,2018-05-05 16:02:34.457908000,2018-05-05 16:02:34.129985500,2018-05-05 16:02:34.287987000,-9.992,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
26,329.408,2018-05-05 16:02:34.947245000,H1b2,2018-05-05 16:02:34.617837000,390,0 days 00:00:00.335754000,2018-05-05 16:02:34.785714000,2018-05-05 16:02:34.457908000,2018-05-05 16:02:34.607371000,-10.466,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
27,325.27,2018-05-05 16:02:35.278861000,H1b2,2018-05-05 16:02:34.953591000,390,0 days 00:00:00.335945000,2018-05-05 16:02:35.121563500,2018-05-05 16:02:34.785714000,2018-05-05 16:02:34.947245000,-6.346,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
28,329.178,2018-05-05 16:02:35.618714000,H1b2,2018-05-05 16:02:35.289536000,390,0 days 00:00:00.335603000,2018-05-05 16:02:35.457337500,2018-05-05 16:02:35.121563500,2018-05-05 16:02:35.278861000,-10.675,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
29,300.54,2018-05-05 16:02:35.925679000,H1b2,2018-05-05 16:02:35.625139000,390,0 days 00:00:00.335920000,2018-05-05 16:02:35.793099000,2018-05-05 16:02:35.457337500,2018-05-05 16:02:35.618714000,-6.425,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
30,328.944,2018-05-05 16:02:36.290003000,H1b2,2018-05-05 16:02:35.961059000,390,0 days 00:00:00.319769000,2018-05-05 16:02:36.120943500,2018-05-05 16:02:35.793099000,2018-05-05 16:02:35.925679000,-35.38,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
31,328.543,2018-05-05 16:02:36.609371000,H1b2,2018-05-05 16:02:36.280828000,390,0 days 00:00:00.335760000,2018-05-05 16:02:36.448708000,2018-05-05 16:02:36.120943500,2018-05-05 16:02:36.290003000,9.175,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
32,340.881,2018-05-05 16:02:36.957469000,H1b2,2018-05-05 16:02:36.616588000,390,0 days 00:00:00.336068000,2018-05-05 16:02:36.784622000,2018-05-05 16:02:36.448708000,2018-05-05 16:02:36.609371000,-7.217,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
33,336.334,2018-05-05 16:02:37.288990000,H1b2,2018-05-05 16:02:36.952656000,390,0 days 00:00:00.335867000,2018-05-05 16:02:37.120589500,2018-05-05 16:02:36.784622000,2018-05-05 16:02:36.957469000,4.813,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
34,336.118,2018-05-05 16:02:37.624641000,H1b2,2018-05-05 16:02:37.288523000,390,0 days 00:00:00.335693000,2018-05-05 16:02:37.456369500,2018-05-05 16:02:37.120589500,2018-05-05 16:02:37.288990000,0.467,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
35,315.724,2018-05-05 16:02:37.939940000,H1b2,2018-05-05 16:02:37.624216000,390,0 days 00:00:00.335769000,2018-05-05 16:02:37.792100500,2018-05-05 16:02:37.456369500,2018-05-05 16:02:37.624641000,0.425,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
36,328.014,2018-05-05 16:02:38.287999000,H1b2,2018-05-05 16:02:37.959985000,390,0 days 00:00:00.319926000,2018-05-05 16:02:38.119948000,2018-05-05 16:02:37.792100500,2018-05-05 16:02:37.939940000,-20.045,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
37,323.187,2018-05-05 16:02:38.603098000,H1b2,2018-05-05 16:02:38.279911000,390,0 days 00:00:00.335603000,2018-05-05 16:02:38.447712500,2018-05-05 16:02:38.119948000,2018-05-05 16:02:38.287999000,8.088,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
38,339.696,2018-05-05 16:02:38.955210000,H1b2,2018-05-05 16:02:38.615514000,390,0 days 00:00:00.335833000,2018-05-05 16:02:38.783430500,2018-05-05 16:02:38.447712500,2018-05-05 16:02:38.603098000,-12.416,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
39,347.81,2018-05-05 16:02:39.299157000,H1b2,2018-05-05 16:02:38.951347000,390,0 days 00:00:00.335938000,2018-05-05 16:02:39.119316000,2018-05-05 16:02:38.783430500,2018-05-05 16:02:38.955210000,3.863,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
40,339.374,2018-05-05 16:02:39.626659000,H1b2,2018-05-05 16:02:39.287285000,390,0 days 00:00:00.335806000,2018-05-05 16:02:39.455188000,2018-05-05 16:02:39.119316000,2018-05-05 16:02:39.299157000,11.872,1.6979555555555557,22.625948178982014,336.95482222222216,16.004142854683938
