,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,625.146,2018-05-05 15:58:36.190771000,P6A1a2,2018-05-05 15:58:35.565625000,390,0 days 00:00:00.673379000,2018-05-05 15:58:35.902314500,2018-05-05 15:58:35.228936000,2018-05-05 15:58:35.568299000,2.674,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
2,586.144,2018-05-05 15:58:36.825148000,P6A1a2,2018-05-05 15:58:36.239004000,390,0 days 00:00:00.650159000,2018-05-05 15:58:36.564083500,2018-05-05 15:58:35.902314500,2018-05-05 15:58:36.190771000,-48.233,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
3,570.783,2018-05-05 15:58:37.459946000,P6A1a2,2018-05-05 15:58:36.889163000,390,0 days 00:00:00.673378000,2018-05-05 15:58:37.225852000,2018-05-05 15:58:36.564083500,2018-05-05 15:58:36.825148000,-64.015,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
4,593.321,2018-05-05 15:58:38.155862000,P6A1a2,2018-05-05 15:58:37.562541000,390,0 days 00:00:00.673379000,2018-05-05 15:58:37.899230500,2018-05-05 15:58:37.225852000,2018-05-05 15:58:37.459946000,-102.595,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
5,595.427,2018-05-05 15:58:38.831347000,P6A1a2,2018-05-05 15:58:38.235920000,390,0 days 00:00:00.673379000,2018-05-05 15:58:38.572609500,2018-05-05 15:58:37.899230500,2018-05-05 15:58:38.155862000,-80.058,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
6,601.828,2018-05-05 15:58:39.511127000,P6A1a2,2018-05-05 15:58:38.909299000,390,0 days 00:00:00.650159000,2018-05-05 15:58:39.234378500,2018-05-05 15:58:38.572609500,2018-05-05 15:58:38.831347000,-77.952,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
7,629.483,2018-05-05 15:58:40.188941000,P6A1a2,2018-05-05 15:58:39.559458000,390,0 days 00:00:00.673378000,2018-05-05 15:58:39.896147000,2018-05-05 15:58:39.234378500,2018-05-05 15:58:39.511127000,-48.331,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
8,634.243,2018-05-05 15:58:40.867079000,P6A1a2,2018-05-05 15:58:40.232836000,390,0 days 00:00:00.673379000,2018-05-05 15:58:40.569525500,2018-05-05 15:58:39.896147000,2018-05-05 15:58:40.188941000,-43.895,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
9,626.682,2018-05-05 15:58:41.532897000,P6A1a2,2018-05-05 15:58:40.906215000,390,0 days 00:00:00.650159000,2018-05-05 15:58:41.231294500,2018-05-05 15:58:40.569525500,2018-05-05 15:58:40.867079000,-39.136,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
10,657.199,2018-05-05 15:58:42.213573000,P6A1a2,2018-05-05 15:58:41.556374000,390,0 days 00:00:00.673378000,2018-05-05 15:58:41.893063000,2018-05-05 15:58:41.231294500,2018-05-05 15:58:41.532897000,-23.477,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
11,639.905,2018-05-05 15:58:42.869657000,P6A1a2,2018-05-05 15:58:42.229752000,390,0 days 00:00:00.673379000,2018-05-05 15:58:42.566441500,2018-05-05 15:58:41.893063000,2018-05-05 15:58:42.213573000,-16.179,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
12,638.981,2018-05-05 15:58:43.542112000,P6A1a2,2018-05-05 15:58:42.903131000,390,0 days 00:00:00.673379000,2018-05-05 15:58:43.239820500,2018-05-05 15:58:42.566441500,2018-05-05 15:58:42.869657000,-33.474,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
13,658.921,2018-05-05 15:58:44.235431000,P6A1a2,2018-05-05 15:58:43.576510000,390,0 days 00:00:00.650158000,2018-05-05 15:58:43.901589000,2018-05-05 15:58:43.239820500,2018-05-05 15:58:43.542112000,-34.398,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
14,686.035,2018-05-05 15:58:44.912703000,P6A1a2,2018-05-05 15:58:44.226668000,390,0 days 00:00:00.673379000,2018-05-05 15:58:44.563357500,2018-05-05 15:58:43.901589000,2018-05-05 15:58:44.235431000,8.763,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
15,653.723,2018-05-05 15:58:45.553770000,P6A1a2,2018-05-05 15:58:44.900047000,390,0 days 00:00:00.673379000,2018-05-05 15:58:45.236736500,2018-05-05 15:58:44.563357500,2018-05-05 15:58:44.912703000,12.656,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
16,612.201,2018-05-05 15:58:46.185627000,P6A1a2,2018-05-05 15:58:45.573426000,390,0 days 00:00:00.650159000,2018-05-05 15:58:45.898505500,2018-05-05 15:58:45.236736500,2018-05-05 15:58:45.553770000,-19.656,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
17,613.914,2018-05-05 15:58:46.837499000,P6A1a2,2018-05-05 15:58:46.223585000,390,0 days 00:00:00.673378000,2018-05-05 15:58:46.560274000,2018-05-05 15:58:45.898505500,2018-05-05 15:58:46.185627000,-37.958,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
18,1034.455,2018-05-05 15:58:47.931418000,P6A1a2,2018-05-05 15:58:46.896963000,390,0 days 00:00:00.673379000,2018-05-05 15:58:47.233652500,2018-05-05 15:58:46.560274000,2018-05-05 15:58:46.837499000,-59.464,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
19,705.804,2018-05-05 15:58:48.276146000,P6A1a2,2018-05-05 15:58:47.570342000,390,0 days 00:00:00.673379000,2018-05-05 15:58:47.907031500,2018-05-05 15:58:47.233652500,,,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
20,715.006,2018-05-05 15:58:48.958727000,P6A1a2,2018-05-05 15:58:48.243721000,390,0 days 00:00:00.650158000,2018-05-05 15:58:48.568800000,2018-05-05 15:58:47.907031500,2018-05-05 15:58:47.931418000,-312.303,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
21,720.247,2018-05-05 15:58:49.614126000,P6A1a2,2018-05-05 15:58:48.893879000,390,0 days 00:00:00.673379000,2018-05-05 15:58:49.230568500,2018-05-05 15:58:48.568800000,2018-05-05 15:58:48.958727000,64.848,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
22,639.661,2018-05-05 15:58:50.206919000,P6A1a2,2018-05-05 15:58:49.567258000,390,0 days 00:00:00.673379000,2018-05-05 15:58:49.903947500,2018-05-05 15:58:49.230568500,2018-05-05 15:58:49.614126000,46.868,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
23,640.98,2018-05-05 15:58:50.881617000,P6A1a2,2018-05-05 15:58:50.240637000,390,0 days 00:00:00.650158000,2018-05-05 15:58:50.565716000,2018-05-05 15:58:49.903947500,2018-05-05 15:58:50.206919000,-33.718,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
24,652.352,2018-05-05 15:58:51.543147000,P6A1a2,2018-05-05 15:58:50.890795000,390,0 days 00:00:00.673379000,2018-05-05 15:58:51.227484500,2018-05-05 15:58:50.565716000,2018-05-05 15:58:50.881617000,-9.178,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
25,619.054,2018-05-05 15:58:52.183228000,P6A1a2,2018-05-05 15:58:51.564174000,390,0 days 00:00:00.673379000,2018-05-05 15:58:51.900863500,2018-05-05 15:58:51.227484500,2018-05-05 15:58:51.543147000,-21.027,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
26,572.396,2018-05-05 15:58:52.809949000,P6A1a2,2018-05-05 15:58:52.237553000,390,0 days 00:00:00.673378000,2018-05-05 15:58:52.574242000,2018-05-05 15:58:51.900863500,2018-05-05 15:58:52.183228000,-54.325,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
27,599.56,2018-05-05 15:58:53.510491000,P6A1a2,2018-05-05 15:58:52.910931000,390,0 days 00:00:00.650159000,2018-05-05 15:58:53.236010500,2018-05-05 15:58:52.574242000,2018-05-05 15:58:52.809949000,-100.982,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
28,584.578,2018-05-05 15:58:54.145668000,P6A1a2,2018-05-05 15:58:53.561090000,390,0 days 00:00:00.673379000,2018-05-05 15:58:53.897779500,2018-05-05 15:58:53.236010500,2018-05-05 15:58:53.510491000,-50.599,-43.52385185185185,66.24964841108662,646.7153214285715,85.82261259695446
