,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,Latency,Latency Corrected SA
1,85.203,2018-07-16 14:14:47.892197,H1a2,2018-07-16 14:14:47.806994,805,655.671,2018-07-16 14:14:48.134830,2018-07-16 14:14:47.471125,2018-07-16 14:14:47.892197,85.203,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,-213.16899999999998,145.70466666666667,230.90766666666667
2,-127.966,2018-07-16 14:14:48.334699,H1a2,2018-07-16 14:14:48.462665,805,671.514,2018-07-16 14:14:48.798422,2018-07-16 14:14:48.134830,2018-07-16 14:14:48.334699,-127.966,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,-12.53500000000001,149.22533333333334,21.259333333333345
3,-140.501,2018-07-16 14:14:48.993678,H1a2,2018-07-16 14:14:49.134179,805,671.723,2018-07-16 14:14:49.470040,2018-07-16 14:14:48.798422,2018-07-16 14:14:48.993678,-140.501,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,-41.33500000000001,149.27177777777777,8.770777777777766
4,-181.836,2018-07-16 14:14:49.624066,H1a2,2018-07-16 14:14:49.805902,805,655.985,2018-07-16 14:14:50.133895,2018-07-16 14:14:49.470040,2018-07-16 14:14:49.624066,-181.836,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,-17.09699999999998,145.77444444444444,-36.06155555555557
5,-198.933,2018-07-16 14:14:50.262954,H1a2,2018-07-16 14:14:50.461887,805,671.717,2018-07-16 14:14:50.797745,2018-07-16 14:14:50.133895,2018-07-16 14:14:50.262954,-198.933,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,36.79499999999999,149.27044444444445,-49.66255555555554
6,-162.138,2018-07-16 14:14:50.971466,H1a2,2018-07-16 14:14:51.133604,805,655.799,2018-07-16 14:14:51.461503,2018-07-16 14:14:50.797745,2018-07-16 14:14:50.971466,-162.138,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,-37.778999999999996,145.7331111111111,-16.404888888888905
7,-199.917,2018-07-16 14:14:51.589486,H1a2,2018-07-16 14:14:51.789403,805,671.707,2018-07-16 14:14:52.125256,2018-07-16 14:14:51.461503,2018-07-16 14:14:51.589486,-199.917,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,60.792,149.26822222222222,-50.64877777777778
8,-139.125,2018-07-16 14:14:52.321985,H1a2,2018-07-16 14:14:52.461110,805,671.703,2018-07-16 14:14:52.796961,2018-07-16 14:14:52.125256,2018-07-16 14:14:52.321985,-139.125,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,-0.24100000000001387,149.26733333333334,10.14233333333334
9,-139.366,2018-07-16 14:14:52.993447,H1a2,2018-07-16 14:14:53.132813,805,655.62,2018-07-16 14:14:53.460623,2018-07-16 14:14:52.796961,2018-07-16 14:14:52.993447,-139.366,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,-20.659999999999997,145.69333333333333,6.327333333333314
10,-160.026,2018-07-16 14:14:53.628407,H1a2,2018-07-16 14:14:53.788433,805,672.167,2018-07-16 14:14:54.124517,2018-07-16 14:14:53.460623,2018-07-16 14:14:53.628407,-160.026,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,15.411000000000001,149.37044444444444,-10.655555555555566
11,-144.615,2018-07-16 14:14:54.315985,H1a2,2018-07-16 14:14:54.460600,805,671.368,2018-07-16 14:14:54.796284,2018-07-16 14:14:54.124517,2018-07-16 14:14:54.315985,-144.615,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,4.319000000000017,149.1928888888889,4.577888888888879
12,-140.296,2018-07-16 14:14:54.991672,H1a2,2018-07-16 14:14:55.131968,805,655.625,2018-07-16 14:14:55.459780,2018-07-16 14:14:54.796284,2018-07-16 14:14:54.991672,-140.296,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,19.89099999999999,145.69444444444446,5.398444444444465
13,-120.405,2018-07-16 14:14:55.667188,H1a2,2018-07-16 14:14:55.787593,805,671.943,2018-07-16 14:14:56.123564,2018-07-16 14:14:55.459780,2018-07-16 14:14:55.667188,-120.405,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,7.695000000000007,149.32066666666665,28.915666666666652
14,-112.71,2018-07-16 14:14:56.346826,H1a2,2018-07-16 14:14:56.459536,805,655.715,2018-07-16 14:14:56.787394,2018-07-16 14:14:56.123564,2018-07-16 14:14:56.346826,-112.71,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,,145.71444444444444,33.004444444444445
15,459.646,2018-07-16 14:14:57.574897,H1a2,2018-07-16 14:14:57.115251,805,671.681,2018-07-16 14:14:57.451092,2018-07-16 14:14:56.787394,,,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,,149.26244444444444,
16,537.31,2018-07-16 14:14:58.324242,H1a2,2018-07-16 14:14:57.786932,805,671.952,2018-07-16 14:14:58.122908,2018-07-16 14:14:57.451092,2018-07-16 14:14:57.574897,-212.035,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,77.393,149.32266666666666,-62.71233333333333
17,541.08,2018-07-16 14:14:58.999964,H1a2,2018-07-16 14:14:58.458884,805,655.556,2018-07-16 14:14:58.786662,2018-07-16 14:14:58.122908,2018-07-16 14:14:58.324242,-134.642,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,20.165999999999997,145.67911111111113,11.03711111111113
18,531.942,2018-07-16 14:14:59.646382,H1a2,2018-07-16 14:14:59.114440,805,671.881,2018-07-16 14:14:59.450380,2018-07-16 14:14:58.786662,2018-07-16 14:14:58.999964,-114.476,-141.85881818181818,57.4647688577108,118.55908695652171,327.3904929004941,1,-25.462999999999994,149.3068888888889,34.83088888888889
