,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,Latency,Latency Corrected SA
0,1,-152.748,2018-07-16 14:13:25.846547,H1a1,2018-07-16 14:13:25.999295,805.0,1327.69,2018-07-16 14:13:26.663140,2018-07-16 14:13:25.327750,2018-07-16 14:13:25.846547,-152.748,-209.39654545454547,63.858683623080786,-209.39654545454547,63.858683623080786,0,-17.293000000000006,295.04222222222216,142.29422222222226
1,2,-170.041,2018-07-16 14:13:27.156944,H1a1,2018-07-16 14:13:27.326985,805.0,1327.491,2018-07-16 14:13:27.990730,2018-07-16 14:13:26.663140,2018-07-16 14:13:27.156944,-170.041,-209.39654545454547,63.858683623080786,-209.39654545454547,63.858683623080786,0,7.022999999999996,294.998,124.95700000000001
2,3,-163.018,2018-07-16 14:13:28.491458,H1a1,2018-07-16 14:13:28.654476,805.0,1343.368,2018-07-16 14:13:29.326160,2018-07-16 14:13:27.990730,2018-07-16 14:13:28.491458,-163.018,-209.39654545454547,63.858683623080786,-209.39654545454547,63.858683623080786,0,-65.80799999999999,298.5262222222222,135.5082222222222
3,4,-228.826,2018-07-16 14:13:29.769018,H1a1,2018-07-16 14:13:29.997844,805.0,1327.606,2018-07-16 14:13:30.661647,2018-07-16 14:13:29.326160,2018-07-16 14:13:29.769018,-228.826,-209.39654545454547,63.858683623080786,-209.39654545454547,63.858683623080786,0,35.382999999999974,295.0235555555556,66.19755555555557
4,5,-193.44299999999998,2018-07-16 14:13:31.132007,H1a1,2018-07-16 14:13:31.325450,805.0,1327.451,2018-07-16 14:13:31.989176,2018-07-16 14:13:30.661647,2018-07-16 14:13:31.132007,-193.44299999999998,-209.39654545454547,63.858683623080786,-209.39654545454547,63.858683623080786,0,15.515000000000017,294.9891111111112,101.54611111111113
5,6,-177.928,2018-07-16 14:13:32.474973,H1a1,2018-07-16 14:13:32.652901,805.0,1343.266,2018-07-16 14:13:33.324534,2018-07-16 14:13:31.989176,2018-07-16 14:13:32.474973,-177.928,-209.39654545454547,63.858683623080786,-209.39654545454547,63.858683623080786,0,-65.918,298.50355555555564,120.57555555555557
6,7,-243.84599999999998,2018-07-16 14:13:33.752321,H1a1,2018-07-16 14:13:33.996167,805.0,1327.639,2018-07-16 14:13:34.659986,2018-07-16 14:13:33.324534,2018-07-16 14:13:33.752321,-243.84599999999998,-209.39654545454547,63.858683623080786,-209.39654545454547,63.858683623080786,0,64.13300000000001,295.0308888888888,51.18488888888886
7,8,-179.713,2018-07-16 14:13:35.144093,H1a1,2018-07-16 14:13:35.323806,805.0,1327.6170000000002,2018-07-16 14:13:35.987614,2018-07-16 14:13:34.659986,2018-07-16 14:13:35.144093,-179.713,-209.39654545454547,63.858683623080786,-209.39654545454547,63.858683623080786,0,-17.054000000000002,295.026,115.31300000000002
8,9,-196.767,2018-07-16 14:13:36.454656,H1a1,2018-07-16 14:13:36.651423,805.0,1327.474,2018-07-16 14:13:37.315160,2018-07-16 14:13:35.987614,2018-07-16 14:13:36.454656,-196.767,-209.39654545454547,63.858683623080786,-209.39654545454547,63.858683623080786,0,-17.676999999999992,294.99422222222216,98.22722222222221
9,10,-214.44400000000002,2018-07-16 14:13:37.764453,H1a1,2018-07-16 14:13:37.978897,805.0,1343.434,2018-07-16 14:13:38.650614,2018-07-16 14:13:37.315160,2018-07-16 14:13:37.764453,-214.44400000000002,-209.39654545454547,63.858683623080786,-209.39654545454547,63.858683623080786,0,-168.14400000000003,298.5408888888889,84.0968888888889
10,11,-382.588,2018-07-16 14:13:38.939743,H1a1,2018-07-16 14:13:39.322331,805.0,1327.4920000000002,2018-07-16 14:13:39.986077,2018-07-16 14:13:38.650614,2018-07-16 14:13:38.939743,-382.588,-209.39654545454547,63.858683623080786,-209.39654545454547,63.858683623080786,0,,294.99822222222224,-87.58977777777778
11,1,85.20299999999999,2018-07-16 14:14:47.892197,H1a2,2018-07-16 14:14:47.806994,805.0,655.671,2018-07-16 14:14:48.134830,2018-07-16 14:14:47.471125,2018-07-16 14:14:47.892197,85.20299999999999,-141.85881818181818,57.4647688577108,118.55908695652172,327.3904929004941,1,-213.169,145.70466666666667,230.90766666666667
12,2,-127.96600000000001,2018-07-16 14:14:48.334699,H1a2,2018-07-16 14:14:48.462665,805.0,671.5139999999999,2018-07-16 14:14:48.798422,2018-07-16 14:14:48.134830,2018-07-16 14:14:48.334699,-127.96600000000001,-141.85881818181818,57.4647688577108,118.55908695652172,327.3904929004941,1,-12.535000000000009,149.22533333333334,21.259333333333345
13,3,-140.501,2018-07-16 14:14:48.993678,H1a2,2018-07-16 14:14:49.134179,805.0,671.7230000000001,2018-07-16 14:14:49.470040,2018-07-16 14:14:48.798422,2018-07-16 14:14:48.993678,-140.501,-141.85881818181818,57.4647688577108,118.55908695652172,327.3904929004941,1,-41.33500000000001,149.27177777777774,8.770777777777766
14,4,-181.83599999999998,2018-07-16 14:14:49.624066,H1a2,2018-07-16 14:14:49.805902,805.0,655.985,2018-07-16 14:14:50.133895,2018-07-16 14:14:49.470040,2018-07-16 14:14:49.624066,-181.83599999999998,-141.85881818181818,57.4647688577108,118.55908695652172,327.3904929004941,1,-17.09699999999998,145.77444444444444,-36.06155555555557
