Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
-236.687,35:12.1,H1a1,35:12.3,127,1327.537,35:13.0,35:11.6,35:12.1,-236.687,-301.1816364,76.3377993,-301.1816364,76.3377993,0,-148.524
-385.211,35:13.2,H1a1,35:13.6,127,1327.625,35:14.3,35:13.0,35:13.2,-385.211,-301.1816364,76.3377993,-301.1816364,76.3377993,0,64.378
-320.833,35:14.6,H1a1,35:15.0,127,1343.354,35:15.6,35:14.3,35:14.6,-320.833,-301.1816364,76.3377993,-301.1816364,76.3377993,0,-49.447
-370.28,35:15.9,H1a1,35:16.3,127,1327.54,35:17.0,35:15.6,35:15.9,-370.28,-301.1816364,76.3377993,-301.1816364,76.3377993,0,-21.818
-392.098,35:17.2,H1a1,35:17.6,127,1327.327,35:18.3,35:17.0,35:17.2,-392.098,-301.1816364,76.3377993,-301.1816364,76.3377993,0,171.233
-220.865,35:18.7,H1a1,35:19.0,127,1327.524,35:19.6,35:18.3,35:18.7,-220.865,-301.1816364,76.3377993,-301.1816364,76.3377993,0,56.332
-164.533,35:20.1,H1a1,35:20.3,127,1343.327,35:21.0,35:19.6,35:20.1,-164.533,-301.1816364,76.3377993,-301.1816364,76.3377993,0,-61.763
-226.296,35:21.4,H1a1,35:21.6,127,1327.685,35:22.3,35:21.0,35:21.4,-226.296,-301.1816364,76.3377993,-301.1816364,76.3377993,0,-107.58
-333.876,35:22.6,H1a1,35:23.0,127,1327.588,35:23.6,35:22.3,35:22.6,-333.876,-301.1816364,76.3377993,-301.1816364,76.3377993,0,-1.145
-335.021,35:23.9,H1a1,35:24.3,127,1343.32,35:25.0,35:23.6,35:23.9,-335.021,-301.1816364,76.3377993,-301.1816364,76.3377993,0,7.723
-327.298,35:25.3,H1a1,35:25.6,127,1327.358,35:26.3,35:25.0,35:25.3,-327.298,-301.1816364,76.3377993,-301.1816364,76.3377993,0,
-117.686,36:34.4,H1a2,36:34.5,127,671.836,36:34.9,36:34.2,36:34.4,-117.686,-147.0783636,34.76096101,170.3021304,327.9148017,1,32.388
-85.298,36:35.1,H1a2,36:35.2,127,671.726,36:35.5,36:34.9,36:35.1,-85.298,-147.0783636,34.76096101,170.3021304,327.9148017,1,-86.184
-171.482,36:35.7,H1a2,36:35.9,127,655.786,36:36.2,36:35.5,36:35.7,-171.482,-147.0783636,34.76096101,170.3021304,327.9148017,1,85.179
-86.303,36:36.5,H1a2,36:36.5,127,671.555,36:36.9,36:36.2,36:36.5,-86.303,-147.0783636,34.76096101,170.3021304,327.9148017,1,24.414
-61.889,36:37.1,H1a2,36:37.2,127,671.85,36:37.5,36:36.9,36:37.1,-61.889,-147.0783636,34.76096101,170.3021304,327.9148017,1,-114.92
-176.809,36:37.7,H1a2,36:37.9,127,655.445,36:38.2,36:37.5,36:37.7,-176.809,-147.0783636,34.76096101,170.3021304,327.9148017,1,52.487
-124.322,36:38.4,H1a2,36:38.5,127,671.958,36:38.9,36:38.2,36:38.4,-124.322,-147.0783636,34.76096101,170.3021304,327.9148017,1,-65.789
-190.111,36:39.0,H1a2,36:39.2,127,655.758,36:39.5,36:38.9,36:39.0,-190.111,-147.0783636,34.76096101,170.3021304,327.9148017,1,60.602
-129.509,36:39.7,H1a2,36:39.9,127,671.54,36:40.2,36:39.5,36:39.7,-129.509,-147.0783636,34.76096101,170.3021304,327.9148017,1,-28.527
-158.036,36:40.4,H1a2,36:40.5,127,671.945,36:40.9,36:40.2,36:40.4,-158.036,-147.0783636,34.76096101,170.3021304,327.9148017,1,-21.034
-179.07,36:41.0,H1a2,36:41.2,127,655.709,36:41.5,36:40.9,36:41.0,-179.07,-147.0783636,34.76096101,170.3021304,327.9148017,1,35.89
-143.18,36:41.7,H1a2,36:41.9,127,671.683,36:42.2,36:41.5,36:41.7,-143.18,-147.0783636,34.76096101,170.3021304,327.9148017,1,
511.548,36:43.0,H1a2,36:42.5,127,671.771,36:42.9,36:42.2,,,-147.0783636,34.76096101,170.3021304,327.9148017,1,
495.35,36:43.7,H1a2,36:43.2,127,655.782,36:43.5,36:42.9,36:43.0,-160.223,-147.0783636,34.76096101,170.3021304,327.9148017,1,-0.209
535.483,36:44.4,H1a2,36:43.9,127,671.609,36:44.2,36:43.5,36:43.7,-160.432,-147.0783636,34.76096101,170.3021304,327.9148017,1,24.306
518.846,36:45.1,H1a2,36:44.5,127,655.679,36:44.9,36:44.2,36:44.4,-136.126,-147.0783636,34.76096101,170.3021304,327.9148017,1,-0.707
489.537,36:45.7,H1a2,36:45.2,127,671.856,36:45.5,36:44.9,36:45.1,-136.833,-147.0783636,34.76096101,170.3021304,327.9148017,1,-45.486
