Asynchrony,Group,IOI,,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,User ID
-236.687,Professional,1327.537,Flute,35:13.0,-301.1816364,35:11.6,0,-148.524,-236.687,-301.1816364,76.3377993,35:12.1,76.3377993,35:12.1,H1a1,35:12.3,824
-385.211,Professional,1327.625,Flute,35:14.3,-301.1816364,35:13.0,0,64.378,-385.211,-301.1816364,76.3377993,35:13.2,76.3377993,35:13.2,H1a1,35:13.6,824
-320.833,Professional,1343.354,Flute,35:15.6,-301.1816364,35:14.3,0,-49.447,-320.833,-301.1816364,76.3377993,35:14.6,76.3377993,35:14.6,H1a1,35:15.0,824
-370.28,Professional,1327.54,Flute,35:17.0,-301.1816364,35:15.6,0,-21.818,-370.28,-301.1816364,76.3377993,35:15.9,76.3377993,35:15.9,H1a1,35:16.3,824
-392.098,Professional,1327.327,Flute,35:18.3,-301.1816364,35:17.0,0,171.233,-392.098,-301.1816364,76.3377993,35:17.2,76.3377993,35:17.2,H1a1,35:17.6,824
-220.865,Professional,1327.524,Flute,35:19.6,-301.1816364,35:18.3,0,56.332,-220.865,-301.1816364,76.3377993,35:18.7,76.3377993,35:18.7,H1a1,35:19.0,824
-164.533,Professional,1343.327,Flute,35:21.0,-301.1816364,35:19.6,0,-61.763,-164.533,-301.1816364,76.3377993,35:20.1,76.3377993,35:20.1,H1a1,35:20.3,824
-226.296,Professional,1327.685,Flute,35:22.3,-301.1816364,35:21.0,0,-107.58,-226.296,-301.1816364,76.3377993,35:21.4,76.3377993,35:21.4,H1a1,35:21.6,824
-333.876,Professional,1327.588,Flute,35:23.6,-301.1816364,35:22.3,0,-1.145,-333.876,-301.1816364,76.3377993,35:22.6,76.3377993,35:22.6,H1a1,35:23.0,824
-335.021,Professional,1343.32,Flute,35:25.0,-301.1816364,35:23.6,0,7.723,-335.021,-301.1816364,76.3377993,35:23.9,76.3377993,35:23.9,H1a1,35:24.3,824
-327.298,Professional,1327.358,Flute,35:26.3,-301.1816364,35:25.0,0,,-327.298,-301.1816364,76.3377993,35:25.3,76.3377993,35:25.3,H1a1,35:25.6,824
-117.686,Professional,671.836,Flute,36:34.9,170.3021304,36:34.2,1,32.388,-117.686,-147.0783636,34.76096101,36:34.4,327.9148017,36:34.4,H1a2,36:34.5,824
-85.298,Professional,671.726,Flute,36:35.5,170.3021304,36:34.9,1,-86.184,-85.298,-147.0783636,34.76096101,36:35.1,327.9148017,36:35.1,H1a2,36:35.2,824
-171.482,Professional,655.786,Flute,36:36.2,170.3021304,36:35.5,1,85.179,-171.482,-147.0783636,34.76096101,36:35.7,327.9148017,36:35.7,H1a2,36:35.9,824
-86.303,Professional,671.555,Flute,36:36.9,170.3021304,36:36.2,1,24.414,-86.303,-147.0783636,34.76096101,36:36.5,327.9148017,36:36.5,H1a2,36:36.5,824
-61.889,Professional,671.85,Flute,36:37.5,170.3021304,36:36.9,1,-114.92,-61.889,-147.0783636,34.76096101,36:37.1,327.9148017,36:37.1,H1a2,36:37.2,824
-176.809,Professional,655.445,Flute,36:38.2,170.3021304,36:37.5,1,52.487,-176.809,-147.0783636,34.76096101,36:37.7,327.9148017,36:37.7,H1a2,36:37.9,824
-124.322,Professional,671.958,Flute,36:38.9,170.3021304,36:38.2,1,-65.789,-124.322,-147.0783636,34.76096101,36:38.4,327.9148017,36:38.4,H1a2,36:38.5,824
-190.111,Professional,655.758,Flute,36:39.5,170.3021304,36:38.9,1,60.602,-190.111,-147.0783636,34.76096101,36:39.0,327.9148017,36:39.0,H1a2,36:39.2,824
-129.509,Professional,671.54,Flute,36:40.2,170.3021304,36:39.5,1,-28.527,-129.509,-147.0783636,34.76096101,36:39.7,327.9148017,36:39.7,H1a2,36:39.9,824
-158.036,Professional,671.945,Flute,36:40.9,170.3021304,36:40.2,1,-21.034,-158.036,-147.0783636,34.76096101,36:40.4,327.9148017,36:40.4,H1a2,36:40.5,824
-179.07,Professional,655.709,Flute,36:41.5,170.3021304,36:40.9,1,35.89,-179.07,-147.0783636,34.76096101,36:41.0,327.9148017,36:41.0,H1a2,36:41.2,824
-143.18,Professional,671.683,Flute,36:42.2,170.3021304,36:41.5,1,,-143.18,-147.0783636,34.76096101,36:41.7,327.9148017,36:41.7,H1a2,36:41.9,824
511.548,Professional,671.771,Flute,36:42.9,170.3021304,36:42.2,1,,,-147.0783636,34.76096101,,327.9148017,36:43.0,H1a2,36:42.5,824
495.35,Professional,655.782,Flute,36:43.5,170.3021304,36:42.9,1,-0.209,-160.223,-147.0783636,34.76096101,36:43.0,327.9148017,36:43.7,H1a2,36:43.2,824
535.483,Professional,671.609,Flute,36:44.2,170.3021304,36:43.5,1,24.306,-160.432,-147.0783636,34.76096101,36:43.7,327.9148017,36:44.4,H1a2,36:43.9,824
518.846,Professional,655.679,Flute,36:44.9,170.3021304,36:44.2,1,-0.707,-136.126,-147.0783636,34.76096101,36:44.4,327.9148017,36:45.1,H1a2,36:44.5,824
489.537,Professional,671.856,Flute,36:45.5,170.3021304,36:44.9,1,-45.486,-136.833,-147.0783636,34.76096101,36:45.1,327.9148017,36:45.7,H1a2,36:45.2,824
493.219,Professional,671.814,Flute,36:46.2,170.3021304,36:45.5,1,3.724,-182.319,-147.0783636,34.76096101,36:45.7,327.9148017,36:46.4,H1a2,36:45.9,824
484.827,Professional,655.675,Flute,36:46.9,170.3021304,36:46.2,1,7.747,-178.595,-147.0783636,34.76096101,36:46.4,327.9148017,36:47.0,H1a2,36:46.5,824
524.993,Professional,671.799,Flute,36:47.5,170.3021304,36:46.9,1,24.042,-170.848,-147.0783636,34.76096101,36:47.0,327.9148017,36:47.7,H1a2,36:47.2,824
483.827,Professional,655.567,Flute,36:48.2,170.3021304,36:47.5,1,-24.934,-146.806,-147.0783636,34.76096101,36:47.7,327.9148017,36:48.3,H1a2,36:47.9,824
503.666,Professional,671.773,Flute,36:48.9,170.3021304,36:48.2,1,3.633,-171.74,-147.0783636,34.76096101,36:48.3,327.9148017,36:49.0,H1a2,36:48.5,824
499.348,Professional,671.669,Flute,36:49.5,170.3021304,36:48.9,1,,-168.107,-147.0783636,34.76096101,36:49.0,327.9148017,36:49.7,H1a2,36:49.2,824
106.274,Professional,431.889,Flute,31:21.9,-43.5865,31:21.5,0,-88.097,106.274,-43.5865,41.22429539,31:21.8,41.22429539,31:21.8,H1a3,31:21.7,824
18.177,Professional,447.76,Flute,31:22.3,-43.5865,31:21.9,0,2.527,18.177,-43.5865,41.22429539,31:22.1,41.22429539,31:22.1,H1a3,31:22.1,824
20.704,Professional,447.861,Flute,31:22.8,-43.5865,31:22.3,0,-46.554,20.704,-43.5865,41.22429539,31:22.6,41.22429539,31:22.6,H1a3,31:22.6,824
-25.85,Professional,447.92,Flute,31:23.2,-43.5865,31:22.8,0,-18.05,-25.85,-43.5865,41.22429539,31:23.0,41.22429539,31:23.0,H1a3,31:23.0,824
