Asynchrony,Group,IOI,Instrument,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,User ID
-265.084,Professional,1343.163,Flute,16:07.6,-313.9283333,16:06.3,0,-152.195,-265.084,-313.9283333,82.24227553,16:06.7,82.24227553,16:06.7,H1a1,16:06.9,410
-417.279,Professional,1327.776,Flute,16:08.9,-313.9283333,16:07.6,0,121.801,-417.279,-313.9283333,82.24227553,16:07.8,82.24227553,16:07.8,H1a1,16:08.3,410
-295.478,Professional,1327.458,Flute,16:10.3,-313.9283333,16:08.9,0,113.324,-295.478,-313.9283333,82.24227553,16:09.3,82.24227553,16:09.3,H1a1,16:09.6,410
-182.154,Professional,1327.165,Flute,16:11.6,-313.9283333,16:10.3,0,-217.593,-182.154,-313.9283333,82.24227553,16:10.7,82.24227553,16:10.7,H1a1,16:10.9,410
-399.747,Professional,1343.618,Flute,16:12.9,-313.9283333,16:11.6,0,15.84,-399.747,-313.9283333,82.24227553,16:11.8,82.24227553,16:11.8,H1a1,16:12.2,410
-383.907,Professional,1327.361,Flute,16:14.3,-313.9283333,16:12.9,0,56.269,-383.907,-313.9283333,82.24227553,16:13.2,82.24227553,16:13.2,H1a1,16:13.6,410
-327.638,Professional,1327.471,Flute,16:15.6,-313.9283333,16:14.3,0,39.842,-327.638,-313.9283333,82.24227553,16:14.6,82.24227553,16:14.6,H1a1,16:14.9,410
-287.796,Professional,1343.586,Flute,16:16.9,-313.9283333,16:15.6,0,-143.742,-287.796,-313.9283333,82.24227553,16:16.0,82.24227553,16:16.0,H1a1,16:16.2,410
-431.538,Professional,1327.486,Flute,16:18.3,-313.9283333,16:16.9,0,129.977,-431.538,-313.9283333,82.24227553,16:17.2,82.24227553,16:17.2,H1a1,16:17.6,410
-301.561,Professional,1327.649,Flute,16:19.6,-313.9283333,16:18.3,0,113.189,-301.561,-313.9283333,82.24227553,16:18.6,82.24227553,16:18.6,H1a1,16:18.9,410
-188.372,Professional,1343.246,Flute,16:20.9,-313.9283333,16:19.6,0,-98.214,-188.372,-313.9283333,82.24227553,16:20.1,82.24227553,16:20.1,H1a1,16:20.2,410
-286.586,Professional,1327.683,Flute,16:22.3,-313.9283333,16:20.9,0,,-286.586,-313.9283333,82.24227553,16:21.3,82.24227553,16:21.3,H1a1,16:21.6,410
34.406,Professional,671.838,Flute,17:30.9,-180.9835652,17:30.3,0,-196.766,34.406,-180.9835652,59.48856803,17:30.6,59.48856803,17:30.6,H1a2,17:30.6,410
-162.36,Professional,655.62,Flute,17:31.6,-180.9835652,17:30.9,0,-107.339,-162.36,-180.9835652,59.48856803,17:31.1,59.48856803,17:31.1,H1a2,17:31.3,410
-269.699,Professional,671.888,Flute,17:32.2,-180.9835652,17:31.6,0,32.541,-269.699,-180.9835652,59.48856803,17:31.6,59.48856803,17:31.6,H1a2,17:31.9,410
-237.158,Professional,671.515,Flute,17:32.9,-180.9835652,17:32.2,0,28.308,-237.158,-180.9835652,59.48856803,17:32.3,59.48856803,17:32.3,H1a2,17:32.6,410
-208.85,Professional,655.839,Flute,17:33.6,-180.9835652,17:32.9,0,-16.887,-208.85,-180.9835652,59.48856803,17:33.0,59.48856803,17:33.0,H1a2,17:33.3,410
-225.737,Professional,671.657,Flute,17:34.2,-180.9835652,17:33.6,0,106.234,-225.737,-180.9835652,59.48856803,17:33.7,59.48856803,17:33.7,H1a2,17:33.9,410
-119.503,Professional,671.515,Flute,17:34.9,-180.9835652,17:34.2,0,-20.867,-119.503,-180.9835652,59.48856803,17:34.5,59.48856803,17:34.5,H1a2,17:34.6,410
-140.37,Professional,655.979,Flute,17:35.6,-180.9835652,17:34.9,0,-29.361,-140.37,-180.9835652,59.48856803,17:35.1,59.48856803,17:35.1,H1a2,17:35.3,410
-169.731,Professional,671.798,Flute,17:36.2,-180.9835652,17:35.6,0,-4.58,-169.731,-180.9835652,59.48856803,17:35.7,59.48856803,17:35.7,H1a2,17:35.9,410
-174.311,Professional,655.701,Flute,17:36.9,-180.9835652,17:36.2,0,11.75,-174.311,-180.9835652,59.48856803,17:36.4,59.48856803,17:36.4,H1a2,17:36.6,410
-162.561,Professional,671.523,Flute,17:37.6,-180.9835652,17:36.9,0,-12.376,-162.561,-180.9835652,59.48856803,17:37.1,59.48856803,17:37.1,H1a2,17:37.2,410
-174.937,Professional,671.769,Flute,17:38.2,-180.9835652,17:37.6,0,-12.546,-174.937,-180.9835652,59.48856803,17:37.7,59.48856803,17:37.7,H1a2,17:37.9,410
-187.483,Professional,655.839,Flute,17:38.9,-180.9835652,17:38.2,0,7.241,-187.483,-180.9835652,59.48856803,17:38.4,59.48856803,17:38.4,H1a2,17:38.6,410
-180.242,Professional,671.775,Flute,17:39.6,-180.9835652,17:38.9,0,-49.526,-180.242,-180.9835652,59.48856803,17:39.1,59.48856803,17:39.1,H1a2,17:39.2,410
-229.768,Professional,671.456,Flute,17:40.2,-180.9835652,17:39.6,0,-4.15,-229.768,-180.9835652,59.48856803,17:39.7,59.48856803,17:39.7,H1a2,17:39.9,410
-233.918,Professional,656.043,Flute,17:40.9,-180.9835652,17:40.2,0,52.625,-233.918,-180.9835652,59.48856803,17:40.3,59.48856803,17:40.3,H1a2,17:40.6,410
-181.293,Professional,671.712,Flute,17:41.6,-180.9835652,17:40.9,0,48.74,-181.293,-180.9835652,59.48856803,17:41.1,59.48856803,17:41.1,H1a2,17:41.2,410
-132.553,Professional,655.781,Flute,17:42.2,-180.9835652,17:41.6,0,-58.194,-132.553,-180.9835652,59.48856803,17:41.8,59.48856803,17:41.8,H1a2,17:41.9,410
-190.747,Professional,671.714,Flute,17:42.9,-180.9835652,17:42.2,0,3.702,-190.747,-180.9835652,59.48856803,17:42.4,59.48856803,17:42.4,H1a2,17:42.6,410
-187.045,Professional,671.973,Flute,17:43.6,-180.9835652,17:42.9,0,-45.048,-187.045,-180.9835652,59.48856803,17:43.0,59.48856803,17:43.0,H1a2,17:43.2,410
-232.093,Professional,655.644,Flute,17:44.2,-180.9835652,17:43.6,0,19.31,-232.093,-180.9835652,59.48856803,17:43.7,59.48856803,17:43.7,H1a2,17:43.9,410
-212.783,Professional,671.454,Flute,17:44.9,-180.9835652,17:44.2,0,28.897,-212.783,-180.9835652,59.48856803,17:44.3,59.48856803,17:44.3,H1a2,17:44.6,410
-183.886,Professional,655.971,Flute,17:45.6,-180.9835652,17:44.9,0,,-183.886,-180.9835652,59.48856803,17:45.1,59.48856803,17:45.1,H1a2,17:45.2,410
326.045,Professional,447.786,Flute,12:15.8,314.9495294,12:15.3,0,47.601,-169.342,-130.3260294,20.79490189,12:15.4,17.9663464,12:15.9,H1a3,12:15.5,410
283.449,Professional,447.726,Flute,12:16.2,314.9495294,12:15.8,0,-42.536,-121.741,-130.3260294,20.79490189,12:15.9,17.9663464,12:16.3,H1a3,12:16.0,410
331.19,Professional,431.658,Flute,12:16.7,314.9495294,12:16.2,0,63.809,-164.277,-130.3260294,20.79490189,12:16.3,17.9663464,12:16.8,H1a3,12:16.4,410
312.886,Professional,448.217,Flute,12:17.1,314.9495294,12:16.7,0,-34.863,-100.468,-130.3260294,20.79490189,12:16.8,17.9663464,12:17.2,H1a3,12:16.9,410
278.454,Professional,447.574,Flute,12:17.5,314.9495294,12:17.1,0,-33.789,-135.331,-130.3260294,20.79490189,12:17.2,17.9663464,12:17.6,H1a3,12:17.3,410
334.132,Professional,447.696,Flute,12:18.0,314.9495294,12:17.5,0,55.556,-169.12,-130.3260294,20.79490189,12:17.6,17.9663464,12:18.1,H1a3,12:17.8,410
328.791,Professional,432.137,Flute,12:18.4,314.9495294,12:18.0,0,10.218,-113.564,-130.3260294,20.79490189,12:18.1,17.9663464,12:18.5,H1a3,12:18.2,410
346.858,Professional,447.803,Flute,12:18.9,314.9495294,12:18.4,0,2.401,-103.346,-130.3260294,20.79490189,12:18.5,17.9663464,12:19.0,H1a3,12:18.6,410
320.583,Professional,447.836,Flute,12:19.3,314.9495294,12:18.9,0,-26.308,-100.945,-130.3260294,20.79490189,12:19.0,17.9663464,12:19.4,H1a3,12:19.1,410
310.914,Professional,447.546,Flute,12:19.8,314.9495294,12:19.3,0,-9.379,-127.253,-130.3260294,20.79490189,12:19.4,17.9663464,12:19.9,H1a3,12:19.5,410
321.786,Professional,431.973,Flute,12:20.2,314.9495294,12:19.8,0,26.445,-136.632,-130.3260294,20.79490189,12:19.9,17.9663464,12:20.3,H1a3,12:20.0,410
336.155,Professional,447.833,Flute,12:20.6,314.9495294,12:20.2,0,-1.491,-110.187,-130.3260294,20.79490189,12:20.3,17.9663464,12:20.8,H1a3,12:20.4,410
314.178,Professional,447.587,Flute,12:21.1,314.9495294,12:20.6,0,-21.731,-111.678,-130.3260294,20.79490189,12:20.8,17.9663464,12:21.2,H1a3,12:20.9,410
308.764,Professional,448.138,Flute,12:21.5,314.9495294,12:21.1,0,-5.965,-133.409,-130.3260294,20.79490189,12:21.2,17.9663464,12:21.6,H1a3,12:21.3,410
298.522,Professional,431.558,Flute,12:22.0,314.9495294,12:21.5,0,6.338,-139.374,-130.3260294,20.79490189,12:21.6,17.9663464,12:22.1,H1a3,12:21.8,410
305.24,Professional,447.958,Flute,12:22.4,314.9495294,12:22.0,0,-9.682,-133.036,-130.3260294,20.79490189,12:22.1,17.9663464,12:22.5,H1a3,12:22.2,410
319.863,Professional,447.892,Flute,12:22.9,314.9495294,12:22.4,0,14.689,-142.718,-130.3260294,20.79490189,12:22.5,17.9663464,12:23.0,H1a3,12:22.6,410
334.624,Professional,447.669,Flute,12:23.3,314.9495294,12:22.9,0,14.984,-128.029,-130.3260294,20.79490189,12:23.0,17.9663464,12:23.4,H1a3,12:23.1,410
337.258,Professional,431.826,Flute,12:23.8,314.9495294,12:23.3,0,18.477,-113.045,-130.3260294,20.79490189,12:23.4,17.9663464,12:23.9,H1a3,12:23.5,410
331.288,Professional,447.913,Flute,12:24.2,314.9495294,12:23.8,0,-22.057,-94.568,-130.3260294,20.79490189,12:23.9,17.9663464,12:24.3,H1a3,12:24.0,410
341.902,Professional,447.723,Flute,12:24.6,314.9495294,12:24.2,0,10.804,-116.625,-130.3260294,20.79490189,12:24.3,17.9663464,12:24.8,H1a3,12:24.4,410
327.876,Professional,447.951,Flute,12:25.1,314.9495294,12:24.6,0,-14.254,-105.821,-130.3260294,20.79490189,12:24.8,17.9663464,12:25.2,H1a3,12:24.9,410
306.016,Professional,431.893,Flute,12:25.5,314.9495294,12:25.1,0,-5.802,-120.075,-130.3260294,20.79490189,12:25.2,17.9663464,12:25.6,H1a3,12:25.3,410
295.779,Professional,447.741,Flute,12:26.0,314.9495294,12:25.5,0,-26.085,-125.877,-130.3260294,20.79490189,12:25.6,17.9663464,12:26.0,H1a3,12:25.7,410
314.713,Professional,447.852,Flute,12:26.4,314.9495294,12:26.0,0,18.823,-151.962,-130.3260294,20.79490189,12:26.0,17.9663464,12:26.5,H1a3,12:26.2,410
313.22,Professional,447.721,Flute,12:26.9,314.9495294,12:26.4,0,-1.362,-133.139,-130.3260294,20.79490189,12:26.5,17.9663464,12:27.0,H1a3,12:26.6,410
291.276,Professional,431.893,Flute,12:27.3,314.9495294,12:26.9,0,-6.116,-134.501,-130.3260294,20.79490189,12:27.0,17.9663464,12:27.4,H1a3,12:27.1,410
280.967,Professional,447.818,Flute,12:27.7,314.9495294,12:27.3,0,-26.234,-140.617,-130.3260294,20.79490189,12:27.4,17.9663464,12:27.8,H1a3,12:27.5,410
295.444,Professional,447.746,Flute,12:28.2,314.9495294,12:27.7,0,14.549,-166.851,-130.3260294,20.79490189,12:27.8,17.9663464,12:28.3,H1a3,12:28.0,410
290.039,Professional,447.774,Flute,12:28.6,314.9495294,12:28.2,0,-5.433,-152.302,-130.3260294,20.79490189,12:28.3,17.9663464,12:28.7,H1a3,12:28.4,410
