,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
0,1,-181.188,2018-07-21 21:58:00.808017,H1a1,2018-07-21 21:58:00.989205,131.0,1343.414,2018-07-21 21:58:01.660912,2018-07-21 21:58:00.325536,2018-07-21 21:58:00.808017,-181.188,-335.44825,70.03219093339729,-1386.3021666666668,564.56478668888,0,-151.817
1,2,-333.005,2018-07-21 21:58:01.999614,H1a1,2018-07-21 21:58:02.332619,131.0,1327.422,2018-07-21 21:58:02.996330,2018-07-21 21:58:01.660912,2018-07-21 21:58:01.999614,-333.005,-335.44825,70.03219093339729,-1386.3021666666668,564.56478668888,0,-58.25200000000001
2,3,-1005.554,2018-07-21 21:58:02.654487,H1a1,2018-07-21 21:58:03.660041,131.0,1327.241,2018-07-21 21:58:04.323661,2018-07-21 21:58:02.996330,2018-07-21 21:58:03.268784,-391.25699999999995,-335.44825,70.03219093339729,-1386.3021666666668,564.56478668888,0,101.55700000000002
3,4,-1718.4979999999998,2018-07-21 21:58:03.268784,H1a1,2018-07-21 21:58:04.987282,131.0,1327.326,2018-07-21 21:58:05.650945,2018-07-21 21:58:04.323661,2018-07-21 21:58:04.697582,-289.7,-335.44825,70.03219093339729,-1386.3021666666668,564.56478668888,0,48.22099999999998
4,5,-1617.026,2018-07-21 21:58:04.697582,H1a1,2018-07-21 21:58:06.314608,131.0,1343.287,2018-07-21 21:58:06.986252,2018-07-21 21:58:05.650945,2018-07-21 21:58:06.073129,-241.479,-335.44825,70.03219093339729,-1386.3021666666668,564.56478668888,0,-65.99699999999999
5,6,-1584.766,2018-07-21 21:58:06.073129,H1a1,2018-07-21 21:58:07.657895,131.0,1327.2620000000002,2018-07-21 21:58:08.321526,2018-07-21 21:58:06.986252,2018-07-21 21:58:07.350419,-307.476,-335.44825,70.03219093339729,-1386.3021666666668,564.56478668888,0,-33.404
6,7,-1634.7379999999998,2018-07-21 21:58:07.350419,H1a1,2018-07-21 21:58:08.985157,131.0,1327.549,2018-07-21 21:58:09.648931,2018-07-21 21:58:08.321526,2018-07-21 21:58:08.644277,-340.88,-335.44825,70.03219093339729,-1386.3021666666668,564.56478668888,0,-66.49799999999999
7,8,-1668.4289999999999,2018-07-21 21:58:08.644277,H1a1,2018-07-21 21:58:10.312706,131.0,1343.25,2018-07-21 21:58:10.984331,2018-07-21 21:58:09.648931,2018-07-21 21:58:09.905328,-407.37800000000004,-335.44825,70.03219093339729,-1386.3021666666668,564.56478668888,0,12.007000000000005
8,9,-1750.628,2018-07-21 21:58:09.905328,H1a1,2018-07-21 21:58:11.655956,131.0,1327.276,2018-07-21 21:58:12.319594,2018-07-21 21:58:10.984331,2018-07-21 21:58:11.260585,-395.371,-335.44825,70.03219093339729,-1386.3021666666668,564.56478668888,0,3.3229999999999786
9,10,-1722.6470000000002,2018-07-21 21:58:11.260585,H1a1,2018-07-21 21:58:12.983232,131.0,1327.5729999999999,2018-07-21 21:58:13.647019,2018-07-21 21:58:12.319594,2018-07-21 21:58:12.591184,-392.048,-335.44825,70.03219093339729,-1386.3021666666668,564.56478668888,0,35.673
10,11,-1719.621,2018-07-21 21:58:12.591184,H1a1,2018-07-21 21:58:14.310805,131.0,1343.151,2018-07-21 21:58:14.982381,2018-07-21 21:58:13.647019,2018-07-21 21:58:13.954430,-356.375,-335.44825,70.03219093339729,-1386.3021666666668,564.56478668888,0,-32.84699999999998
11,12,-1699.526,2018-07-21 21:58:13.954430,H1a1,2018-07-21 21:58:15.653956,131.0,1327.54,2018-07-21 21:58:16.317726,2018-07-21 21:58:14.982381,2018-07-21 21:58:15.264734,-389.222,-335.44825,70.03219093339729,-1386.3021666666668,564.56478668888,0,
12,1,11.06,2018-07-21 21:59:24.398873,H1a2,2018-07-21 21:59:24.387813,131.0,671.699,2018-07-21 21:59:24.723662,2018-07-21 21:59:24.060041,2018-07-21 21:59:24.398873,11.06,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,-164.185
13,2,-153.125,2018-07-21 21:59:24.906387,H1a2,2018-07-21 21:59:25.059512,131.0,655.685,2018-07-21 21:59:25.387354,2018-07-21 21:59:24.723662,2018-07-21 21:59:24.906387,-153.125,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,15.849999999999996
14,3,-137.275,2018-07-21 21:59:25.577922,H1a2,2018-07-21 21:59:25.715197,131.0,671.5980000000001,2018-07-21 21:59:26.050996,2018-07-21 21:59:25.387354,2018-07-21 21:59:25.577922,-137.275,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,-24.55699999999999
15,4,-161.832,2018-07-21 21:59:26.224963,H1a2,2018-07-21 21:59:26.386795,131.0,671.795,2018-07-21 21:59:26.722692,2018-07-21 21:59:26.050996,2018-07-21 21:59:26.224963,-161.832,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,11.763000000000005
16,5,-150.069,2018-07-21 21:59:26.908521,H1a2,2018-07-21 21:59:27.058590,131.0,655.825,2018-07-21 21:59:27.386503,2018-07-21 21:59:26.722692,2018-07-21 21:59:26.908521,-150.069,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,-4.869
17,6,-154.938,2018-07-21 21:59:27.559477,H1a2,2018-07-21 21:59:27.714415,131.0,671.58,2018-07-21 21:59:28.050205,2018-07-21 21:59:27.386503,2018-07-21 21:59:27.559477,-154.938,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,-41.08800000000002
18,7,-196.02599999999998,2018-07-21 21:59:28.189969,H1a2,2018-07-21 21:59:28.385995,131.0,671.637,2018-07-21 21:59:28.721813,2018-07-21 21:59:28.050205,2018-07-21 21:59:28.189969,-196.02599999999998,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,12.132000000000005
19,8,-183.894,2018-07-21 21:59:28.873738,H1a2,2018-07-21 21:59:29.057632,131.0,655.7660000000001,2018-07-21 21:59:29.385515,2018-07-21 21:59:28.721813,2018-07-21 21:59:28.873738,-183.894,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,3.385999999999996
20,9,-180.50799999999998,2018-07-21 21:59:29.532890,H1a2,2018-07-21 21:59:29.713398,131.0,671.512,2018-07-21 21:59:30.049154,2018-07-21 21:59:29.385515,2018-07-21 21:59:29.532890,-180.50799999999998,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,-28.692999999999987
21,10,-209.201,2018-07-21 21:59:30.175709,H1a2,2018-07-21 21:59:30.384910,131.0,655.7919999999999,2018-07-21 21:59:30.712806,2018-07-21 21:59:30.049154,2018-07-21 21:59:30.175709,-209.201,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,68.995
22,11,-140.20600000000002,2018-07-21 21:59:30.900496,H1a2,2018-07-21 21:59:31.040702,131.0,671.553,2018-07-21 21:59:31.376478,2018-07-21 21:59:30.712806,2018-07-21 21:59:30.900496,-140.20600000000002,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,-49.39000000000002
23,12,-189.59599999999998,2018-07-21 21:59:31.522659,H1a2,2018-07-21 21:59:31.712255,131.0,671.535,2018-07-21 21:59:32.048022,2018-07-21 21:59:31.376478,2018-07-21 21:59:31.522659,-189.59599999999998,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,-20.709000000000003
24,13,-210.305,2018-07-21 21:59:32.173485,H1a2,2018-07-21 21:59:32.383790,131.0,655.817,2018-07-21 21:59:32.711699,2018-07-21 21:59:32.048022,2018-07-21 21:59:32.173485,-210.305,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,15.89100000000002
25,14,-194.41400000000002,2018-07-21 21:59:32.845193,H1a2,2018-07-21 21:59:33.039607,131.0,671.867,2018-07-21 21:59:33.375540,2018-07-21 21:59:32.711699,2018-07-21 21:59:32.845193,-194.41400000000002,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,-74.25400000000002
26,15,-268.668,2018-07-21 21:59:33.442806,H1a2,2018-07-21 21:59:33.711474,131.0,655.717,2018-07-21 21:59:34.039332,2018-07-21 21:59:33.375540,2018-07-21 21:59:33.442806,-268.668,-173.23169565217393,51.293178846912426,-173.23169565217393,51.293178846912426,0,44.489
