,Asynchrony,IOI,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,Unnamed: 0,Unnamed: 0.1,User ID
0,-181.188,1343.414,2018-07-21 21:58:01.660912,-1386.3021666666668,2018-07-21 21:58:00.325536,0,-151.817,-181.188,-335.44825,70.03219093339729,2018-07-21 21:58:00.808017,564.56478668888,2018-07-21 21:58:00.808017,H1a1,2018-07-21 21:58:00.989205,0,1,131.0
1,-333.005,1327.422,2018-07-21 21:58:02.996330,-1386.3021666666668,2018-07-21 21:58:01.660912,0,-58.25200000000001,-333.005,-335.44825,70.03219093339729,2018-07-21 21:58:01.999614,564.56478668888,2018-07-21 21:58:01.999614,H1a1,2018-07-21 21:58:02.332619,1,2,131.0
2,-1005.554,1327.241,2018-07-21 21:58:04.323661,-1386.3021666666668,2018-07-21 21:58:02.996330,0,101.55700000000002,-391.257,-335.44825,70.03219093339729,2018-07-21 21:58:03.268784,564.56478668888,2018-07-21 21:58:02.654487,H1a1,2018-07-21 21:58:03.660041,2,3,131.0
3,-1718.4979999999996,1327.326,2018-07-21 21:58:05.650945,-1386.3021666666668,2018-07-21 21:58:04.323661,0,48.22099999999998,-289.7,-335.44825,70.03219093339729,2018-07-21 21:58:04.697582,564.56478668888,2018-07-21 21:58:03.268784,H1a1,2018-07-21 21:58:04.987282,3,4,131.0
4,-1617.026,1343.287,2018-07-21 21:58:06.986252,-1386.3021666666668,2018-07-21 21:58:05.650945,0,-65.99699999999999,-241.479,-335.44825,70.03219093339729,2018-07-21 21:58:06.073129,564.56478668888,2018-07-21 21:58:04.697582,H1a1,2018-07-21 21:58:06.314608,4,5,131.0
5,-1584.766,1327.2620000000004,2018-07-21 21:58:08.321526,-1386.3021666666668,2018-07-21 21:58:06.986252,0,-33.404,-307.476,-335.44825,70.03219093339729,2018-07-21 21:58:07.350419,564.56478668888,2018-07-21 21:58:06.073129,H1a1,2018-07-21 21:58:07.657895,5,6,131.0
6,-1634.7379999999996,1327.549,2018-07-21 21:58:09.648931,-1386.3021666666668,2018-07-21 21:58:08.321526,0,-66.49799999999999,-340.88,-335.44825,70.03219093339729,2018-07-21 21:58:08.644277,564.56478668888,2018-07-21 21:58:07.350419,H1a1,2018-07-21 21:58:08.985157,6,7,131.0
7,-1668.429,1343.25,2018-07-21 21:58:10.984331,-1386.3021666666668,2018-07-21 21:58:09.648931,0,12.007000000000005,-407.378,-335.44825,70.03219093339729,2018-07-21 21:58:09.905328,564.56478668888,2018-07-21 21:58:08.644277,H1a1,2018-07-21 21:58:10.312706,7,8,131.0
8,-1750.628,1327.276,2018-07-21 21:58:12.319594,-1386.3021666666668,2018-07-21 21:58:10.984331,0,3.322999999999978,-395.371,-335.44825,70.03219093339729,2018-07-21 21:58:11.260585,564.56478668888,2018-07-21 21:58:09.905328,H1a1,2018-07-21 21:58:11.655956,8,9,131.0
9,-1722.6470000000004,1327.573,2018-07-21 21:58:13.647019,-1386.3021666666668,2018-07-21 21:58:12.319594,0,35.673,-392.048,-335.44825,70.03219093339729,2018-07-21 21:58:12.591184,564.56478668888,2018-07-21 21:58:11.260585,H1a1,2018-07-21 21:58:12.983232,9,10,131.0
10,-1719.621,1343.151,2018-07-21 21:58:14.982381,-1386.3021666666668,2018-07-21 21:58:13.647019,0,-32.84699999999998,-356.375,-335.44825,70.03219093339729,2018-07-21 21:58:13.954430,564.56478668888,2018-07-21 21:58:12.591184,H1a1,2018-07-21 21:58:14.310805,10,11,131.0
11,-1699.526,1327.54,2018-07-21 21:58:16.317726,-1386.3021666666668,2018-07-21 21:58:14.982381,0,,-389.222,-335.44825,70.03219093339729,2018-07-21 21:58:15.264734,564.56478668888,2018-07-21 21:58:13.954430,H1a1,2018-07-21 21:58:15.653956,11,12,131.0
12,11.06,671.699,2018-07-21 21:59:24.723662,-173.23169565217393,2018-07-21 21:59:24.060041,0,-164.185,11.06,-173.23169565217393,51.293178846912426,2018-07-21 21:59:24.398873,51.293178846912426,2018-07-21 21:59:24.398873,H1a2,2018-07-21 21:59:24.387813,12,1,131.0
13,-153.125,655.685,2018-07-21 21:59:25.387354,-173.23169565217393,2018-07-21 21:59:24.723662,0,15.849999999999996,-153.125,-173.23169565217393,51.293178846912426,2018-07-21 21:59:24.906387,51.293178846912426,2018-07-21 21:59:24.906387,H1a2,2018-07-21 21:59:25.059512,13,2,131.0
14,-137.275,671.5980000000002,2018-07-21 21:59:26.050996,-173.23169565217393,2018-07-21 21:59:25.387354,0,-24.55699999999999,-137.275,-173.23169565217393,51.293178846912426,2018-07-21 21:59:25.577922,51.293178846912426,2018-07-21 21:59:25.577922,H1a2,2018-07-21 21:59:25.715197,14,3,131.0
15,-161.832,671.795,2018-07-21 21:59:26.722692,-173.23169565217393,2018-07-21 21:59:26.050996,0,11.763000000000005,-161.832,-173.23169565217393,51.293178846912426,2018-07-21 21:59:26.224963,51.293178846912426,2018-07-21 21:59:26.224963,H1a2,2018-07-21 21:59:26.386795,15,4,131.0
16,-150.069,655.825,2018-07-21 21:59:27.386503,-173.23169565217393,2018-07-21 21:59:26.722692,0,-4.869,-150.069,-173.23169565217393,51.293178846912426,2018-07-21 21:59:26.908521,51.293178846912426,2018-07-21 21:59:26.908521,H1a2,2018-07-21 21:59:27.058590,16,5,131.0
17,-154.938,671.58,2018-07-21 21:59:28.050205,-173.23169565217393,2018-07-21 21:59:27.386503,0,-41.08800000000002,-154.938,-173.23169565217393,51.293178846912426,2018-07-21 21:59:27.559477,51.293178846912426,2018-07-21 21:59:27.559477,H1a2,2018-07-21 21:59:27.714415,17,6,131.0
18,-196.026,671.637,2018-07-21 21:59:28.721813,-173.23169565217393,2018-07-21 21:59:28.050205,0,12.132000000000005,-196.026,-173.23169565217393,51.293178846912426,2018-07-21 21:59:28.189969,51.293178846912426,2018-07-21 21:59:28.189969,H1a2,2018-07-21 21:59:28.385995,18,7,131.0
19,-183.894,655.7660000000002,2018-07-21 21:59:29.385515,-173.23169565217393,2018-07-21 21:59:28.721813,0,3.3859999999999957,-183.894,-173.23169565217393,51.293178846912426,2018-07-21 21:59:28.873738,51.293178846912426,2018-07-21 21:59:28.873738,H1a2,2018-07-21 21:59:29.057632,19,8,131.0
20,-180.508,671.512,2018-07-21 21:59:30.049154,-173.23169565217393,2018-07-21 21:59:29.385515,0,-28.69299999999999,-180.508,-173.23169565217393,51.293178846912426,2018-07-21 21:59:29.532890,51.293178846912426,2018-07-21 21:59:29.532890,H1a2,2018-07-21 21:59:29.713398,20,9,131.0
21,-209.201,655.7919999999998,2018-07-21 21:59:30.712806,-173.23169565217393,2018-07-21 21:59:30.049154,0,68.995,-209.201,-173.23169565217393,51.293178846912426,2018-07-21 21:59:30.175709,51.293178846912426,2018-07-21 21:59:30.175709,H1a2,2018-07-21 21:59:30.384910,21,10,131.0
22,-140.20600000000002,671.553,2018-07-21 21:59:31.376478,-173.23169565217393,2018-07-21 21:59:30.712806,0,-49.39000000000002,-140.20600000000002,-173.23169565217393,51.293178846912426,2018-07-21 21:59:30.900496,51.293178846912426,2018-07-21 21:59:30.900496,H1a2,2018-07-21 21:59:31.040702,22,11,131.0
