,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
1,-248.453,2018-07-21 22:04:36.726954,H1a1,2018-07-21 22:04:36.975407,132,1327.433,2018-07-21 22:04:37.639123,2018-07-21 22:04:36.303830,2018-07-21 22:04:36.726954,-248.453,-307.10933333333327,45.56011324579536,-307.10933333333327,45.56011324579536,0,-119.46000000000001
2,-367.913,2018-07-21 22:04:37.934927,H1a1,2018-07-21 22:04:38.302840,132,1327.528,2018-07-21 22:04:38.966604,2018-07-21 22:04:37.639123,2018-07-21 22:04:37.934927,-367.913,-307.10933333333327,45.56011324579536,-307.10933333333327,45.56011324579536,0,39.807000000000016
3,-328.106,2018-07-21 22:04:39.302262,H1a1,2018-07-21 22:04:39.630368,132,1343.183,2018-07-21 22:04:40.301959,2018-07-21 22:04:38.966604,2018-07-21 22:04:39.302262,-328.106,-307.10933333333327,45.56011324579536,-307.10933333333327,45.56011324579536,0,40.57499999999999
4,-287.531,2018-07-21 22:04:40.686020,H1a1,2018-07-21 22:04:40.973551,132,1327.453,2018-07-21 22:04:41.637277,2018-07-21 22:04:40.301959,2018-07-21 22:04:40.686020,-287.531,-307.10933333333327,45.56011324579536,-307.10933333333327,45.56011324579536,0,-70.63599999999997
5,-358.167,2018-07-21 22:04:41.942837,H1a1,2018-07-21 22:04:42.301004,132,1327.182,2018-07-21 22:04:42.964595,2018-07-21 22:04:41.637277,2018-07-21 22:04:41.942837,-358.167,-307.10933333333327,45.56011324579536,-307.10933333333327,45.56011324579536,0,19.998999999999967
6,-338.168,2018-07-21 22:04:43.290018,H1a1,2018-07-21 22:04:43.628186,132,1343.442,2018-07-21 22:04:44.299907,2018-07-21 22:04:42.964595,2018-07-21 22:04:43.290018,-338.168,-307.10933333333327,45.56011324579536,-307.10933333333327,45.56011324579536,0,97.785
7,-240.383,2018-07-21 22:04:44.731245,H1a1,2018-07-21 22:04:44.971628,132,1327.234,2018-07-21 22:04:45.635245,2018-07-21 22:04:44.299907,2018-07-21 22:04:44.731245,-240.383,-307.10933333333327,45.56011324579536,-307.10933333333327,45.56011324579536,0,-41.80499999999998
8,-282.188,2018-07-21 22:04:46.016674,H1a1,2018-07-21 22:04:46.298862,132,1327.403,2018-07-21 22:04:46.962564,2018-07-21 22:04:45.635245,2018-07-21 22:04:46.016674,-282.188,-307.10933333333327,45.56011324579536,-307.10933333333327,45.56011324579536,0,11.439999999999998
9,-270.748,2018-07-21 22:04:47.355517,H1a1,2018-07-21 22:04:47.626265,132,1343.342,2018-07-21 22:04:48.297936,2018-07-21 22:04:46.962564,2018-07-21 22:04:47.355517,-270.748,-307.10933333333327,45.56011324579536,-307.10933333333327,45.56011324579536,0,-8.759999999999991
10,-279.508,2018-07-21 22:04:48.690099,H1a1,2018-07-21 22:04:48.969607,132,1327.302,2018-07-21 22:04:49.633258,2018-07-21 22:04:48.297936,2018-07-21 22:04:48.690099,-279.508,-307.10933333333327,45.56011324579536,-307.10933333333327,45.56011324579536,0,-33.435
11,-312.943,2018-07-21 22:04:49.983966,H1a1,2018-07-21 22:04:50.296909,132,1327.542,2018-07-21 22:04:50.960680,2018-07-21 22:04:49.633258,2018-07-21 22:04:49.983966,-312.943,-307.10933333333327,45.56011324579536,-307.10933333333327,45.56011324579536,0,-58.261000000000024
12,-371.204,2018-07-21 22:04:51.253247,H1a1,2018-07-21 22:04:51.624451,132,1327.212,2018-07-21 22:04:52.288057,2018-07-21 22:04:50.960680,2018-07-21 22:04:51.253247,-371.204,-307.10933333333327,45.56011324579536,-307.10933333333327,45.56011324579536,0,
