,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,Latency,Latency Corrected SA
1,81.304,2018-07-16 14:10:17.628589,H2b3,2018-07-16 14:10:17.547285,805,431.76,2018-07-16 14:10:17.763165,2018-07-16 14:10:17.331420,2018-07-16 14:10:17.628589,81.304,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-55.027,95.94666666666666,177.25066666666666
2,26.277,2018-07-16 14:10:18.005322,H2b3,2018-07-16 14:10:17.979045,805,415.755,2018-07-16 14:10:18.186922,2018-07-16 14:10:17.763165,2018-07-16 14:10:18.005322,26.277,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-10.229000000000003,92.39,118.667
3,16.048,2018-07-16 14:10:18.410848,H2b3,2018-07-16 14:10:18.394800,805,415.938,2018-07-16 14:10:18.602769,2018-07-16 14:10:18.186922,2018-07-16 14:10:18.410848,16.048,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-27.135999999999996,92.43066666666667,108.47866666666667
4,-11.088,2018-07-16 14:10:18.799650,H2b3,2018-07-16 14:10:18.810738,805,399.77,2018-07-16 14:10:19.010623,2018-07-16 14:10:18.602769,2018-07-16 14:10:18.799650,-11.088,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,21.981,88.83777777777777,77.74977777777778
5,10.893,2018-07-16 14:10:19.221401,H2b3,2018-07-16 14:10:19.210508,805,399.81,2018-07-16 14:10:19.410413,2018-07-16 14:10:19.010623,2018-07-16 14:10:19.221401,10.893,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,25.641999999999996,88.84666666666666,99.73966666666666
6,36.535,2018-07-16 14:10:19.646853,H2b3,2018-07-16 14:10:19.610318,805,383.958,2018-07-16 14:10:19.802297,2018-07-16 14:10:19.410413,2018-07-16 14:10:19.646853,36.535,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-43.809999999999995,85.32400000000001,121.85900000000001
7,-7.275,2018-07-16 14:10:19.987001,H2b3,2018-07-16 14:10:19.994276,805,383.969,2018-07-16 14:10:20.186260,2018-07-16 14:10:19.802297,2018-07-16 14:10:19.987001,-7.275,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,25.372999999999998,85.32644444444445,78.05144444444444
8,18.098,2018-07-16 14:10:20.396343,H2b3,2018-07-16 14:10:20.378245,805,367.852,2018-07-16 14:10:20.562171,2018-07-16 14:10:20.186260,2018-07-16 14:10:20.396343,18.098,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,45.491,81.74488888888888,99.84288888888888
9,63.589,2018-07-16 14:10:20.809686,H2b3,2018-07-16 14:10:20.746097,805,367.718,2018-07-16 14:10:20.929956,2018-07-16 14:10:20.562171,2018-07-16 14:10:20.809686,63.589,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,13.233999999999995,81.71511111111111,145.30411111111113
10,76.823,2018-07-16 14:10:21.190638,H2b3,2018-07-16 14:10:21.113815,805,367.905,2018-07-16 14:10:21.297767,2018-07-16 14:10:20.929956,2018-07-16 14:10:21.190638,76.823,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-3.4919999999999902,81.75666666666666,158.57966666666664
11,73.331,2018-07-16 14:10:21.555051,H2b3,2018-07-16 14:10:21.481720,805,367.844,2018-07-16 14:10:21.665642,2018-07-16 14:10:21.297767,2018-07-16 14:10:21.555051,73.331,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-19.878,81.7431111111111,155.0741111111111
12,53.453,2018-07-16 14:10:21.903017,H2b3,2018-07-16 14:10:21.849564,805,383.868,2018-07-16 14:10:22.041498,2018-07-16 14:10:21.665642,2018-07-16 14:10:21.903017,53.453,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-23.666000000000004,85.304,138.757
13,29.787,2018-07-16 14:10:22.263219,H2b3,2018-07-16 14:10:22.233432,805,399.738,2018-07-16 14:10:22.433301,2018-07-16 14:10:22.041498,2018-07-16 14:10:22.263219,29.787,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-47.617,88.83066666666667,118.61766666666668
14,-17.83,2018-07-16 14:10:22.615340,H2b3,2018-07-16 14:10:22.633170,805,383.695,2018-07-16 14:10:22.825017,2018-07-16 14:10:22.433301,2018-07-16 14:10:22.615340,-17.83,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,17.516,85.26555555555555,67.43555555555555
15,-0.314,2018-07-16 14:10:23.016551,H2b3,2018-07-16 14:10:23.016865,805,415.96,2018-07-16 14:10:23.224845,2018-07-16 14:10:22.825017,2018-07-16 14:10:23.016551,-0.314,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-55.592999999999996,92.43555555555555,92.12155555555556
16,-55.907,2018-07-16 14:10:23.376918,H2b3,2018-07-16 14:10:23.432825,805,399.924,2018-07-16 14:10:23.632787,2018-07-16 14:10:23.224845,2018-07-16 14:10:23.376918,-55.907,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,1.343999999999994,88.872,32.965
17,-54.563,2018-07-16 14:10:23.778186,H2b3,2018-07-16 14:10:23.832749,805,431.795,2018-07-16 14:10:24.048647,2018-07-16 14:10:23.632787,2018-07-16 14:10:23.778186,-54.563,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-14.307000000000002,95.95444444444445,41.391444444444446
18,-68.87,2018-07-16 14:10:24.195674,H2b3,2018-07-16 14:10:24.264544,805,431.616,2018-07-16 14:10:24.480352,2018-07-16 14:10:24.048647,2018-07-16 14:10:24.195674,-68.87,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-18.340999999999994,95.91466666666666,27.044666666666657
19,-87.211,2018-07-16 14:10:24.608949,H2b3,2018-07-16 14:10:24.696160,805,431.836,2018-07-16 14:10:24.912078,2018-07-16 14:10:24.480352,2018-07-16 14:10:24.608949,-87.211,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-30.599000000000004,95.96355555555556,8.75255555555556
20,-117.81,2018-07-16 14:10:25.010186,H2b3,2018-07-16 14:10:25.127996,805,432.51,2018-07-16 14:10:25.344251,2018-07-16 14:10:24.912078,2018-07-16 14:10:25.010186,-117.81,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,25.980000000000004,96.11333333333333,-21.696666666666673
21,-91.83,2018-07-16 14:10:25.468676,H2b3,2018-07-16 14:10:25.560506,805,431.368,2018-07-16 14:10:25.776190,2018-07-16 14:10:25.344251,2018-07-16 14:10:25.468676,-91.83,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-13.355000000000004,95.85955555555556,4.029555555555561
22,-105.185,2018-07-16 14:10:25.886689,H2b3,2018-07-16 14:10:25.991874,805,431.79,2018-07-16 14:10:26.207769,2018-07-16 14:10:25.776190,2018-07-16 14:10:25.886689,-105.185,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-6.122,95.95333333333333,-9.23166666666667
23,-111.307,2018-07-16 14:10:26.312357,H2b3,2018-07-16 14:10:26.423664,805,399.815,2018-07-16 14:10:26.623571,2018-07-16 14:10:26.207769,2018-07-16 14:10:26.312357,-111.307,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,13.619,88.84777777777778,-22.459222222222223
24,-97.688,2018-07-16 14:10:26.725791,H2b3,2018-07-16 14:10:26.823479,805,399.721,2018-07-16 14:10:27.023340,2018-07-16 14:10:26.623571,2018-07-16 14:10:26.725791,-97.688,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,13.866,88.82688888888889,-8.861111111111114
25,-83.822,2018-07-16 14:10:27.139378,H2b3,2018-07-16 14:10:27.223200,805,399.933,2018-07-16 14:10:27.423166,2018-07-16 14:10:27.023340,2018-07-16 14:10:27.139378,-83.822,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,9.447000000000003,88.874,5.0519999999999925
26,-74.375,2018-07-16 14:10:27.548758,H2b3,2018-07-16 14:10:27.623133,805,383.69,2018-07-16 14:10:27.814978,2018-07-16 14:10:27.423166,2018-07-16 14:10:27.548758,-74.375,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,33.87,85.26444444444445,10.88944444444445
27,-40.505,2018-07-16 14:10:27.966318,H2b3,2018-07-16 14:10:28.006823,805,384.06,2018-07-16 14:10:28.198853,2018-07-16 14:10:27.814978,2018-07-16 14:10:27.966318,-40.505,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,29.451,85.34666666666666,44.84166666666666
28,-11.054,2018-07-16 14:10:28.379829,H2b3,2018-07-16 14:10:28.390883,805,367.924,2018-07-16 14:10:28.574845,2018-07-16 14:10:28.198853,2018-07-16 14:10:28.379829,-11.054,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,0.6430000000000007,81.76088888888889,70.70688888888888
29,-10.411,2018-07-16 14:10:28.748396,H2b3,2018-07-16 14:10:28.758807,805,383.833,2018-07-16 14:10:28.950724,2018-07-16 14:10:28.574845,2018-07-16 14:10:28.748396,-10.411,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-11.188,85.29622222222223,74.88522222222223
30,-21.599,2018-07-16 14:10:29.121041,H2b3,2018-07-16 14:10:29.142640,805,383.743,2018-07-16 14:10:29.334511,2018-07-16 14:10:28.950724,2018-07-16 14:10:29.121041,-21.599,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-35.790000000000006,85.27622222222222,63.67722222222221
31,-57.389,2018-07-16 14:10:29.468994,H2b3,2018-07-16 14:10:29.526383,805,383.759,2018-07-16 14:10:29.718263,2018-07-16 14:10:29.334511,2018-07-16 14:10:29.468994,-57.389,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-23.612999999999992,85.27977777777778,27.890777777777778
32,-81.002,2018-07-16 14:10:29.829140,H2b3,2018-07-16 14:10:29.910142,805,399.698,2018-07-16 14:10:30.109991,2018-07-16 14:10:29.718263,2018-07-16 14:10:29.829140,-81.002,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,5.423000000000002,88.82177777777777,7.819777777777773
33,-75.579,2018-07-16 14:10:30.234261,H2b3,2018-07-16 14:10:30.309840,805,400.096,2018-07-16 14:10:30.509888,2018-07-16 14:10:30.109991,2018-07-16 14:10:30.234261,-75.579,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,5.456999999999994,88.91022222222222,13.331222222222223
34,-70.122,2018-07-16 14:10:30.639814,H2b3,2018-07-16 14:10:30.709936,805,415.9,2018-07-16 14:10:30.917886,2018-07-16 14:10:30.509888,2018-07-16 14:10:30.639814,-70.122,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-2.7049999999999983,92.42222222222222,22.300222222222217
35,-72.827,2018-07-16 14:10:31.053009,H2b3,2018-07-16 14:10:31.125836,805,416.0,2018-07-16 14:10:31.333836,2018-07-16 14:10:30.917886,2018-07-16 14:10:31.053009,-72.827,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,-6.400999999999996,92.44444444444444,19.617444444444445
36,-79.228,2018-07-16 14:10:31.462608,H2b3,2018-07-16 14:10:31.541836,805,431.595,2018-07-16 14:10:31.757634,2018-07-16 14:10:31.333836,2018-07-16 14:10:31.462608,-79.228,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,6.326999999999998,95.91000000000001,16.682000000000016
37,-72.901,2018-07-16 14:10:31.900530,H2b3,2018-07-16 14:10:31.973431,805,431.889,2018-07-16 14:10:32.189376,2018-07-16 14:10:31.757634,2018-07-16 14:10:31.900530,-72.901,-29.501459459459454,58.388701555273606,-29.501459459459454,58.388701555273606,0,,95.97533333333334,23.074333333333342
