,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,19.489,2018-05-04 20:04:53.218804000,A3a1,2018-05-04 20:04:53.199315000,591,0 days 00:00:01.532517000,2018-05-04 20:04:53.965573500,2018-05-04 20:04:52.665256000,2018-05-04 20:04:53.218804000,19.489,-106.64424999999999,364.6599917784249,890.5793076923076,776.1419745479758
2,-417.346,2018-05-04 20:04:54.314486000,A3a1,2018-05-04 20:04:54.731832000,591,0 days 00:00:01.764716000,2018-05-04 20:04:55.614190000,2018-05-04 20:04:53.965573500,2018-05-04 20:04:54.314486000,-417.346,-106.64424999999999,364.6599917784249,890.5793076923076,776.1419745479758
3,-764.643,2018-05-04 20:04:55.731905000,A3a1,2018-05-04 20:04:56.496548000,591,0 days 00:00:01.137778000,2018-05-04 20:04:57.065437000,2018-05-04 20:04:55.614190000,2018-05-04 20:04:55.731905000,-764.643,-106.64424999999999,364.6599917784249,890.5793076923076,776.1419745479758
4,1011.441,2018-05-04 20:04:58.645767000,A3a1,2018-05-04 20:04:57.634326000,591,0 days 00:00:00.998458000,2018-05-04 20:04:58.133555000,2018-05-04 20:04:57.065437000,,,-106.64424999999999,364.6599917784249,890.5793076923076,776.1419745479758
5,1052.509,2018-05-04 20:04:59.685293000,A3a1,2018-05-04 20:04:58.632784000,591,0 days 00:00:01.044898000,2018-05-04 20:04:59.155233000,2018-05-04 20:04:58.133555000,2018-05-04 20:04:58.645767000,12.983,-106.64424999999999,364.6599917784249,890.5793076923076,776.1419745479758
6,1066.629,2018-05-04 20:05:00.744311000,A3a1,2018-05-04 20:04:59.677682000,591,0 days 00:00:01.671837000,2018-05-04 20:05:00.513600500,2018-05-04 20:04:59.155233000,2018-05-04 20:04:59.685293000,7.611,-106.64424999999999,364.6599917784249,890.5793076923076,776.1419745479758
7,1600.728,2018-05-04 20:05:02.950247000,A3a1,2018-05-04 20:05:01.349519000,591,0 days 00:00:01.346757000,2018-05-04 20:05:02.022897500,2018-05-04 20:05:00.513600500,2018-05-04 20:05:00.744311000,-605.208,-106.64424999999999,364.6599917784249,890.5793076923076,776.1419745479758
8,1292.135,2018-05-04 20:05:03.988411000,A3a1,2018-05-04 20:05:02.696276000,591,0 days 00:00:01.068118000,2018-05-04 20:05:03.230335000,2018-05-04 20:05:02.022897500,2018-05-04 20:05:02.950247000,253.971,-106.64424999999999,364.6599917784249,890.5793076923076,776.1419745479758
9,1718.877,2018-05-04 20:05:05.483271000,A3a1,2018-05-04 20:05:03.764394000,591,0 days 00:00:01.555737000,2018-05-04 20:05:04.542262500,2018-05-04 20:05:03.230335000,2018-05-04 20:05:03.988411000,224.017,-106.64424999999999,364.6599917784249,890.5793076923076,776.1419745479758
10,1359.555,2018-05-04 20:05:06.679686000,A3a1,2018-05-04 20:05:05.320131000,591,0 days 00:00:01.880816000,2018-05-04 20:05:06.260539000,2018-05-04 20:05:04.542262500,2018-05-04 20:05:05.483271000,163.14,-106.64424999999999,364.6599917784249,890.5793076923076,776.1419745479758
11,1397.856,2018-05-04 20:05:08.598803000,A3a1,2018-05-04 20:05:07.200947000,591,0 days 00:00:01.230658000,2018-05-04 20:05:07.816276000,2018-05-04 20:05:06.260539000,2018-05-04 20:05:06.679686000,-521.261,-106.64424999999999,364.6599917784249,890.5793076923076,776.1419745479758
12,1201.996,2018-05-04 20:05:09.633601000,A3a1,2018-05-04 20:05:08.431605000,591,0 days 00:00:01.021678000,2018-05-04 20:05:08.942444000,2018-05-04 20:05:07.816276000,2018-05-04 20:05:08.598803000,167.198,-106.64424999999999,364.6599917784249,890.5793076923076,776.1419745479758
13,1038.305,2018-05-04 20:05:10.491588000,A3a1,2018-05-04 20:05:09.453283000,591,0 days 00:00:01.253878000,2018-05-04 20:05:10.080222000,2018-05-04 20:05:08.942444000,2018-05-04 20:05:09.633601000,180.318,-106.64424999999999,364.6599917784249,890.5793076923076,776.1419745479758
