,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,15.765,2018-05-04 20:12:31.438043000,A3b1,2018-05-04 20:12:31.422278000,591,0 days 00:00:01.532517000,2018-05-04 20:12:32.188536500,2018-05-04 20:12:30.888219000,2018-05-04 20:12:31.438043000,15.765,-47.52190909090909,308.6002068374078,958.982,711.2466682011752
2,-423.518,2018-05-04 20:12:32.531277000,A3b1,2018-05-04 20:12:32.954795000,591,0 days 00:00:01.787936000,2018-05-04 20:12:33.848763000,2018-05-04 20:12:32.188536500,2018-05-04 20:12:32.531277000,-423.518,-47.52190909090909,308.6002068374078,958.982,711.2466682011752
3,171.595,2018-05-04 20:12:34.914326000,A3b1,2018-05-04 20:12:34.742731000,591,0 days 00:00:01.114558000,2018-05-04 20:12:35.300010000,2018-05-04 20:12:33.848763000,2018-05-04 20:12:34.914326000,171.595,-47.52190909090909,308.6002068374078,958.982,711.2466682011752
4,824.642,2018-05-04 20:12:36.681931000,A3b1,2018-05-04 20:12:35.857289000,591,0 days 00:00:00.998458000,2018-05-04 20:12:36.356518000,2018-05-04 20:12:35.300010000,,,-47.52190909090909,308.6002068374078,958.982,711.2466682011752
5,1034.849,2018-05-04 20:12:37.890596000,A3b1,2018-05-04 20:12:36.855747000,591,0 days 00:00:01.068118000,2018-05-04 20:12:37.389806000,2018-05-04 20:12:36.356518000,2018-05-04 20:12:36.681931000,-173.816,-47.52190909090909,308.6002068374078,958.982,711.2466682011752
6,1050.258,2018-05-04 20:12:38.974123000,A3b1,2018-05-04 20:12:37.923865000,591,0 days 00:00:01.648617000,2018-05-04 20:12:38.748173500,2018-05-04 20:12:37.389806000,2018-05-04 20:12:37.890596000,-33.269,-47.52190909090909,308.6002068374078,958.982,711.2466682011752
7,1560.035,2018-05-04 20:12:41.132517000,A3b1,2018-05-04 20:12:39.572482000,591,0 days 00:00:01.346757000,2018-05-04 20:12:40.245860500,2018-05-04 20:12:38.748173500,2018-05-04 20:12:38.974123000,-598.359,-47.52190909090909,308.6002068374078,958.982,711.2466682011752
8,1318.548,2018-05-04 20:12:42.237787000,A3b1,2018-05-04 20:12:40.919239000,591,0 days 00:00:01.068118000,2018-05-04 20:12:41.453298000,2018-05-04 20:12:40.245860500,2018-05-04 20:12:41.132517000,213.278,-47.52190909090909,308.6002068374078,958.982,711.2466682011752
9,1154.838,2018-05-04 20:12:43.142195000,A3b1,2018-05-04 20:12:41.987357000,591,0 days 00:00:01.555737000,2018-05-04 20:12:42.765225500,2018-05-04 20:12:41.453298000,2018-05-04 20:12:42.237787000,250.43,-47.52190909090909,308.6002068374078,958.982,711.2466682011752
10,2054.736,2018-05-04 20:12:45.597830000,A3b1,2018-05-04 20:12:43.543094000,591,0 days 00:00:01.880816000,2018-05-04 20:12:44.483502000,2018-05-04 20:12:42.765225500,2018-05-04 20:12:43.142195000,-400.899,-47.52190909090909,308.6002068374078,958.982,711.2466682011752
11,1512.79,2018-05-04 20:12:46.936700000,A3b1,2018-05-04 20:12:45.423910000,591,0 days 00:00:01.230658000,2018-05-04 20:12:46.039239000,2018-05-04 20:12:44.483502000,2018-05-04 20:12:45.597830000,173.92,-47.52190909090909,308.6002068374078,958.982,711.2466682011752
12,1233.246,2018-05-04 20:12:47.887814000,A3b1,2018-05-04 20:12:46.654568000,591,0 days 00:00:01.044898000,2018-05-04 20:12:47.177017000,2018-05-04 20:12:46.039239000,2018-05-04 20:12:46.936700000,282.132,-47.52190909090909,308.6002068374078,958.982,711.2466682011752
