,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,835.39,2018-05-04 20:05:17.352366000,H2a3,2018-05-04 20:05:16.516976000,591,0 days 00:00:00.431628000,2018-05-04 20:05:16.732790000,2018-05-04 20:05:16.293094500,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
2,829.638,2018-05-04 20:05:17.778242000,H2a3,2018-05-04 20:05:16.948604000,591,0 days 00:00:00.416106000,2018-05-04 20:05:17.156657000,2018-05-04 20:05:16.732790000,2018-05-04 20:05:16.922195000,-26.409,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
3,843.177,2018-05-04 20:05:18.207887000,H2a3,2018-05-04 20:05:17.364710000,591,0 days 00:00:00.415578000,2018-05-04 20:05:17.572499000,2018-05-04 20:05:17.156657000,2018-05-04 20:05:17.352366000,-12.344,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
4,857.673,2018-05-04 20:05:18.637961000,H2a3,2018-05-04 20:05:17.780288000,591,0 days 00:00:00.399917000,2018-05-04 20:05:17.980246500,2018-05-04 20:05:17.572499000,2018-05-04 20:05:17.778242000,-2.046,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
5,871.266,2018-05-04 20:05:19.051471000,H2a3,2018-05-04 20:05:18.180205000,591,0 days 00:00:00.399945000,2018-05-04 20:05:18.380177500,2018-05-04 20:05:17.980246500,2018-05-04 20:05:18.207887000,27.682,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
6,937.881,2018-05-04 20:05:19.518031000,H2a3,2018-05-04 20:05:18.580150000,591,0 days 00:00:00.399558000,2018-05-04 20:05:18.779929000,2018-05-04 20:05:18.380177500,2018-05-04 20:05:18.637961000,57.811,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
7,1078.649,2018-05-04 20:05:20.058357000,H2a3,2018-05-04 20:05:18.979708000,591,0 days 00:00:00.383983000,2018-05-04 20:05:19.171699500,2018-05-04 20:05:18.779929000,2018-05-04 20:05:19.051471000,71.763,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
8,1141.019,2018-05-04 20:05:20.504710000,H2a3,2018-05-04 20:05:19.363691000,591,0 days 00:00:00.367599000,2018-05-04 20:05:19.547490500,2018-05-04 20:05:19.171699500,2018-05-04 20:05:19.518031000,154.34,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
9,1248.227,2018-05-04 20:05:20.979517000,H2a3,2018-05-04 20:05:19.731290000,591,0 days 00:00:00.367927000,2018-05-04 20:05:19.915253500,2018-05-04 20:05:19.547490500,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
10,1408.624,2018-05-04 20:05:21.507841000,H2a3,2018-05-04 20:05:20.099217000,591,0 days 00:00:00.367680000,2018-05-04 20:05:20.283057000,2018-05-04 20:05:19.915253500,2018-05-04 20:05:20.058357000,-40.86,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
11,1519.886,2018-05-04 20:05:21.986783000,H2a3,2018-05-04 20:05:20.466897000,591,0 days 00:00:00.367829000,2018-05-04 20:05:20.650811500,2018-05-04 20:05:20.283057000,2018-05-04 20:05:20.504710000,37.813,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
12,1618.668,2018-05-04 20:05:22.453394000,H2a3,2018-05-04 20:05:20.834726000,591,0 days 00:00:00.383774000,2018-05-04 20:05:21.026613000,2018-05-04 20:05:20.650811500,2018-05-04 20:05:20.979517000,144.791,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
13,1894.34,2018-05-04 20:05:23.112840000,H2a3,2018-05-04 20:05:21.218500000,591,0 days 00:00:00.383843000,2018-05-04 20:05:21.410421500,2018-05-04 20:05:21.026613000,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
14,1985.287,2018-05-04 20:05:23.587630000,H2a3,2018-05-04 20:05:21.602343000,591,0 days 00:00:00.399625000,2018-05-04 20:05:21.802155500,2018-05-04 20:05:21.410421500,2018-05-04 20:05:21.507841000,-94.502,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
15,2052.324,2018-05-04 20:05:24.054292000,H2a3,2018-05-04 20:05:22.001968000,591,0 days 00:00:00.399683000,2018-05-04 20:05:22.201809500,2018-05-04 20:05:21.802155500,2018-05-04 20:05:21.986783000,-15.185,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
16,2099.09,2018-05-04 20:05:24.500741000,H2a3,2018-05-04 20:05:22.401651000,591,0 days 00:00:00.400154000,2018-05-04 20:05:22.601728000,2018-05-04 20:05:22.201809500,2018-05-04 20:05:22.453394000,51.743,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
17,2202.153,2018-05-04 20:05:25.003958000,H2a3,2018-05-04 20:05:22.801805000,591,0 days 00:00:00.415704000,2018-05-04 20:05:23.009657000,2018-05-04 20:05:22.601728000,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
18,2253.551,2018-05-04 20:05:25.471060000,H2a3,2018-05-04 20:05:23.217509000,591,0 days 00:00:00.431835000,2018-05-04 20:05:23.433426500,2018-05-04 20:05:23.009657000,2018-05-04 20:05:23.112840000,-104.669,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
19,2677.258,2018-05-04 20:05:26.326602000,H2a3,2018-05-04 20:05:23.649344000,591,0 days 00:00:00.431880000,2018-05-04 20:05:23.865284000,2018-05-04 20:05:23.433426500,2018-05-04 20:05:23.587630000,-61.714,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
20,2527.793,2018-05-04 20:05:26.609017000,H2a3,2018-05-04 20:05:24.081224000,591,0 days 00:00:00.447545000,2018-05-04 20:05:24.304996500,2018-05-04 20:05:23.865284000,2018-05-04 20:05:24.054292000,-26.932,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
21,2510.276,2018-05-04 20:05:27.039045000,H2a3,2018-05-04 20:05:24.528769000,591,0 days 00:00:00.431704000,2018-05-04 20:05:24.744621000,2018-05-04 20:05:24.304996500,2018-05-04 20:05:24.500741000,-28.028,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
22,2528.902,2018-05-04 20:05:27.489375000,H2a3,2018-05-04 20:05:24.960473000,591,0 days 00:00:00.416023000,2018-05-04 20:05:25.168484500,2018-05-04 20:05:24.744621000,2018-05-04 20:05:25.003958000,43.485,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
23,2595.787,2018-05-04 20:05:27.972283000,H2a3,2018-05-04 20:05:25.376496000,591,0 days 00:00:00.415558000,2018-05-04 20:05:25.584275000,2018-05-04 20:05:25.168484500,2018-05-04 20:05:25.471060000,94.564,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
24,2679.761,2018-05-04 20:05:28.471815000,H2a3,2018-05-04 20:05:25.792054000,591,0 days 00:00:00.415634000,2018-05-04 20:05:25.999871000,2018-05-04 20:05:25.584275000,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
25,2747.255,2018-05-04 20:05:28.954943000,H2a3,2018-05-04 20:05:26.207688000,591,0 days 00:00:00.400055000,2018-05-04 20:05:26.407715500,2018-05-04 20:05:25.999871000,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
26,3616.437,2018-05-04 20:05:30.224180000,H2a3,2018-05-04 20:05:26.607743000,591,0 days 00:00:00.383762000,2018-05-04 20:05:26.799624000,2018-05-04 20:05:26.407715500,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
27,3502.909,2018-05-04 20:05:30.494414000,H2a3,2018-05-04 20:05:26.991505000,591,0 days 00:00:00.383968000,2018-05-04 20:05:27.183489000,2018-05-04 20:05:26.799624000,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
28,3471.2,2018-05-04 20:05:30.846673000,H2a3,2018-05-04 20:05:27.375473000,591,0 days 00:00:00.367704000,2018-05-04 20:05:27.559325000,2018-05-04 20:05:27.183489000,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
29,3500.651,2018-05-04 20:05:31.243828000,H2a3,2018-05-04 20:05:27.743177000,591,0 days 00:00:00.367891000,2018-05-04 20:05:27.927122500,2018-05-04 20:05:27.559325000,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
30,3558.389,2018-05-04 20:05:31.669457000,H2a3,2018-05-04 20:05:28.111068000,591,0 days 00:00:00.383627000,2018-05-04 20:05:28.302881500,2018-05-04 20:05:27.927122500,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
31,,,H2a3,2018-05-04 20:05:28.494695000,591,0 days 00:00:00.383805000,2018-05-04 20:05:28.686597500,2018-05-04 20:05:28.302881500,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
32,,,H2a3,2018-05-04 20:05:28.878500000,591,0 days 00:00:00.399908000,2018-05-04 20:05:29.078454000,2018-05-04 20:05:28.686597500,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
33,,,H2a3,2018-05-04 20:05:29.278408000,591,0 days 00:00:00.399780000,2018-05-04 20:05:29.478298000,2018-05-04 20:05:29.078454000,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
34,,,H2a3,2018-05-04 20:05:29.678188000,591,0 days 00:00:00.415587000,2018-05-04 20:05:29.885981500,2018-05-04 20:05:29.478298000,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
35,,,H2a3,2018-05-04 20:05:30.093775000,591,0 days 00:00:00.415995000,2018-05-04 20:05:30.301772500,2018-05-04 20:05:29.885981500,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
36,,,H2a3,2018-05-04 20:05:30.509770000,591,0 days 00:00:00.415824000,2018-05-04 20:05:30.717682000,2018-05-04 20:05:30.301772500,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
37,,,H2a3,2018-05-04 20:05:30.925594000,591,0 days 00:00:00.447683000,2018-05-04 20:05:31.149435500,2018-05-04 20:05:30.717682000,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
38,,,H2a3,2018-05-04 20:05:31.373277000,591,0 days 00:00:00.447839000,2018-05-04 20:05:31.597196500,2018-05-04 20:05:31.149435500,,,14.279105263157895,71.90656007231014,2053.1153666666664,929.6403838981922
