,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,1135.263,2018-05-04 20:00:33.398770000,H2b1,2018-05-04 20:00:32.263507000,591,0 days 00:00:01.039553000,2018-05-04 20:00:32.783283500,2018-05-04 20:00:31.639817000,2018-05-04 20:00:32.366500000,102.993,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
2,1016.637,2018-05-04 20:00:34.319697000,H2b1,2018-05-04 20:00:33.303060000,591,0 days 00:00:00.879407000,2018-05-04 20:00:33.742763500,2018-05-04 20:00:32.783283500,2018-05-04 20:00:33.398770000,95.71,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
3,927.272,2018-05-04 20:00:35.109739000,H2b1,2018-05-04 20:00:34.182467000,591,0 days 00:00:00.767540000,2018-05-04 20:00:34.566237000,2018-05-04 20:00:33.742763500,2018-05-04 20:00:34.319697000,137.23,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
4,806.846,2018-05-04 20:00:35.756853000,H2b1,2018-05-04 20:00:34.950007000,591,0 days 00:00:00.671689000,2018-05-04 20:00:35.285851500,2018-05-04 20:00:34.566237000,2018-05-04 20:00:35.109739000,159.732,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
5,806.243,2018-05-04 20:00:36.427939000,H2b1,2018-05-04 20:00:35.621696000,591,0 days 00:00:00.655761000,2018-05-04 20:00:35.949576500,2018-05-04 20:00:35.285851500,2018-05-04 20:00:35.756853000,135.157,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
6,764.521,2018-05-04 20:00:37.041978000,H2b1,2018-05-04 20:00:36.277457000,591,0 days 00:00:00.735297000,2018-05-04 20:00:36.645105500,2018-05-04 20:00:35.949576500,2018-05-04 20:00:36.427939000,150.482,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
7,786.863,2018-05-04 20:00:37.799617000,H2b1,2018-05-04 20:00:37.012754000,591,0 days 00:00:00.847788000,2018-05-04 20:00:37.436648000,2018-05-04 20:00:36.645105500,2018-05-04 20:00:37.041978000,29.224,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
8,803.099,2018-05-04 20:00:38.663641000,H2b1,2018-05-04 20:00:37.860542000,591,0 days 00:00:00.975545000,2018-05-04 20:00:38.348314500,2018-05-04 20:00:37.436648000,2018-05-04 20:00:37.799617000,-60.925,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
9,854.864,2018-05-04 20:00:39.690951000,H2b1,2018-05-04 20:00:38.836087000,591,0 days 00:00:01.167083000,2018-05-04 20:00:39.419628500,2018-05-04 20:00:38.348314500,2018-05-04 20:00:38.663641000,-172.446,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
10,1313.312,2018-05-04 20:00:41.316482000,H2b1,2018-05-04 20:00:40.003170000,591,0 days 00:00:01.263386000,2018-05-04 20:00:40.634863000,2018-05-04 20:00:39.419628500,2018-05-04 20:00:39.690951000,-312.219,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
11,1249.618,2018-05-04 20:00:42.516174000,H2b1,2018-05-04 20:00:41.266556000,591,0 days 00:00:01.023526000,2018-05-04 20:00:41.778319000,2018-05-04 20:00:40.634863000,2018-05-04 20:00:41.316482000,49.926,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
12,1797.937,2018-05-04 20:00:44.088019000,H2b1,2018-05-04 20:00:42.290082000,591,0 days 00:00:00.879629000,2018-05-04 20:00:42.729896500,2018-05-04 20:00:41.778319000,2018-05-04 20:00:42.516174000,226.092,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
13,1941.909,2018-05-04 20:00:45.111620000,H2b1,2018-05-04 20:00:43.169711000,591,0 days 00:00:00.847615000,2018-05-04 20:00:43.593518500,2018-05-04 20:00:42.729896500,,,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
14,2143.289,2018-05-04 20:00:46.160615000,H2b1,2018-05-04 20:00:44.017326000,591,0 days 00:00:00.975310000,2018-05-04 20:00:44.504981000,2018-05-04 20:00:43.593518500,2018-05-04 20:00:44.088019000,70.693,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
15,2452.881,2018-05-04 20:00:47.445517000,H2b1,2018-05-04 20:00:44.992636000,591,0 days 00:00:01.167815000,2018-05-04 20:00:45.576543500,2018-05-04 20:00:44.504981000,2018-05-04 20:00:45.111620000,118.984,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
16,,,H2b1,2018-05-04 20:00:46.160451000,591,0 days 00:00:01.454976000,2018-05-04 20:00:46.887939000,2018-05-04 20:00:45.576543500,2018-05-04 20:00:46.160615000,0.164,48.7198,139.89063385996525,1253.3702666666666,560.5367204062379
