,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,4689.137,2018-05-04 19:57:13.505503000,P1H1a1,2018-05-04 19:57:08.816366000,591,0 days 00:00:00.000125000,2018-05-04 19:57:08.816428500,2018-05-04 19:57:08.816288500,,,,,7987.310999999999,2458.038540318113
2,6052.371,2018-05-04 19:57:14.868862000,P1H1a1,2018-05-04 19:57:08.816491000,591,0 days 00:00:00.000122000,2018-05-04 19:57:08.816552000,2018-05-04 19:57:08.816428500,,,,,7987.310999999999,2458.038540318113
3,7288.586,2018-05-04 19:57:16.105199000,P1H1a1,2018-05-04 19:57:08.816613000,591,0 days 00:00:00.000123000,2018-05-04 19:57:08.816674500,2018-05-04 19:57:08.816552000,,,,,7987.310999999999,2458.038540318113
4,8643.766,2018-05-04 19:57:17.460502000,P1H1a1,2018-05-04 19:57:08.816736000,591,0 days 00:00:00.000122000,2018-05-04 19:57:08.816797000,2018-05-04 19:57:08.816674500,,,,,7987.310999999999,2458.038540318113
5,10011.067,2018-05-04 19:57:18.827925000,P1H1a1,2018-05-04 19:57:08.816858000,591,0 days 00:00:00.000123000,2018-05-04 19:57:08.816919500,2018-05-04 19:57:08.816797000,,,,,7987.310999999999,2458.038540318113
6,11238.939,2018-05-04 19:57:20.055920000,P1H1a1,2018-05-04 19:57:08.816981000,591,0 days 00:00:00.000121000,2018-05-04 19:57:08.817041500,2018-05-04 19:57:08.816919500,,,,,7987.310999999999,2458.038540318113
7,,,P1H1a1,2018-05-04 19:57:08.817102000,591,0 days 00:00:00.000123000,2018-05-04 19:57:08.817163500,2018-05-04 19:57:08.817041500,,,,,7987.310999999999,2458.038540318113
8,,,P1H1a1,2018-05-04 19:57:08.817225000,591,0 days 00:00:00.000123000,2018-05-04 19:57:08.817286500,2018-05-04 19:57:08.817163500,,,,,7987.310999999999,2458.038540318113
9,,,P1H1a1,2018-05-04 19:57:08.817348000,591,0 days 00:00:00.000122000,2018-05-04 19:57:08.817409000,2018-05-04 19:57:08.817286500,,,,,7987.310999999999,2458.038540318113
10,,,P1H1a1,2018-05-04 19:57:08.817470000,591,0 days 00:00:00.000122000,2018-05-04 19:57:08.817531000,2018-05-04 19:57:08.817409000,,,,,7987.310999999999,2458.038540318113
11,,,P1H1a1,2018-05-04 19:57:08.817592000,591,0 days 00:00:00.000122000,2018-05-04 19:57:08.817653000,2018-05-04 19:57:08.817531000,,,,,7987.310999999999,2458.038540318113
12,,,P1H1a1,2018-05-04 19:57:08.817714000,591,0 days 00:00:00.000122000,2018-05-04 19:57:08.817775000,2018-05-04 19:57:08.817653000,,,,,7987.310999999999,2458.038540318113
13,,,P1H1a1,2018-05-04 19:57:08.817836000,591,0 days 00:00:00.000122000,2018-05-04 19:57:08.817897000,2018-05-04 19:57:08.817775000,,,,,7987.310999999999,2458.038540318113
