,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,748.105,2018-05-04 19:58:15.225095000,P5H1b3,2018-05-04 19:58:14.476990000,591,0 days 00:00:00.447670000,2018-05-04 19:58:14.700825000,2018-05-04 19:58:14.253171000,,,-40.20960000000001,179.79126575643213,4336.760181818181,2148.954683450762
2,1921.744,2018-05-04 19:58:16.846404000,P5H1b3,2018-05-04 19:58:14.924660000,591,0 days 00:00:00.448110000,2018-05-04 19:58:15.148715000,2018-05-04 19:58:14.700825000,2018-05-04 19:58:14.754125000,-170.535,-40.20960000000001,179.79126575643213,4336.760181818181,2148.954683450762
3,1940.236,2018-05-04 19:58:17.313006000,P5H1b3,2018-05-04 19:58:15.372770000,591,0 days 00:00:00.431756000,2018-05-04 19:58:15.588648000,2018-05-04 19:58:15.148715000,2018-05-04 19:58:15.225095000,-147.675,-40.20960000000001,179.79126575643213,4336.760181818181,2148.954683450762
4,2028.431,2018-05-04 19:58:17.832957000,P5H1b3,2018-05-04 19:58:15.804526000,591,0 days 00:00:00.447812000,2018-05-04 19:58:16.028432000,2018-05-04 19:58:15.588648000,,,-40.20960000000001,179.79126575643213,4336.760181818181,2148.954683450762
5,5850.816,2018-05-04 19:58:22.103154000,P5H1b3,2018-05-04 19:58:16.252338000,591,0 days 00:00:00.447688000,2018-05-04 19:58:16.476182000,2018-05-04 19:58:16.028432000,,,-40.20960000000001,179.79126575643213,4336.760181818181,2148.954683450762
6,5816.37,2018-05-04 19:58:22.516396000,P5H1b3,2018-05-04 19:58:16.700026000,591,0 days 00:00:00.447810000,2018-05-04 19:58:16.923931000,2018-05-04 19:58:16.476182000,2018-05-04 19:58:16.846404000,146.378,-40.20960000000001,179.79126575643213,4336.760181818181,2148.954683450762
7,5815.229,2018-05-04 19:58:22.963065000,P5H1b3,2018-05-04 19:58:17.147836000,591,0 days 00:00:00.431621000,2018-05-04 19:58:17.363646500,2018-05-04 19:58:16.923931000,2018-05-04 19:58:17.313006000,165.17,-40.20960000000001,179.79126575643213,4336.760181818181,2148.954683450762
8,5845.845,2018-05-04 19:58:23.425302000,P5H1b3,2018-05-04 19:58:17.579457000,591,0 days 00:00:00.447886000,2018-05-04 19:58:17.803400000,2018-05-04 19:58:17.363646500,,,-40.20960000000001,179.79126575643213,4336.760181818181,2148.954683450762
9,5877.2,2018-05-04 19:58:23.904543000,P5H1b3,2018-05-04 19:58:18.027343000,591,0 days 00:00:00.447589000,2018-05-04 19:58:18.251137500,2018-05-04 19:58:17.803400000,2018-05-04 19:58:17.832957000,-194.386,-40.20960000000001,179.79126575643213,4336.760181818181,2148.954683450762
10,5900.419,2018-05-04 19:58:24.375351000,P5H1b3,2018-05-04 19:58:18.474932000,591,0 days 00:00:00.447922000,2018-05-04 19:58:18.698893000,2018-05-04 19:58:18.251137500,,,-40.20960000000001,179.79126575643213,4336.760181818181,2148.954683450762
