,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
1,2614.28,2018-05-04 19:58:33.468329000,P6A1a2,2018-05-04 19:58:30.854049000,591,0 days 00:00:00.673379000,2018-05-04 19:58:31.190738500,2018-05-04 19:58:30.517360000,,,-31.60724,27.32134020517051,2631.27552,12.687080732382903
2,2620.441,2018-05-04 19:58:34.147869000,P6A1a2,2018-05-04 19:58:31.527428000,591,0 days 00:00:00.650159000,2018-05-04 19:58:31.852507500,2018-05-04 19:58:31.190738500,,,-31.60724,27.32134020517051,2631.27552,12.687080732382903
3,2646.174,2018-05-04 19:58:34.823761000,P6A1a2,2018-05-04 19:58:32.177587000,591,0 days 00:00:00.673378000,2018-05-04 19:58:32.514276000,2018-05-04 19:58:31.852507500,,,-31.60724,27.32134020517051,2631.27552,12.687080732382903
4,2655.751,2018-05-04 19:58:35.506716000,P6A1a2,2018-05-04 19:58:32.850965000,591,0 days 00:00:00.673379000,2018-05-04 19:58:33.187654500,2018-05-04 19:58:32.514276000,2018-05-04 19:58:32.932312000,81.347,-31.60724,27.32134020517051,2631.27552,12.687080732382903
5,2636.78,2018-05-04 19:58:36.161124000,P6A1a2,2018-05-04 19:58:33.524344000,591,0 days 00:00:00.673379000,2018-05-04 19:58:33.861033500,2018-05-04 19:58:33.187654500,2018-05-04 19:58:33.468329000,-56.015,-31.60724,27.32134020517051,2631.27552,12.687080732382903
6,2614.113,2018-05-04 19:58:36.811836000,P6A1a2,2018-05-04 19:58:34.197723000,591,0 days 00:00:00.650159000,2018-05-04 19:58:34.522802500,2018-05-04 19:58:33.861033500,2018-05-04 19:58:34.147869000,-49.854,-31.60724,27.32134020517051,2631.27552,12.687080732382903
7,2620.217,2018-05-04 19:58:37.468099000,P6A1a2,2018-05-04 19:58:34.847882000,591,0 days 00:00:00.673378000,2018-05-04 19:58:35.184571000,2018-05-04 19:58:34.522802500,2018-05-04 19:58:34.823761000,-24.121,-31.60724,27.32134020517051,2631.27552,12.687080732382903
8,2624.626,2018-05-04 19:58:38.145886000,P6A1a2,2018-05-04 19:58:35.521260000,591,0 days 00:00:00.673379000,2018-05-04 19:58:35.857949500,2018-05-04 19:58:35.184571000,2018-05-04 19:58:35.506716000,-14.544,-31.60724,27.32134020517051,2631.27552,12.687080732382903
9,2649.615,2018-05-04 19:58:38.844254000,P6A1a2,2018-05-04 19:58:36.194639000,591,0 days 00:00:00.650159000,2018-05-04 19:58:36.519718500,2018-05-04 19:58:35.857949500,2018-05-04 19:58:36.161124000,-33.515,-31.60724,27.32134020517051,2631.27552,12.687080732382903
10,2618.336,2018-05-04 19:58:39.463134000,P6A1a2,2018-05-04 19:58:36.844798000,591,0 days 00:00:00.673378000,2018-05-04 19:58:37.181487000,2018-05-04 19:58:36.519718500,2018-05-04 19:58:36.811836000,-32.962,-31.60724,27.32134020517051,2631.27552,12.687080732382903
