,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,Group,Instrument
0,1,1358.617,29:20.0,A1a1,29:18.6,552,0 days 00:00:01.346757000,29:19.3,29:18.0,29:18.6,-8.123,-11.07023077,30.97443525,1341.975538,71.38982291,0,19.983,Professional,Percussion
1,2,1299.885,29:21.3,A1a1,29:20.0,552,0 days 00:00:01.323538000,29:20.7,29:19.3,29:20.0,11.86,-11.07023077,30.97443525,1341.975538,71.38982291,0,-35.513,Professional,Percussion
2,3,1284.989,29:22.6,A1a1,29:21.3,552,0 days 00:00:01.346757000,29:22.0,29:20.7,29:21.3,-23.653,-11.07023077,30.97443525,1341.975538,71.38982291,0,-38.115,Professional,Percussion
3,4,1322.508,29:24.0,A1a1,29:22.7,552,0 days 00:00:01.323537000,29:23.3,29:22.0,29:22.6,-61.768,-11.07023077,30.97443525,1341.975538,71.38982291,0,60.739,Professional,Percussion
4,5,1352.102,29:25.3,A1a1,29:24.0,552,0 days 00:00:01.346758000,29:24.7,29:23.3,29:24.0,-1.029,-11.07023077,30.97443525,1341.975538,71.38982291,0,6.373,Professional,Percussion
5,6,1355.302,29:26.7,A1a1,29:25.3,552,0 days 00:00:01.323537000,29:26.0,29:24.7,29:25.3,5.344,-11.07023077,30.97443525,1341.975538,71.38982291,0,26.421,Professional,Percussion
6,7,1327.889,29:28.0,A1a1,29:26.7,552,0 days 00:00:01.323538000,29:27.3,29:26.0,29:26.7,31.765,-11.07023077,30.97443525,1341.975538,71.38982291,0,-27.414,Professional,Percussion
7,8,1307.918,29:29.3,A1a1,29:28.0,552,0 days 00:00:01.346757000,29:28.7,29:27.3,29:28.0,4.351,-11.07023077,30.97443525,1341.975538,71.38982291,0,-43.19,Professional,Percussion
8,9,1304.392,29:30.6,A1a1,29:29.3,552,0 days 00:00:01.323537000,29:30.0,29:28.7,29:29.3,-38.839,-11.07023077,30.97443525,1341.975538,71.38982291,0,19.694,Professional,Percussion
9,10,1362.926,29:32.0,A1a1,29:30.6,552,0 days 00:00:01.346758000,29:31.3,29:30.0,29:30.6,-19.145,-11.07023077,30.97443525,1341.975538,71.38982291,0,35.313,Professional,Percussion
10,11,1334.827,29:33.3,A1a1,29:32.0,552,0 days 00:00:01.323537000,29:32.7,29:31.3,29:32.0,16.168,-11.07023077,30.97443525,1341.975538,71.38982291,0,-4.878,Professional,Percussion
11,12,1274.623,29:34.6,A1a1,29:33.3,552,0 days 00:00:01.346757000,29:34.0,29:32.7,29:33.3,11.29,-11.07023077,30.97443525,1341.975538,71.38982291,0,-83.424,Professional,Percussion
12,13,1559.704,29:36.2,A1a1,29:34.7,552,0 days 00:00:01.323538000,29:35.3,29:34.0,29:34.6,-72.134,-11.07023077,30.97443525,1341.975538,71.38982291,0,,Professional,Percussion
13,1,678.953,22:13.4,A1a2,22:12.7,552,0 days 00:00:00.673379000,22:13.0,22:12.4,22:12.7,9.492,34.26864286,59.57794047,709.28925,73.60569218,0,-3.918,Professional,Percussion
14,2,697.517,22:14.1,A1a2,22:13.4,552,0 days 00:00:00.650159000,22:13.7,22:13.0,22:13.4,5.574,34.26864286,59.57794047,709.28925,73.60569218,0,41.784,Professional,Percussion
15,3,674.959,22:14.7,A1a2,22:14.0,552,0 days 00:00:00.673378000,22:14.3,22:13.7,22:14.1,47.358,34.26864286,59.57794047,709.28925,73.60569218,0,-45.777,Professional,Percussion
16,4,685.628,22:15.4,A1a2,22:14.7,552,0 days 00:00:00.673379000,22:15.0,22:14.3,22:14.7,1.581,34.26864286,59.57794047,709.28925,73.60569218,0,10.668,Professional,Percussion
17,5,715.026,22:16.1,A1a2,22:15.4,552,0 days 00:00:00.673379000,22:15.7,22:15.0,22:15.4,12.249,34.26864286,59.57794047,709.28925,73.60569218,0,29.398,Professional,Percussion
