Timestamp                     Audio Elapsed Time    Audio Onset    Tap Elapsed Time    Tap Onset
--------------------------  --------------------  -------------  ------------------  -----------
2018-04-20 11:30:55.654452               8.00183
2018-04-20 11:30:56.002751                             0.348299
2018-04-20 11:30:56.327831                             0.673379
2018-04-20 11:30:56.629690                             0.975238
2018-04-20 11:30:56.954769                             1.30032
2018-04-20 11:30:57.256629                             1.60218
2018-04-20 11:30:57.558488                             1.90404
2018-04-20 11:30:57.883568                             2.22912
2018-04-20 11:30:58.231867                             2.57741
2018-04-20 11:30:58.580166                             2.92571
2018-04-20 11:30:58.928466                             3.27401
2018-04-20 11:30:59.276765                             3.62231
2018-04-20 11:30:59.625064                             3.97061
2018-04-20 11:30:59.973364                             4.31891
2018-04-20 11:31:00.321663                             4.66721
2018-04-20 11:31:00.646742                             4.99229
2018-04-20 11:31:00.971822                             5.31737
2018-04-20 11:31:01.273681                             5.61923
2018-04-20 11:31:01.575540                             5.92109
2018-04-20 11:31:01.900620                             6.24617
2018-04-20 11:31:02.248919                             6.59447
2018-04-20 11:31:02.597218                             6.94277
2018-04-20 11:30:55.897687                                              9.53674e-07         8474
2018-04-20 11:30:56.235524                                              0.504592            8807
2018-04-20 11:30:56.517358                                              0.84127             9090
2018-04-20 11:30:56.761161                                              0.864512            9327
2018-04-20 11:30:56.980877                                              1.10832             9563
2018-04-20 11:30:57.288626                                              1.58793             9846
2018-04-20 11:30:57.904634                                              2.152              10475
2018-04-20 11:30:58.224049                                              2.51198            10800
2018-04-20 11:30:58.560680                                              2.83188            11130
2018-04-20 11:30:58.893798                                              3.16847            11457
2018-04-20 11:30:59.220014                                              3.50086            11788
2018-04-20 11:30:59.645583                                              3.8257             12216
2018-04-20 11:30:59.959349                                              4.25235            12520
2018-04-20 11:31:00.353602                                              4.56698            12920
2018-04-20 11:31:00.725370                                              4.96173            13279
2018-04-20 11:31:00.996809                                              5.33174            13565
2018-04-20 11:31:01.316319                                              5.60527            13881
2018-04-20 11:31:01.614251                                              5.92451            14180
2018-04-20 11:31:01.924363                                              6.22261            14485
2018-04-20 11:31:02.237660                                              6.53194            14815
2018-04-20 11:31:02.306622                                              6.58481            14870
2018-04-20 11:31:02.633533                                              6.9146             15187
