Timestamp                     Audio Elapsed Time    Audio Onset    Tap Elapsed Time    Tap Onset
--------------------------  --------------------  -------------  ------------------  -----------
2018-04-20 11:18:11.057132               10.6495
2018-04-20 11:18:11.521531                             0.464399
2018-04-20 11:18:11.962710                             0.905578
2018-04-20 11:18:12.403889                             1.34676
2018-04-20 11:18:12.845069                             1.78794
2018-04-20 11:18:13.309468                             2.25234
2018-04-20 11:18:13.750647                             2.69351
2018-04-20 11:18:14.191826                             3.13469
2018-04-20 11:18:14.633005                             3.57587
2018-04-20 11:18:15.074184                             4.01705
2018-04-20 11:18:15.515363                             4.45823
2018-04-20 11:18:15.956542                             4.89941
2018-04-20 11:18:16.420942                             5.36381
2018-04-20 11:18:16.862121                             5.80499
2018-04-20 11:18:17.303300                             6.24617
2018-04-20 11:18:17.744479                             6.68735
2018-04-20 11:18:18.185658                             7.12853
2018-04-20 11:18:18.626837                             7.56971
2018-04-20 11:18:19.068016                             8.01088
2018-04-20 11:18:19.532415                             8.47528
2018-04-20 11:18:19.973595                             8.91646
2018-04-20 11:18:20.414774                             9.35764
2018-04-20 11:18:11.254768                                              1.19209e-06        10772
2018-04-20 11:18:11.728573                                              0.460476           11236
2018-04-20 11:18:11.852599                                              0.673443           11352
2018-04-20 11:18:12.080307                                              0.797469           11575
2018-04-20 11:18:12.469668                                              1.2845             11974
2018-04-20 11:18:12.870966                                              1.6758             12377
2018-04-20 11:18:13.270225                                              2.07578            12766
2018-04-20 11:18:13.752296                                              2.47457            13256
2018-04-20 11:18:14.206805                                              2.95493            13706
2018-04-20 11:18:14.663180                                              3.40965            14172
2018-04-20 11:18:14.893950                                              3.60805            14394
2018-04-20 11:18:15.096865                                              3.83882            14603
2018-04-20 11:18:15.559573                                              4.29909            15048
2018-04-20 11:18:15.977115                                              4.76539            15471
2018-04-20 11:18:16.459532                                              5.18245            15953
2018-04-20 11:18:16.900794                                              5.66544            16397
2018-04-20 11:18:17.113056                                              5.84566            16611
2018-04-20 11:18:17.335051                                              6.05793            16829
2018-04-20 11:18:17.737823                                              6.53956            17244
2018-04-20 11:18:18.196666                                              6.94266            17696
2018-04-20 11:18:18.401697                                              7.14154            17901
2018-04-20 11:18:18.649511                                              7.34657            18141
2018-04-20 11:18:19.069545                                              7.85521            18568
2018-04-20 11:18:19.516496                                              8.27534            19008
2018-04-20 11:18:19.962131                                              8.72153            19458
2018-04-20 11:18:20.420605                                              9.16794            19930
