,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony
0,242.928,2018-05-02 16:55:05.051823,H2a4,2018-05-02 16:55:04.808895,439,0 days 00:00:00.335797000,2018-05-02 16:55:04.976793500,,,
1,160.981,2018-05-02 16:55:05.305673,H2a4,2018-05-02 16:55:05.144692,439,0 days 00:00:00.319992000,2018-05-02 16:55:05.304688000,2018-05-02 16:55:04.976793500,2018-05-02 16:55:05.051823,-92.869
2,74.399,2018-05-02 16:55:05.539083,H2a4,2018-05-02 16:55:05.464684,439,0 days 00:00:00.335705000,2018-05-02 16:55:05.632536500,2018-05-02 16:55:05.304688000,2018-05-02 16:55:05.305673,-159.011
3,4.623,2018-05-02 16:55:05.805012,H2a4,2018-05-02 16:55:05.800389,439,0 days 00:00:00.319850000,2018-05-02 16:55:05.960314000,2018-05-02 16:55:05.632536500,2018-05-02 16:55:05.805012,4.623
4,8.442,2018-05-02 16:55:06.128681,H2a4,2018-05-02 16:55:06.120239,439,0 days 00:00:00.336225000,2018-05-02 16:55:06.288351500,2018-05-02 16:55:05.960314000,2018-05-02 16:55:06.128681,8.442
5,3.675,2018-05-02 16:55:06.460139,H2a4,2018-05-02 16:55:06.456464,439,0 days 00:00:00.319425000,2018-05-02 16:55:06.616176500,2018-05-02 16:55:06.288351500,2018-05-02 16:55:06.460139,3.675
6,20.098,2018-05-02 16:55:06.795987,H2a4,2018-05-02 16:55:06.775889,439,0 days 00:00:00.320001000,2018-05-02 16:55:06.935889500,2018-05-02 16:55:06.616176500,2018-05-02 16:55:06.795987,20.098
7,-218.047,2018-05-02 16:55:06.877843,H2a4,2018-05-02 16:55:07.095890,439,0 days 00:00:00.319662000,2018-05-02 16:55:07.255721000,2018-05-02 16:55:06.935889500,2018-05-02 16:55:07.123504,27.614
8,-292.048,2018-05-02 16:55:07.123504,H2a4,2018-05-02 16:55:07.415552,439,0 days 00:00:00.319921000,2018-05-02 16:55:07.575512500,2018-05-02 16:55:07.255721000,2018-05-02 16:55:07.426454,10.902
9,-309.019,2018-05-02 16:55:07.426454,H2a4,2018-05-02 16:55:07.735473,439,0 days 00:00:00.319791000,2018-05-02 16:55:07.895368500,2018-05-02 16:55:07.575512500,,
10,34.461,2018-05-02 16:55:08.089725,H2a4,2018-05-02 16:55:08.055264,439,0 days 00:00:00.303767000,2018-05-02 16:55:08.207147500,2018-05-02 16:55:07.895368500,2018-05-02 16:55:08.089725,34.461
11,74.607,2018-05-02 16:55:08.433638,H2a4,2018-05-02 16:55:08.359031,439,0 days 00:00:00.319918000,2018-05-02 16:55:08.518990000,2018-05-02 16:55:08.207147500,2018-05-02 16:55:08.433638,74.607
12,61.748,2018-05-02 16:55:08.740697,H2a4,2018-05-02 16:55:08.678949,439,0 days 00:00:00.319781000,2018-05-02 16:55:08.838839500,2018-05-02 16:55:08.518990000,2018-05-02 16:55:08.740697,61.748
13,53.106,2018-05-02 16:55:09.051836,H2a4,2018-05-02 16:55:08.998730,439,0 days 00:00:00.303832000,2018-05-02 16:55:09.150646000,2018-05-02 16:55:08.838839500,2018-05-02 16:55:09.051836,53.106
14,68.629,2018-05-02 16:55:09.371191,H2a4,2018-05-02 16:55:09.302562,439,0 days 00:00:00.303796000,2018-05-02 16:55:09.454460000,2018-05-02 16:55:09.150646000,2018-05-02 16:55:09.371191,68.629
15,71.922,2018-05-02 16:55:09.678280,H2a4,2018-05-02 16:55:09.606358,439,0 days 00:00:00.319922000,2018-05-02 16:55:09.766319000,2018-05-02 16:55:09.454460000,2018-05-02 16:55:09.678280,71.922
16,63.11,2018-05-02 16:55:09.989390,H2a4,2018-05-02 16:55:09.926280,439,0 days 00:00:00.319870000,2018-05-02 16:55:10.086215000,2018-05-02 16:55:09.766319000,2018-05-02 16:55:09.989390,63.11
17,38.049,2018-05-02 16:55:10.284199,H2a4,2018-05-02 16:55:10.246150,439,0 days 00:00:00.319953000,2018-05-02 16:55:10.406126500,2018-05-02 16:55:10.086215000,2018-05-02 16:55:10.284199,38.049
18,8.738,2018-05-02 16:55:10.574841,H2a4,2018-05-02 16:55:10.566103,439,0 days 00:00:00.319702000,2018-05-02 16:55:10.725954000,2018-05-02 16:55:10.406126500,2018-05-02 16:55:10.574841,8.738
