,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony
0,161.298,2018-05-02 18:20:40.239379000,H2a4,2018-05-02 18:20:40.078081000,428,0 days 00:00:00.319560000,2018-05-02 18:20:40.237861000,,,,19.791625000000003,34.87733957294005,-368.08414285714287,301.3931891399644
1,112.034,2018-05-02 18:20:40.509675000,H2a4,2018-05-02 18:20:40.397641000,428,0 days 00:00:00.336019000,2018-05-02 18:20:40.565650500,2018-05-02 18:20:40.237861000,2018-05-02 18:20:40.239379000,-158.262,19.791625000000003,34.87733957294005,-368.08414285714287,301.3931891399644
2,83.123,2018-05-02 18:20:40.816783000,H2a4,2018-05-02 18:20:40.733660000,428,0 days 00:00:00.335719000,2018-05-02 18:20:40.901519500,2018-05-02 18:20:40.565650500,2018-05-02 18:20:40.816783000,83.123,19.791625000000003,34.87733957294005,-368.08414285714287,301.3931891399644
3,38.002,2018-05-02 18:20:41.107381000,H2a4,2018-05-02 18:20:41.069379000,428,0 days 00:00:00.320033000,2018-05-02 18:20:41.229395500,2018-05-02 18:20:40.901519500,2018-05-02 18:20:41.107381000,38.002,19.791625000000003,34.87733957294005,-368.08414285714287,301.3931891399644
4,16.926,2018-05-02 18:20:41.406338000,H2a4,2018-05-02 18:20:41.389412000,428,0 days 00:00:00.319709000,2018-05-02 18:20:41.549266500,2018-05-02 18:20:41.229395500,2018-05-02 18:20:41.406338000,16.926,19.791625000000003,34.87733957294005,-368.08414285714287,301.3931891399644
5,4.177,2018-05-02 18:20:41.713298000,H2a4,2018-05-02 18:20:41.709121000,428,0 days 00:00:00.335723000,2018-05-02 18:20:41.876982500,2018-05-02 18:20:41.549266500,2018-05-02 18:20:41.713298000,4.177,19.791625000000003,34.87733957294005,-368.08414285714287,301.3931891399644
6,12.305,2018-05-02 18:20:42.057149000,H2a4,2018-05-02 18:20:42.044844000,428,0 days 00:00:00.319869000,2018-05-02 18:20:42.204778500,2018-05-02 18:20:41.876982500,2018-05-02 18:20:42.057149000,12.305,19.791625000000003,34.87733957294005,-368.08414285714287,301.3931891399644
7,36.214,2018-05-02 18:20:42.400927000,H2a4,2018-05-02 18:20:42.364713000,428,0 days 00:00:00.319743000,2018-05-02 18:20:42.524584500,2018-05-02 18:20:42.204778500,2018-05-02 18:20:42.400927000,36.214,19.791625000000003,34.87733957294005,-368.08414285714287,301.3931891399644
8,27.551,2018-05-02 18:20:42.712007000,H2a4,2018-05-02 18:20:42.684456000,428,0 days 00:00:00.319713000,2018-05-02 18:20:42.844312500,2018-05-02 18:20:42.524584500,2018-05-02 18:20:42.712007000,27.551,19.791625000000003,34.87733957294005,-368.08414285714287,301.3931891399644
9,27.367,2018-05-02 18:20:43.031536000,H2a4,2018-05-02 18:20:43.004169000,428,0 days 00:00:00.320097000,2018-05-02 18:20:43.164217500,2018-05-02 18:20:42.844312500,2018-05-02 18:20:43.031536000,27.367,19.791625000000003,34.87733957294005,-368.08414285714287,301.3931891399644
