,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony
0,356.712,2018-05-02 16:43:22.398611,H2a4,2018-05-02 16:43:22.041899,536,0 days 00:00:00.319827000,2018-05-02 16:43:22.201812500,,,
1,360.376,2018-05-02 16:43:22.722102,H2a4,2018-05-02 16:43:22.361726,536,0 days 00:00:00.335861000,2018-05-02 16:43:22.529656500,2018-05-02 16:43:22.201812500,2018-05-02 16:43:22.398611,36.885
2,351.997,2018-05-02 16:43:23.049584,H2a4,2018-05-02 16:43:22.697587,536,0 days 00:00:00.335742000,2018-05-02 16:43:22.865458000,2018-05-02 16:43:22.529656500,2018-05-02 16:43:22.722102,24.515
3,356.037,2018-05-02 16:43:23.389366,H2a4,2018-05-02 16:43:23.033329,536,0 days 00:00:00.319802000,2018-05-02 16:43:23.193230000,2018-05-02 16:43:22.865458000,2018-05-02 16:43:23.049584,16.255
4,367.761,2018-05-02 16:43:23.720892,H2a4,2018-05-02 16:43:23.353131,536,0 days 00:00:00.335929000,2018-05-02 16:43:23.521095500,2018-05-02 16:43:23.193230000,2018-05-02 16:43:23.389366,36.235
5,363.578,2018-05-02 16:43:24.052638,H2a4,2018-05-02 16:43:23.689060,536,0 days 00:00:00.319819000,2018-05-02 16:43:23.848969500,2018-05-02 16:43:23.521095500,2018-05-02 16:43:23.720892,31.832
6,367.12,2018-05-02 16:43:24.375999,H2a4,2018-05-02 16:43:24.008879,536,0 days 00:00:00.319836000,2018-05-02 16:43:24.168797000,2018-05-02 16:43:23.848969500,2018-05-02 16:43:24.052638,43.759
7,1029.92,2018-05-02 16:43:25.358635,H2a4,2018-05-02 16:43:24.328715,536,0 days 00:00:00.319878000,2018-05-02 16:43:24.488654000,2018-05-02 16:43:24.168797000,2018-05-02 16:43:24.375999,47.284
8,1049.856,2018-05-02 16:43:25.698449,H2a4,2018-05-02 16:43:24.648593,536,0 days 00:00:00.319863000,2018-05-02 16:43:24.808524500,2018-05-02 16:43:24.488654000,,
9,1061.705,2018-05-02 16:43:26.030161,H2a4,2018-05-02 16:43:24.968456,536,0 days 00:00:00.319747000,2018-05-02 16:43:25.128329500,2018-05-02 16:43:24.808524500,,
10,1044.881,2018-05-02 16:43:26.333084,H2a4,2018-05-02 16:43:25.288203,536,0 days 00:00:00.303829000,2018-05-02 16:43:25.440117500,2018-05-02 16:43:25.128329500,2018-05-02 16:43:25.358635,70.432
11,1064.406,2018-05-02 16:43:26.656438,H2a4,2018-05-02 16:43:25.592032,536,0 days 00:00:00.319959000,2018-05-02 16:43:25.752011500,2018-05-02 16:43:25.440117500,2018-05-02 16:43:25.698449,106.417
12,1071.995,2018-05-02 16:43:26.983986,H2a4,2018-05-02 16:43:25.911991,536,0 days 00:00:00.303788000,2018-05-02 16:43:26.063885000,2018-05-02 16:43:25.752011500,2018-05-02 16:43:26.030161,118.17
13,1058.96,2018-05-02 16:43:27.274739,H2a4,2018-05-02 16:43:26.215779,536,0 days 00:00:00.319865000,2018-05-02 16:43:26.375711500,2018-05-02 16:43:26.063885000,2018-05-02 16:43:26.333084,117.305
14,1066.595,2018-05-02 16:43:27.602239,H2a4,2018-05-02 16:43:26.535644,536,0 days 00:00:00.305701000,2018-05-02 16:43:26.688494500,2018-05-02 16:43:26.375711500,2018-05-02 16:43:26.656438,120.794
15,1031.08,2018-05-02 16:43:27.872425,H2a4,2018-05-02 16:43:26.841345,536,0 days 00:00:00.317984000,2018-05-02 16:43:27.000337000,2018-05-02 16:43:26.688494500,2018-05-02 16:43:26.983986,142.641
16,1020.177,2018-05-02 16:43:28.179506,H2a4,2018-05-02 16:43:27.159329,536,0 days 00:00:00.319781000,2018-05-02 16:43:27.319219500,2018-05-02 16:43:27.000337000,2018-05-02 16:43:27.274739,115.41
17,1007.474,2018-05-02 16:43:28.486584,H2a4,2018-05-02 16:43:27.479110,536,0 days 00:00:00.303863000,2018-05-02 16:43:27.631041500,2018-05-02 16:43:27.319219500,2018-05-02 16:43:27.602239,123.129
18,1014.764,2018-05-02 16:43:28.797737,H2a4,2018-05-02 16:43:27.782973,536,0 days 00:00:00.319750000,2018-05-02 16:43:27.942848000,2018-05-02 16:43:27.631041500,2018-05-02 16:43:27.872425,89.452
19,1014.408,2018-05-02 16:43:29.117131,H2a4,2018-05-02 16:43:28.102723,536,0 days 00:00:00.319925000,2018-05-02 16:43:28.262685500,2018-05-02 16:43:27.942848000,2018-05-02 16:43:28.179506,76.783
