Timestamp                     Audio Elapsed Time    Audio Onset    Tap Elapsed Time    Tap Onset
--------------------------  --------------------  -------------  ------------------  -----------
2018-04-20 10:42:36.103499               10.6955
2018-04-20 10:42:36.544678                             0.441179
2018-04-20 10:42:36.962637                             0.859138
2018-04-20 10:42:37.380597                             1.2771
2018-04-20 10:42:37.775336                             1.67184
2018-04-20 10:42:38.193295                             2.0898
2018-04-20 10:42:38.634474                             2.53098
2018-04-20 10:42:39.122093                             3.01859
2018-04-20 10:42:39.632932                             3.52943
2018-04-20 10:42:40.120551                             4.01705
2018-04-20 10:42:40.608170                             4.50467
2018-04-20 10:42:41.072569                             4.96907
2018-04-20 10:42:41.536968                             5.43347
2018-04-20 10:42:41.954928                             5.85143
2018-04-20 10:42:42.396107                             6.29261
2018-04-20 10:42:42.883726                             6.78023
2018-04-20 10:42:43.371345                             7.26785
2018-04-20 10:42:43.858964                             7.75546
2018-04-20 10:42:44.323363                             8.21986
2018-04-20 10:42:44.741322                             8.63782
2018-04-20 10:42:45.159281                             9.05578
2018-04-20 10:42:45.554021                             9.45052
2018-04-20 10:42:36.312128                                              1.19209e-06        10302
2018-04-20 10:42:36.757589                                              0.467617           10761
2018-04-20 10:42:37.106833                                              0.915997           11118
2018-04-20 10:42:37.438690                                              1.26472            11437
2018-04-20 10:42:37.789997                                              1.59808            11793
2018-04-20 10:42:38.216560                                              1.94687            12212
2018-04-20 10:42:38.617723                                              2.37575            12616
2018-04-20 10:42:39.176380                                              3.03174            13169
2018-04-20 10:42:39.681578                                              3.33024            13678
2018-04-20 10:42:40.131725                                              3.83996            14139
2018-04-20 10:42:40.639730                                              4.28862            14648
2018-04-20 10:42:41.138553                                              4.79796            15137
2018-04-20 10:42:41.617793                                              5.29698            15614
2018-04-20 10:42:41.993631                                              5.7761             16005
2018-04-20 10:42:42.374628                                              6.15296            16374
2018-04-20 10:42:42.804861                                              6.53289            16803
2018-04-20 10:42:43.411655                                              7.22255            17404
2018-04-20 10:42:43.899299                                              7.56961            17891
2018-04-20 10:42:44.353756                                              8.05782            18358
2018-04-20 10:42:44.804351                                              8.51192            18790
2018-04-20 10:42:45.222463                                              8.96262            19214
2018-04-20 10:42:45.605618                                              9.3788             19606
